[IRV | PA | OT | Proverbs | Chapter 5 | Verse 1] ਹੇ ਮੇਰੇ ਪੁੱਤਰ, ਮੇਰੀ ਬੁੱਧ ਵੱਲ ਧਿਆਨ ਦੇ ਅਤੇ ਮੇਰੀ ਸਮਝ ਵੱਲ ਕੰਨ ਲਾ,
[IRV | PA | OT | Proverbs | Chapter 5 | Verse 2] ਤਾਂ ਜੋ ਤੇਰੀ ਮੱਤ ਬਣੀ ਰਹੇ ਅਤੇ ਤੇਰੇ ਬੁੱਲ੍ਹ ਗਿਆਨ ਨੂੰ ਫੜ੍ਹੀ ਰੱਖਣ,
[IRV | PA | OT | Proverbs | Chapter 5 | Verse 3] ਕਿਉਂ ਜੋ ਪਰਾਈ ਔਰਤ ਦੇ ਬੁੱਲ੍ਹਾਂ ਤੋਂ ਸ਼ਹਿਦ ਟਪਕਦਾ ਹੈ ਅਤੇ ਉਹ ਦੀਆਂ ਗੱਲਾਂ ਤੇਲ ਨਾਲੋਂ ਵੀ ਚਿਕਨੀਆਂ ਹਨ,
[IRV | PA | OT | Proverbs | Chapter 5 | Verse 4] ਪਰ ਅੰਤ ਵਿੱਚ ਉਹ ਨਾਗਦੌਣੇ ਵਰਗੀ ਕੌੜੀ ਅਤੇ ਦੋਧਾਰੀ ਤਲਵਾਰ ਜਿਹੀ ਤਿੱਖੀ ਹੁੰਦੀ ਹੈ!
[IRV | PA | OT | Proverbs | Chapter 5 | Verse 5] ਉਹ ਦੇ ਪੈਰ ਮੌਤ ਦੇ ਰਾਹ ਵੱਲ ਲਹਿ ਪੈਂਦੇ ਹਨ ਅਤੇ ਉਹ ਦੇ ਕਦਮ ਪਤਾਲ ਨੂੰ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 5 | Verse 6] ਜੀਵਨ ਦਾ ਪੱਧਰਾ ਰਾਹ ਉਹ ਨੂੰ ਨਹੀਂ ਲੱਭਦਾ, ਉਹ ਦੀਆਂ ਚਾਲਾਂ ਭਟਕਾਉਣ ਵਾਲੀਆਂ ਹਨ ਅਤੇ ਇਸ ਬਾਰੇ ਉਹ ਆਪ ਵੀ ਨਹੀਂ ਜਾਣਦੀ।
[IRV | PA | OT | Proverbs | Chapter 5 | Verse 7] ਇਸ ਲਈ ਹੇ ਮੇਰੇ ਪੁੱਤਰ ਤੂੰ ਮੇਰੀ ਸੁਣ ਅਤੇ ਮੇਰੇ ਮੂੰਹ ਦੇ ਬਚਨਾਂ ਤੋਂ ਨਾ ਮੁੜ।
[IRV | PA | OT | Proverbs | Chapter 5 | Verse 8] ਉਸ ਔਰਤ ਤੋਂ ਆਪਣਾ ਰਾਹ ਦੂਰ ਹੀ ਰੱਖ ਅਤੇ ਉਹ ਦੇ ਘਰ ਦੇ ਬੂਹੇ ਦੇ ਨੇੜੇ ਵੀ ਨਾ ਜਾ,
[IRV | PA | OT | Proverbs | Chapter 5 | Verse 9] ਕਿਤੇ ਤੂੰ ਆਪਣਾ ਆਦਰ ਹੋਰਨਾਂ ਨੂੰ ਅਤੇ ਆਪਣੀ ਉਮਰ ਨਿਰਦਈਆਂ ਨੂੰ ਦੇਵੇਂ,
[IRV | PA | OT | Proverbs | Chapter 5 | Verse 10] ਕਿਤੇ ਪਰਾਏ ਤੇਰੀ ਕਮਾਈ ਨਾਲ ਰੱਜ ਜਾਣ ਅਤੇ ਤੇਰੀ ਮਿਹਨਤ ਓਪਰੇ ਦੇ ਘਰ ਜਾਵੇ
[IRV | PA | OT | Proverbs | Chapter 5 | Verse 11] ਅਤੇ ਤੇਰੇ ਜੀਵਨ ਦੇ ਅੰਤ ਵਿੱਚ ਜਦ ਮੇਰਾ ਮਾਸ ਅਤੇ ਤੇਰੀ ਦੇਹ ਕਮਜ਼ੋਰ ਪੈ ਜਾਵੇ, ਤਾਂ ਤੂੰ ਰੋਵੇਂ
