[IRV | PA | OT | Proverbs | Chapter 8 | Verse 1] ਭਲਾ, ਬੁੱਧ ਨਹੀਂ ਪੁਕਾਰਦੀ? ਭਲਾ, ਸਮਝ ਅਵਾਜ਼ ਨਹੀਂ ਮਾਰਦੀ?
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 2] ਉਹ ਰਾਹ ਦੇ ਲਾਗੇ ਉੱਚੇ-ਉੱਚੇ ਥਾਵਾਂ ਵਿੱਚ, ਅਤੇ ਚੌਰਾਹਿਆਂ ਵਿੱਚ ਖੜ੍ਹੀ ਹੁੰਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 3] ਫਾਟਕਾਂ ਦੇ ਕੋਲ, ਨਗਰ ਦੇ ਲਾਂਘਿਆਂ ਤੇ, ਅਤੇ ਬੂਹਿਆਂ ਦੇ ਕੋਲ ਉਹ ਹਾਕ ਮਾਰਦੀ ਹੈ,
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 4] ਹੇ ਮਨੁੱਖੋ, ਮੈਂ ਤੁਹਾਨੂੰ ਹੀ ਪੁਕਾਰਦੀ ਹਾਂ, ਅਤੇ ਆਦਮ ਵੰਸ਼ੀਆਂ ਲਈ ਮੇਰੀ ਅਵਾਜ਼ ਹੈ!
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 5] ਹੇ ਭੋਲਿਓ, ਹੁਸ਼ਿਆਰੀ ਸਿੱਖੋ, ਅਤੇ ਹੇ ਮੂਰਖੋ, ਤੁਸੀਂ ਮਨ ਵਿੱਚ ਚਤਰ ਬਣੋ!
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 6] ਸੁਣੋ, ਮੈਂ ਉੱਤਮ ਗੱਲਾਂ ਆਖਾਂਗੀ, ਅਤੇ ਮੇਰੇ ਬੁੱਲ ਖਰੀਆਂ ਗੱਲਾਂ ਲਈ ਖੁੱਲਣਗੇ,
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 7] ਕਿਉਂ ਜੋ ਮੇਰੀ ਜੀਭ ਸੱਚੋ-ਸੱਚ ਆਖੇਗੀ, ਅਤੇ ਮੇਰੇ ਬੁੱਲ੍ਹਾਂ ਨੂੰ ਦੁਸ਼ਟਤਾਈ ਤੋਂ ਘਿਣ ਆਉਂਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 8] ਮੇਰੇ ਮੂੰਹ ਦੇ ਸਾਰੇ ਬਚਨ ਧਰਮ ਦੇ ਹਨ, ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਕੋਈ ਵਿੰਗਾ ਟੇਢਾ ਨਹੀਂ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 9] ਸਮਝ ਵਾਲੇ ਦੇ ਲਈ ਓਹ ਸੱਭੇ ਸਰਲ ਹਨ, ਅਤੇ ਗਿਆਨ ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਿਆਂ ਦੇ ਲਈ ਓਹ ਖਰੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 10] ਚਾਂਦੀ ਨਾਲੋਂ ਮੇਰੀ ਸਿੱਖਿਆ ਨੂੰ, ਅਤੇ ਚੋਖੇ ਸੋਨੇ ਨਾਲੋਂ ਗਿਆਨ ਨੂੰ ਗ੍ਰਹਿਣ ਕਰੋ,
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 11] ਕਿਉਂ ਜੋ ਬੁੱਧ ਹੀਰੇ ਮੋਤੀਆਂ ਨਾਲੋਂ ਵੀ ਉੱਤਮ ਹੈ, ਅਤੇ ਸੱਭੋ ਮਨੋਹਰ ਵਸਤਾਂ ਉਹ ਦੇ ਤੁੱਲ ਨਹੀਂ ਹੁੰਦੀਆਂ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 12] ਮੈਂ ਬੁੱਧ ਸਿਆਣਪ ਨਾਲ ਵੱਸਦੀ ਹਾਂ, ਅਤੇ ਗਿਆਨ ਤੇ ਸੋਝੀ ਨੂੰ ਮੈਂ ਹੀ ਭਾਲਦੀ ਹਾਂ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 13] ਯਹੋਵਾਹ ਦਾ ਭੈਅ ਬੁਰਿਆਈ ਤੋਂ ਨਫ਼ਰਤ ਕਰਨਾ ਹੈ, ਘਮੰਡ, ਹੰਕਾਰ ਅਤੇ ਬੁਰੀ ਚਾਲ, ਪੁੱਠੀਆਂ ਸਿੱਧੀਆਂ ਗੱਲਾਂ ਨਾਲ ਵੀ ਮੈਂ ਵੈਰ ਰੱਖਦੀ ਹਾਂ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 14] ਮੱਤ ਅਤੇ ਸਿਆਣਪ ਮੇਰੀ ਹੈ, ਸਮਝ ਮੈਂ ਹਾਂ, ਸਮਰੱਥਾ ਮੇਰੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 15] ਰਾਜੇ ਮੇਰੀ ਸਹਾਇਤਾ ਨਾਲ ਰਾਜ ਕਰਦੇ, ਅਤੇ ਹਾਕਮ ਧਰਮ ਦੇ ਹੁਕਮ ਚਲਾਉਂਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 16] ਮੇਰੇ ਹੀ ਕਾਰਨ ਸਰਦਾਰ ਸਰਦਾਰੀ ਕਰਦੇ ਹਨ, ਨਾਲੇ ਧਰਤੀ ਦੇ ਪਤਵੰਤੇ ਅਤੇ ਸਾਰੇ ਨਿਆਈਂ ਵੀ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 17] ਜਿਹੜੇ ਮੇਰੇ ਨਾਲ ਪ੍ਰੀਤ ਲਾਉਂਦੇ ਹਨ ਉਨ੍ਹਾਂ ਨਾਲ ਮੈਂ ਵੀ ਪ੍ਰੀਤ ਲਾਉਂਦੀ ਹਾਂ, ਅਤੇ ਜਿਹੜੇ ਮਨ ਨਾਲ ਮੈਨੂੰ ਭਾਲਦੇ ਹਨ ਓਹ ਮੈਨੂੰ ਲੱਭ ਲੈਣਗੇ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 18] ਧਨ ਅਤੇ ਆਦਰ ਮੇਰੇ ਹੱਥ ਵਿੱਚ ਹਨ, ਸਗੋਂ ਸਦੀਪਕ ਧਨ ਤੇ ਧਰਮ ਵੀ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 19] ਮੇਰਾ ਫਲ ਸੋਨੇ ਸਗੋਂ ਚੋਖੇ ਸੋਨੇ ਨਾਲੋਂ ਚੰਗਾ ਹੈ, ਅਤੇ ਮੇਰੀ ਪ੍ਰਾਪਤੀ ਉੱਤਮ ਚਾਂਦੀ ਨਾਲੋਂ ਵੀ ਚੰਗੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 8 | Verse 20] ਮੈਂ ਧਰਮ ਦੇ ਮਾਰਗ ਵਿੱਚ, ਅਤੇ ਨਿਆਂ ਦੇ ਰਾਹਾਂ ਦੇ ਵਿਚਕਾਰ ਤੁਰਦੀ ਹਾਂ,
