[IRV | PA | OT | Proverbs | Chapter 31 | Verse 1] ਲਮੂਏਲ ਰਾਜਾ ਦੀਆਂ ਕਹਾਉਤਾਂ ਜਿਹੜੀਆਂ ਉਹ ਦੀ ਮਾਤਾ ਨੇ ਉਹ ਨੂੰ ਸਿਖਾਈਆਂ,
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 2] ਹੇ ਮੇਰੇ ਪੁੱਤਰ, ਹੈ ਮੇਰੇ ਨਿੱਜ ਪੁੱਤਰ, ਹੇ ਮੇਰੀਆਂ ਸੁੱਖਣਾਂ ਦੇ ਪੁੱਤਰ
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 3] ਆਪਣਾ ਬਲ ਪਰਾਈਆਂ ਔਰਤਾਂ ਨੂੰ ਨਾ ਦੇ, ਨਾ ਆਪਣਾ ਜੀਵਨ ਰਾਜਿਆਂ ਨੂੰ ਨਾਸ ਕਰਨ ਵਾਲੀਆਂ ਨੂੰ!
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 4] ਰਾਜਿਆਂ ਨੂੰ, ਹੇ ਲਮੂਏਲ, ਰਾਜਿਆਂ ਨੂੰ ਦਾਖ ਮਧੂ ਦਾ ਪੀਣਾ ਜੋਗ ਨਹੀਂ, ਅਤੇ ਨਾ ਰਾਜ ਪੁੱਤਰਾਂ ਨੂੰ ਆਖਣਾ, ਸ਼ਰਾਬ ਕਿੱਥੇ ਹੈ
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 5] ਅਜਿਹਾ ਨਾ ਹੋਵੇ ਕਿ ਉਹ ਪੀ ਕੇ ਬਿਧੀ ਨੂੰ ਭੁੱਲ ਜਾਣ, ਅਤੇ ਦੁਖਿਆਰਾਂ ਦਾ ਹੱਕ ਮਾਰਨ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 6] ਸ਼ਰਾਬ ਉਸ ਨੂੰ ਪਿਲਾਓ ਜੋ ਨਾਸ ਹੋਣਾ ਵਾਲਾ ਹੈ, ਅਤੇ ਮਧ ਉਸ ਨੂੰ ਜਿਹ ਦਾ ਮਨ ਉਦਾਸ ਹੈ,
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 7] ਤਾਂ ਜੋ ਉਹ ਪੀ ਕੇ ਆਪਣੀ ਤੰਗੀ ਨੂੰ ਭੁੱਲ ਜਾਵੇ, ਅਤੇ ਆਪਣੇ ਕਸ਼ਟ ਨੂੰ ਫੇਰ ਚੇਤੇ ਨਾ ਕਰੇ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 8] ਗੂੰਗਿਆਂ ਦੇ ਲਈ ਆਪਣਾ ਮੂੰਹ ਖੋਲ੍ਹ, ਅਤੇ ਉਹਨਾਂ ਸਭਨਾਂ ਦੇ ਹੱਕ ਲਈ, ਜਿਹੜੇ ਅਨਾਥ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 9] ਆਪਣਾ ਮੂੰਹ ਖੋਲ੍ਹ ਕੇ ਧਰਮ ਦਾ ਨਿਆਂ ਕਰ, ਅਤੇ ਮਸਕੀਨਾਂ ਤੇ ਕੰਗਾਲਾਂ ਦੇ ਹੱਕ ਲਈ ਲੜ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 10] ਨੇਕ ਇਸਤਰੀ ਕਿਸਨੂੰ ਮਿਲਦੀ ਹੈ? ਕਿਉਂ ਜੋ ਉਹ ਦੀ ਕਦਰ ਹੀਰੇ ਮੋਤੀਆਂ ਨਾਲੋਂ ਬਹੁਤ ਵਧੇਰੇ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 11] ਉਹ ਦੇ ਪਤੀ ਦਾ ਮਨ ਉਹ ਦੇ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਦਾ ਹੈ, ਅਤੇ ਉਹ ਨੂੰ ਲਾਭ ਦੀ ਕੁਝ ਥੁੜ ਨਹੀਂ ਹੁੰਦੀ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 12] ਉਮਰ ਭਰ ਉਹ ਉਸ ਦੇ ਨਾਲ ਭਲਿਆਈ ਹੀ ਕਰੇਗੀ, ਬੁਰਿਆਈ ਨਹੀਂ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 13] ਉਹ ਉੱਨ ਅਤੇ ਕਤਾਨ ਭਾਲ ਕੇ, ਖੁਸ਼ੀ ਨਾਲ ਆਪਣੇ ਹੱਥੀਂ ਕੰਮ ਕਰਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 14] ਉਹ ਵਪਾਰੀਆਂ ਦੇ ਜਹਾਜ਼ਾਂ ਵਰਗੀ ਹੈ, ਉਹ ਆਪਣਾ ਭੋਜਨ ਦੂਰੋਂ ਮੰਗਵਾਉਂਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 15] ਰਾਤ ਰਹਿੰਦਿਆਂ ਉਹ ਉੱਠ ਕੇ ਆਪਣੇ ਟੱਬਰ ਲਈ ਭੋਜਨ ਤਿਆਰ ਕਰਦੀ, ਅਤੇ ਆਪਣੀਆਂ ਦਾਸੀਆਂ ਨੂੰ ਕੰਮ ਦਿੰਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 16] ਉਹ ਸੋਚ ਵਿਚਾਰ ਕੇ ਕਿਸੇ ਖੇਤ ਨੂੰ ਮੁੱਲ ਲੈਂਦੀ ਹੈ, ਅਤੇ ਆਪਣੇ ਹੱਥਾਂ ਦੀ ਕਮਾਈ ਨਾਲ ਦਾਖ ਦੀ ਬਾੜੀ ਲਾਉਂਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 17] ਉਹ ਬਲ ਨਾਲ ਆਪਣਾ ਲੱਕ ਬੰਨ੍ਹਦੀ ਹੈ, ਅਤੇ ਆਪਣੀਆਂ ਬਾਹਾਂ ਨੂੰ ਤਗੜਿਆਂ ਕਰਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 18] ਉਹ ਪਰਖ ਲੈਂਦੀ ਹੈ ਭਈ ਮੇਰਾ ਵਪਾਰ ਚੰਗਾ ਹੈ, ਰਾਤ ਨੂੰ ਉਹ ਦਾ ਦੀਵਾ ਨਹੀਂ ਬੁੱਝਦਾ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 19] ਉਹ ਤੱਕਲੇ ਨੂੰ ਹੱਥ ਲਾਉਂਦੀ ਹੈ, ਅਤੇ ਉਹ ਦੇ ਹੱਥ ਚਰਖ਼ੇ ਨੂੰ ਫੜ੍ਹਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 20] ਉਹ ਮਸਕੀਨਾਂ ਲਈ ਮੁੱਠ ਖੋਲ੍ਹਦੀ ਹੈ, ਅਤੇ ਕੰਗਾਲਾਂ ਦੀ ਮਦਦ ਲਈ ਆਪਣਾ ਹੱਥ ਵਧਾਉਂਦੀ ਹੈ
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 21] ਉਹ ਨੂੰ ਆਪਣੇ ਟੱਬਰ ਦੇ ਲਈ ਬਰਫ਼ ਦਾ ਡਰ ਨਹੀਂ, ਕਿਉਂ ਜੋ ਉਹ ਦਾ ਸਾਰਾ ਟੱਬਰ ਕਿਰਮਚ ਪਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 22] ਉਹ ਆਪਣੇ ਲਈ ਸਿਰਹਾਣੇ ਬਣਾਉਂਦੀ ਹੈ, ਉਹ ਦੇ ਬਸਤਰ ਕਤਾਨੀ ਤੇ ਬੈਂਗਣੀ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 23] ਉਹ ਦਾ ਪਤੀ ਸਭਾ ਵਿੱਚ ਪ੍ਰਧਾਨਾਂ ਨਾਲ ਬੈਠਦਾ ਹੈ, ਤਦ ਉਸ ਦਾ ਆਦਰ ਹੁੰਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 24] ਉਹ ਮਲਮਲ ਦੇ ਬਸਤਰ ਬਣਾ ਕੇ ਵੇਚਦੀ ਹੈ, ਅਤੇ ਵਪਾਰੀਆਂ ਨੂੰ ਕਮਰਬੰਦ ਦਿੰਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 25] ਬਲ ਅਤੇ ਮਾਣ ਉਹ ਦਾ ਲਿਬਾਸ ਹੈ, ਅਤੇ ਆਉਣ ਵਾਲੇ ਦਿਨਾਂ ਉੱਤੇ ਹੱਸਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 26] ਉਹ ਬੁੱਧ ਨਾਲ ਆਪਣਾ ਮੁੱਖ ਖੋਲਦੀ ਹੈ, ਅਤੇ ਉਹ ਦੀ ਗੱਲਾਂ ਕਿਰਪਾ ਦੀ ਸਿੱਖਿਆ ਨਾਲ ਭਰੀਆਂ ਹੋਈਆਂ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 27] ਉਹ ਆਪਣੇ ਟੱਬਰ ਦੀ ਚਾਲ ਨੂੰ ਧਿਆਨ ਨਾਲ ਵੇਖਦੀ ਹੈ, ਅਤੇ ਆਲਸ ਦੀ ਰੋਟੀ ਨਹੀਂ ਖਾਂਦੀ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 28] ਉਹ ਦੇ ਬੱਚੇ ਉੱਠ ਕੇ ਉਹ ਨੂੰ ਧੰਨ ਆਖਦੇ ਹਨ, ਅਤੇ ਉਹ ਦਾ ਪਤੀ ਵੀ, ਅਤੇ ਉਹ ਉਸ ਦੀ ਵਡਿਆਈ ਕਰਦਾ ਹੈ,
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 29] ਭਈ ਬਥੇਰੀਆਂ ਨਾਰੀਆਂ ਨੇ ਉੱਤਮਤਾਈ ਵਿਖਾਈ ਹੈ, ਪਰ ਤੂੰ ਉਹਨਾਂ ਸਭਨਾਂ ਨਾਲੋਂ ਉੱਤਮ ਹੈਂ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 30] ਸ਼ੋਭਾ ਝੂਠ ਛਲ ਹੈ ਅਤੇ ਸੁਹੱਪਣ ਵਿਅਰਥ ਹੈ, ਪਰ ਉਹ ਇਸਤ੍ਰੀ ਜੋ ਯਹੋਵਾਹ ਦਾ ਭੈਅ ਮੰਨਦੀ ਹੈ, ਉਹ ਦੀ ਵਡਿਆਈ ਕੀਤੀ ਜਾਵੇਗੀ।
[IRV | PA | OT | Proverbs | Chapter 31 | Verse 31] ਉਹ ਦੇ ਹੱਥਾਂ ਦਾ ਫਲ ਉਹ ਨੂੰ ਦਿਓ, ਅਤੇ ਉਹ ਦੇ ਕੰਮਾਂ ਅਨੁਸਾਰ ਸਭਾ ਵਿੱਚ ਉਹ ਦੀ ਵਡਿਆਈ ਹੋਵੇ!
