[IRV | PA | OT | Proverbs | Chapter 4 | Verse 1] ਹੇ ਮੇਰੇ ਪੁੱਤਰੋ, ਤੁਸੀਂ ਪਿਤਾ ਦਾ ਉਪਦੇਸ਼ ਸੁਣੋ ਅਤੇ ਸਮਝ ਪ੍ਰਾਪਤ ਕਰਨ ਉੱਤੇ ਮਨ ਲਾਓ,
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 2] ਕਿਉਂ ਜੋ ਮੈਂ ਤੁਹਾਨੂੰ ਚੰਗੀ ਸਿੱਖਿਆ ਦਿੰਦਾ ਹਾਂ, ਤੁਸੀਂ ਮੇਰੀ ਸਿੱਖਿਆ ਨੂੰ ਨਾ ਛੱਡੋ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 3] ਜਦ ਮੈਂ ਆਪਣੇ ਪਿਤਾ ਦਾ ਪੁੱਤਰ ਅਤੇ ਆਪਣੀ ਮਾਂ ਦਾ ਇਕੱਲਾ ਹੀ ਲਾਡਲਾ ਸੀ,
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 4] ਤਦ ਉਸ ਨੇ ਮੈਨੂੰ ਸਿਖਾਇਆ ਤੇ ਇਹ ਆਖਿਆ, ਤੇਰਾ ਮਨ ਮੇਰੀਆਂ ਗੱਲਾਂ ਨੂੰ ਫੜ੍ਹੀ ਰੱਖੇ, ਤੂੰ ਮੇਰੇ ਹੁਕਮਾਂ ਨੂੰ ਮੰਨ, ਤਾਂ ਤੂੰ ਜੀਵੇਂਗਾ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 5] ਬੁੱਧ ਨੂੰ ਪ੍ਰਾਪਤ ਕਰ, ਸਮਝ ਨੂੰ ਵੀ ਪ੍ਰਾਪਤ ਕਰ, ਮੇਰੇ ਬਚਨਾਂ ਨੂੰ ਨਾ ਭੁਲਾਈਂ ਅਤੇ ਨਾ ਉਨ੍ਹਾਂ ਤੋਂ ਮੁੜੀਂ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 6] ਉਹ ਨੂੰ ਨਾ ਛੱਡੀਂ ਤਾਂ ਉਹ ਤੇਰੀ ਰੱਖਿਆ ਕਰੇਗੀ, ਉਹ ਦੇ ਨਾਲ ਪ੍ਰੀਤ ਲਾਵੀਂ ਤਾਂ ਉਹ ਤੇਰੀ ਰਾਖੀ ਕਰੇਗੀ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 7] ਬੁੱਧ ਦਾ ਮੁੱਢ ਇਹ ਹੈ ਭਈ ਬੁੱਧ ਨੂੰ ਪ੍ਰਾਪਤ ਕਰ ਅਤੇ ਆਪਣੇ ਸਾਰੇ ਜਤਨ ਨਾਲ ਸਮਝ ਨੂੰ ਪ੍ਰਾਪਤ ਕਰ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 8] ਉਹ ਦੀ ਵਡਿਆਈ ਕਰ ਤਾਂ ਉਹ ਤੈਨੂੰ ਵਧਾਵੇਗੀ, ਜੇ ਤੂੰ ਉਹ ਨੂੰ ਗਲ਼ ਲਾਵੇਂ ਤਾਂ ਉਹ ਤੈਨੂੰ ਆਦਰ ਦੇਵੇਗੀ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 9] ਉਹ ਤੇਰੇ ਸਿਰ ਉੱਤੇ ਸ਼ਿੰਗਾਰ ਦਾ ਸਿਹਰਾ ਬੰਨ੍ਹੇਗੀ, ਉਹ ਤੈਨੂੰ ਸੁਹੱਪਣ ਦਾ ਮੁਕਟ ਦੇਵੇਗੀ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 10] ਹੇ ਮੇਰੇ ਪੁੱਤਰ, ਸੁਣ ਅਤੇ ਮੇਰੀਆਂ ਗੱਲਾਂ ਨੂੰ ਮੰਨ, ਤਾਂ ਤੇਰੀ ਉਮਰ ਬਹੁਤ ਲੰਮੀ ਹੋਵੇਗੀ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 11] ਮੈਂ ਤੈਨੂੰ ਬੁੱਧ ਦਾ ਰਾਹ ਦੱਸਿਆ ਹੈ, ਮੈਂ ਸਿੱਧੇ ਮਾਰਗ ਉੱਤੇ ਤੇਰੀ ਅਗਵਾਈ ਕੀਤੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 12] ਜਦ ਤੂੰ ਤੁਰੇਂਗਾ ਤਾਂ ਤੇਰੇ ਰਾਹਾਂ ਵਿੱਚ ਕੋਈ ਰੁਕਾਵਟ ਨਾ ਹੋਵੇਗੀ ਅਤੇ ਜੇ ਤੂੰ ਭੱਜੇਂ ਤਾਂ ਵੀ ਤੂੰ ਠੇਡਾ ਨਾ ਖਾਵੇਂਗਾ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 13] ਸਿੱਖਿਆ ਨੂੰ ਫੜੀ ਰੱਖ, ਉਹ ਨੂੰ ਛੱਡੀਂ ਨਾ, ਉਹ ਨੂੰ ਸਾਂਭ ਕੇ ਰੱਖ, ਉਹੋ ਤੇਰਾ ਜੀਵਨ ਹੈ!
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 14] ਦੁਸ਼ਟਾਂ ਦੇ ਰਾਹ ਵਿੱਚ ਨਾ ਚੱਲ ਅਤੇ ਬੁਰਿਆਰਾਂ ਦੇ ਮਾਰਗ ਉੱਤੇ ਨਾ ਤੁਰ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 15] ਉਸ ਤੋਂ ਦੂਰ ਰਹਿ, ਉਹ ਦੇ ਕੋਲੋਂ ਦੀ ਵੀ ਨਾ ਲੰਘੀਂ, ਉਸ ਤੋਂ ਮੂੰਹ ਮੋੜ ਕੇ ਅਗਾਹਾਂ ਨੂੰ ਲੰਘ ਜਾ,
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 16] ਕਿਉਂ ਜੋ ਜਦੋਂ ਤੱਕ ਉਹ ਬੁਰਿਆਈ ਨਾ ਕਰ ਲੈਣ, ਉਨ੍ਹਾਂ ਨੂੰ ਨੀਂਦ ਨਹੀਂ ਆਉਂਦੀ ਅਤੇ ਜਦ ਤੱਕ ਉਹ ਕਿਸੇ ਦੇ ਲਈ ਠੋਕਰ ਦਾ ਕਾਰਨ ਨਾ ਬਣਨ, ਉਹ ਉਣੀਂਦਰੇ ਰਹਿੰਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 17] ਉਹ ਬੁਰਿਆਈ ਦੀ ਰੋਟੀ ਖਾਂਦੇ ਅਤੇ ਜ਼ੁਲਮ ਦੀ ਮਧ ਪੀਂਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 18] ਪਰ ਧਰਮੀਆਂ ਦਾ ਰਾਹ ਫ਼ਜ਼ਰ ਦੇ ਚਾਨਣ ਵਰਗਾ ਹੈ, ਜਿਸ ਦਾ ਚਾਨਣ ਦੁਪਹਿਰ ਤੱਕ ਵੱਧਦਾ ਹੀ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 19] ਦੁਸ਼ਟਾਂ ਦਾ ਰਾਹ ਘੁੱਪ ਹਨੇਰ ਵਰਗਾ ਹੈ, ਉਹ ਜਾਣਦੇ ਵੀ ਨਹੀਂ ਕੀ ਉਹਨਾਂ ਨੂੰ ਕਿਸ ਤੋਂ ਠੋਕਰ ਲੱਗਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 20] ਹੇ ਮੇਰੇ ਪੁੱਤਰ, ਤੂੰ ਮੇਰੀਆਂ ਗੱਲਾਂ ਧਿਆਨ ਨਾਲ ਸੁਣ ਅਤੇ ਮੇਰੇ ਬਚਨਾਂ ਉੱਤੇ ਕੰਨ ਲਾ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 21] ਉਹਨਾਂ ਨੂੰ ਆਪਣੀਆਂ ਅੱਖੀਆਂ ਤੋਂ ਓਹਲੇ ਨਾ ਹੋਣ ਦੇ, ਆਪਣੇ ਮਨ ਵਿੱਚ ਉਹਨਾਂ ਨੂੰ ਸੰਭਾਲ ਕੇ ਰੱਖ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 22] ਜਿਨ੍ਹਾਂ ਨੂੰ ਉਹ ਪ੍ਰਾਪਤ ਹੁੰਦੀਆਂ ਹਨ, ਉਨ੍ਹਾਂ ਦੇ ਲਈ ਜੀਵਨ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਸਾਰੇ ਸਰੀਰ ਦੇ ਲਈ ਤੰਦਰੁਸਤੀ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 23] ਆਪਣੇ ਮਨ ਦੀ ਵੱਡੀ ਚੌਕਸੀ ਕਰ, ਕਿਉਂ ਜੋ ਜੀਵਨ ਦੀਆਂ ਧਾਰਾਂ ਓਸੇ ਤੋਂ ਨਿੱਕਲਦੀਆਂ ਹਨ!
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 24] ਪੁੱਠੀਆਂ ਗੱਲਾਂ ਆਪਣੇ ਮੂੰਹ ਤੋਂ ਅਤੇ ਟੇਢੀ ਬੋਲੀ ਆਪਣੇ ਬੁੱਲ੍ਹਾਂ ਤੋਂ ਦੂਰ ਰੱਖ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 25] ਤੇਰੀਆਂ ਅੱਖਾਂ ਸਾਹਮਣੇ ਵੱਲ ਹੀ ਵੇਖਦੀਆਂ ਰਹਿਣ ਅਤੇ ਤੇਰੀਆਂ ਪਲਕਾਂ ਅੱਗੇ ਨੂੰ ਲੱਗੀਆਂ ਰਹਿਣ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 26] ਆਪਣੇ ਪੈਰਾਂ ਲਈ ਰਾਹ ਨੂੰ ਪੱਧਰਾ ਕਰ, ਤਾਂ ਤੇਰੇ ਸਾਰੇ ਮਾਰਗ ਕਾਇਮ ਹੋਣਗੇ।
[IRV | PA | OT | Proverbs | Chapter 4 | Verse 27] ਨਾ ਸੱਜੇ ਨੂੰ ਮੁੜ ਅਤੇ ਨਾ ਖੱਬੇ ਨੂੰ, ਆਪਣੇ ਪੈਰ ਨੂੰ ਬੁਰਿਆਈ ਤੋਂ ਦੂਰ ਰੱਖ।
