[IRV | PA | OT | Proverbs | Chapter 17 | Verse 1] ਚੈਨ ਨਾਲ ਰੁੱਖੀ ਮਿੱਸੀ ਇਹ ਦੇ ਨਾਲੋਂ ਚੰਗੀ ਹੈ, ਭਈ ਘਰ ਵਿੱਚ ਬਹੁਤ ਪਦਾਰਥ ਹੋਣ ਪਰ ਝਗੜਾ ਹੋਵੇ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 2] ਸਿਆਣਾ ਸੇਵਕ ਸ਼ਰਮਿੰਦਾ ਕਰਨ ਵਾਲੇ ਪੁੱਤਰ ਉੱਤੇ ਹੁਕਮ ਚਲਾਵੇਗਾ, ਅਤੇ ਭਰਾਵਾਂ ਵਿੱਚ ਵੰਡ ਦਾ ਹਿੱਸਾ ਪਾਵੇਗਾ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 3] ਚਾਂਦੀ ਲਈ ਕੁਠਾਲੀ ਅਤੇ ਸੋਨੇ ਲਈ ਭੱਠੀ ਹੈ, ਪਰ ਮਨਾਂ ਦਾ ਪਰਖਣ ਵਾਲਾ ਯਹੋਵਾਹ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 4] ਕੁਕਰਮੀ ਵਿਅਰਥ ਦੀਆਂ ਗੱਲਾਂ ਨੂੰ ਧਿਆਨ ਦੇ ਕੇ ਸੁਣਦਾ ਹੈ, ਅਤੇ ਝੂਠਾ ਦੁਸ਼ਟ ਜ਼ਬਾਨ ਵੱਲ ਕੰਨ ਲਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 5] ਜਿਹੜਾ ਗਰੀਬ ਦਾ ਮਜ਼ਾਕ ਉਡਾਉਂਦਾ ਹੈ ਉਹ ਉਸ ਦੇ ਸਿਰਜਣਹਾਰ ਦੀ ਨਿੰਦਿਆ ਕਰਦਾ ਹੈ, ਅਤੇ ਜਿਹੜਾ ਕਿਸੇ ਦੀ ਬਿਪਤਾ ਉੱਤੇ ਹੱਸਦਾ ਹੈ ਉਹ ਨਿਰਦੋਸ਼ ਨਾ ਠਹਿਰੇਗਾ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 6] ਪੋਤੇ ਬਜ਼ੁਰਗਾਂ ਦੇ ਮੁਕਟ ਹਨ, ਅਤੇ ਪੁੱਤਰਾਂ ਦੀ ਸੋਭਾ ਉਹਨਾਂ ਦੇ ਮਾਪੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 7] ਜਦ ਮਿੱਠਾ ਬੋਲ ਮੂਰਖ ਨੂੰ ਨਹੀਂ ਫੱਬਦਾ, ਤਾਂ ਪਤਵੰਤ ਨੂੰ ਝੂਠੇ ਬੁੱਲ੍ਹ ਕਿਵੇਂ ਫੱਬਣਗੇ?
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 8] ਰਿਸ਼ਵਤ ਉਹ ਦੇ ਦੇਣ ਵਾਲੇ ਦੀ ਨਿਗਾਹ ਵਿੱਚ ਬਹੁਮੁੱਲਾ ਰਤਨ ਹੈ, ਜਿੱਧਰ ਨੂੰ ਉਹ ਜਾਂਦਾ ਹੈ, ਉਹ ਸਫ਼ਲ ਹੁੰਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 9] ਜਿਹੜਾ ਅਪਰਾਧ ਨੂੰ ਢੱਕ ਲੈਂਦਾ ਹੈ ਉਹ ਪ੍ਰੇਮ ਨੂੰ ਭਾਲਦਾ ਹੈ, ਪਰ ਜੋ ਕਿਸੇ ਗੱਲ ਨੂੰ ਬਾਰ-ਬਾਰ ਛੇੜਦਾ ਹੈ ਉਹ ਪੱਕੇ ਮਿੱਤਰਾਂ ਵਿੱਚ ਫੁੱਟ ਪਾ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 10] ਸਮਝ ਵਾਲੇ ਉੱਤੇ ਇੱਕ ਝਿੜਕ, ਮੂਰਖ ਉੱਤੇ ਸੌ ਕੋਰੜਿਆਂ ਨਾਲੋਂ ਵੱਧ ਅਸਰ ਕਰਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 11] ਭੈੜਾ ਮਨੁੱਖ ਕੇਵਲ ਝਗੜਾ ਕਰਨਾ ਹੀ ਚਾਹੁੰਦਾ ਹੈ, ਸੋ ਇੱਕ ਜ਼ਾਲਮ ਸੰਦੇਸ਼ਵਾਹਕ ਉਹ ਦੇ ਵਿਰੁੱਧ ਭੇਜਿਆ ਜਾਵੇਗਾ।
