[IRV | PA | OT | Proverbs | Chapter 16 | Verse 1] ਮਨ ਦੀਆਂ ਯੋਜਨਾਵਾਂ ਤਾਂ ਆਦਮੀ ਦੇ ਵੱਸ ਵਿੱਚ ਹਨ, ਪਰ ਜ਼ੁਬਾਨੋ ਉੱਤਰ ਯਹੋਵਾਹ ਵੱਲੋਂ ਹੁੰਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 2] ਮਨੁੱਖ ਦੀ ਸਾਰੀ ਚਾਲ ਉਹ ਦੀ ਆਪਣੀ ਨਿਗਾਹ ਵਿੱਚ ਸ਼ੁੱਧ ਹੈ, ਪਰ ਯਹੋਵਾਹ ਮਨਾਂ ਨੂੰ ਜਾਚਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 3] ਆਪਣੇ ਕੰਮਾਂ ਨੂੰ ਯਹੋਵਾਹ ਉੱਤੇ ਛੱਡ ਦੇ, ਤਾਂ ਤੇਰੇ ਮਨੋਰਥ ਪੂਰੇ ਹੋਣਗੇ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 4] ਯਹੋਵਾਹ ਨੇ ਸਾਰੀਆਂ ਵਸਤਾਂ ਖ਼ਾਸ ਮਕਸਦ ਲਈ ਬਣਾਈਆਂ, ਹਾਂ, ਦੁਸ਼ਟ ਨੂੰ ਵੀ ਬਿਪਤਾ ਦੇ ਦਿਨ ਲਈ ਬਣਾਇਆ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 5] ਹਰੇਕ ਜਿਹ ਦੇ ਮਨ ਵਿੱਚ ਹੰਕਾਰ ਹੈ ਉਸ ਤੋਂ ਯਹੋਵਾਹ ਨੂੰ ਘਿਣ ਆਉਂਦੀ ਹੈ, ਮੈਂ ਦਲੇਰੀ ਨਾਲ ਆਖਦਾ ਹਾਂ ਕਿ ਅਜਿਹੇ ਲੋਕ ਬਿਨ੍ਹਾਂ ਸਜ਼ਾ ਤੋਂ ਨਾ ਛੁੱਟਣਗੇ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 6] ਦਯਾ ਅਤੇ ਸਚਿਆਈ ਨਾਲ ਕੁਧਰਮ ਢੱਕਿਆ ਜਾਂਦਾ ਹੈ, ਅਤੇ ਯਹੋਵਾਹ ਦਾ ਭੈਅ ਮੰਨਣ ਕਰਕੇ ਲੋਕ ਬੁਰਿਆਈ ਤੋਂ ਬਚੇ ਰਹਿੰਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 7] ਜਦ ਕਿਸੇ ਦੀ ਚਾਲ ਯਹੋਵਾਹ ਨੂੰ ਭਾਉਂਦੀ ਹੈ, ਤਾਂ ਉਹ ਉਸ ਦੇ ਵੈਰੀਆਂ ਨਾਲ ਵੀ ਉਸ ਦਾ ਮੇਲ ਕਰਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 8] ਧਰਮ ਨਾਲ ਥੋੜਾ ਜਿਹਾ ਲਾਭ ਬੇਇਮਾਨੀ ਦੀ ਵੱਡੀ ਆਮਦਨੀ ਨਾਲੋਂ ਚੰਗਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 9] ਆਦਮੀ ਦੇ ਮਨ ਦੇ ਵਿਚਾਰ ਉਹ ਦੇ ਰਾਹਾਂ ਨੂੰ ਠਹਿਰਾਉਂਦੇ ਹਨ, ਪਰ ਯਹੋਵਾਹ ਉਹ ਦੇ ਪੈਰਾਂ ਦੀ ਅਗਵਾਈ ਕਰਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 10] ਰਾਜੇ ਦੇ ਮੂੰਹ ਤੋਂ ਸਵਰਗੀ ਬਚਨ ਨਿੱਕਲਦਾ ਹੈ, ਨਿਆਂ ਕਰਨ ਦੇ ਸਮੇਂ ਉਹ ਦਾ ਮੂੰਹ ਭੁੱਲ ਨਹੀਂ ਕਰਦਾ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 11] ਸੱਚੀ ਤੱਕੜੀ ਦੇ ਪੱਲੇ ਯਹੋਵਾਹ ਦੇ ਹਨ, ਗੁੱਥਲੀ ਦੇ ਸਾਰੇ ਵੱਟੇ ਓਸੇ ਦਾ ਕੰਮ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 16 | Verse 12] ਬੁਰਿਆਈ ਕਰਨੀ ਰਾਜੇ ਲਈ ਘਿਣਾਉਣੀ ਹੈ, ਕਿਉਂ ਜੋ ਧਰਮ ਨਾਲ ਹੀ ਉਨ੍ਹਾਂ ਦੀ ਗੱਦੀ ਦਾ ਟਿਕਾਓ ਹੁੰਦਾ ਹੈ।
