[IRV | PA | OT | Proverbs | Chapter 26 | Verse 1] ਜਿਵੇਂ ਗਰਮੀ ਵਿੱਚ ਬਰਫ਼ ਅਤੇ ਵਾਢੀ ਵਿੱਚ ਵਰਖਾ, ਤਿਵੇਂ ਮੂਰਖ ਨੂੰ ਆਦਰ ਸੂਤ ਨਹੀਂ।
[IRV | PA | OT | Proverbs | Chapter 26 | Verse 2] ਜਿਵੇਂ ਚਿੜ੍ਹੀ ਭਟਕਦੀ ਅਤੇ ਬਾਲ ਕਟਾਰਾ ਉੱਡਦਾ ਫਿਰਦਾ ਹੈ, ਓਵੇਂ ਹੀ ਮੱਲੋ-ਮੱਲੀ ਦਾ ਸਰਾਪ ਨਹੀਂ ਪੈਂਦਾ।
[IRV | PA | OT | Proverbs | Chapter 26 | Verse 3] ਘੋੜੇ ਦੇ ਲਈ ਚਾਬੁਕ, ਗਧੇ ਦੇ ਲਈ ਲਗਾਮ, ਅਤੇ ਮੂਰਖ ਦੀ ਪਿੱਠ ਲਈ ਸੋਟੀ ਹੁੰਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 26 | Verse 4] ਮੂਰਖ ਨੂੰ ਉਹ ਦੀ ਮੂਰਖਤਾਈ ਦੇ ਅਨੁਸਾਰ ਉੱਤਰ ਨਾ ਦੇ, ਕਿਤੇ ਤੂੰ ਵੀ ਉਹ ਦੇ ਵਰਗਾ ਨਾ ਹੋ ਜਾਵੇਂ।
[IRV | PA | OT | Proverbs | Chapter 26 | Verse 5] ਮੂਰਖ ਨੂੰ ਉਹ ਦੀ ਮੂਰਖਤਾਈ ਦੇ ਅਨੁਸਾਰ ਉੱਤਰ ਦੇ, ਕਿਤੇ ਉਹ ਆਪਣੇ ਲੇਖੇ ਵਿੱਚ ਬੁੱਧਵਾਨ ਨਾ ਬਣ ਬੈਠੇ।
[IRV | PA | OT | Proverbs | Chapter 26 | Verse 6] ਜਿਹੜਾ ਮੂਰਖ ਦੇ ਹੱਥ ਸੁਨੇਹਾ ਘੱਲਦਾ ਹੈ, ਉਹ ਆਪਣੇ ਪੈਰ ਤੇ ਕੁਹਾੜੀ ਮਾਰਦਾ ਅਤੇ ਜ਼ਹਿਰ ਪੀਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 26 | Verse 7] ਜਿਵੇਂ ਲੰਗੜੇ ਦੀਆਂ ਲਮਕਦੀਆਂ ਲੱਤਾਂ ਨਿਕੰਮੀਆਂ ਹਨ, ਓਵੇਂ ਮੂਰਖਾਂ ਦੇ ਮੂੰਹ ਵਿੱਚ ਕਹਾਉਤਾਂ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 26 | Verse 8] ਜਿਵੇਂ ਪੱਥਰਾਂ ਦੇ ਢੇਰ ਵਿੱਚ ਰਤਨਾਂ ਨੂੰ ਰੱਖਣਾ ਹੈ, ਓਵੇਂ ਮੂਰਖ ਨੂੰ ਆਦਰ ਦੇਣਾ ਹੈ,
[IRV | PA | OT | Proverbs | Chapter 26 | Verse 9] ਜਿਵੇਂ ਸ਼ਰਾਬੀ ਦੇ ਹੱਥ ਵਿੱਚ ਕੰਡਾ ਚੁੱਭਦਾ ਹੈ, ਤਿਵੇਂ ਮੂਰਖਾਂ ਦੇ ਮੂੰਹ ਵਿੱਚ ਦ੍ਰਿਸ਼ਟਾਂਤ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 26 | Verse 10] ਜਿਵੇਂ ਤੀਰ-ਅੰਦਾਜ਼ ਸਭਨਾਂ ਨੂੰ ਫੱਟੜ ਕਰਦਾ ਹੈ, ਤਿਵੇਂ ਉਹ ਹੈ ਜੋ ਮੂਰਖ ਅਤੇ ਲੰਘਣ ਵਾਲੇ ਨੂੰ ਮਜ਼ਦੂਰੀ ਤੇ ਲਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 26 | Verse 11] ਜਿਵੇਂ ਕੁੱਤਾ ਆਪਣੀ ਉਲਟੀ ਨੂੰ ਚੱਟ ਲੈਂਦਾ ਹੈ, ਓਵੇਂ ਮੂਰਖ ਆਪਣੀ ਮੂਰਖਤਾਈ ਨੂੰ ਦੁਹਰਾਉਂਦਾ ਹੈ।
