[IRV | UR | OT | Lamentations | Chapter 5 | Verse 1] ऐ ख़ुदावन्द, जो कुछ हम पर गुज़रा उसे याद कर; नज़र कर और हमारी रुस्वाई को देख।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 2] हमारी मीरास अजनबियों के हवाले की गई, हमारे घर बेगानों ने ले लिए।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 3] हम यतीम हैं, हमारे बाप नहीं, हमारी माँए बेवाओं की तरह हैं।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 4] हम ने अपना पानी मोल लेकर पिया; अपनी लकड़ी भी हम ने दाम देकर ली।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 5] हम को रगेदने वाले हमारे सिर पर हैं; हम थके हारे और बेआराम हैं।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 6] हम ने मिस्रियों और असूरियों की इता'अत क़ुबूल की ताकि रोटी से सेर और आसूदा हों।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 7] हमारे बाप दादा गुनाह करके चल बसे, और हम उनकी बदकिरदारी की सज़ा पा रहे हैं।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 8] गु़लाम हम पर हुक्मरानी करते हैं; उनके हाथ से छुड़ाने वाला कोई नहीं।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 9] सहरा नशीनों की तलवार के ज़रिए', हम जान पर खेलकर रोटी हासिल करते हैं।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 10] क़हत की झुलसाने वाली आग के ज़रिए', हमारा चमड़ा तनूर की तरह सियाह हो गया है।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 11] उन्होंने सिय्यून में 'औरतों को बेहुरमत किया और यहूदाह के शहरों में कुँवारी लड़कियों को।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 12] हाकिम को उनके हाथों से लटका दिया; बुज़ुगों की रू — दारी न की गई।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 13] जवानों ने चक्की पीसी, और बच्चों ने गिरते पड़ते लकड़ियाँ ढोईं।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 14] बुज़ुर्ग फाटकों पर दिखाई नहीं देते, जवानों की नग़मा परदाज़ी सुनाई नहीं देती।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 15] हमारे दिलों से खुशी जाती रही; हमारा रक़्स मातम से बदल गया।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 16] ताज हमारे सिर पर से गिर पड़ा; हम पर अफ़सोस! कि हम ने गुनाह किया।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 17] इसीलिए हमारे दिल बेताब हैं; इन्हीं बातों के ज़रिए' हमारी आँखें धुंदला गई,
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 18] कोह — ए — सिय्यून की वीरानी के ज़रिए', उस पर गीदड़ फिरते हैं।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 19] लेकिन तू, ऐ ख़ुदावन्द, हमेशा तक क़ायम है; और तेरा तख़्त नसल — दर — नसल।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 20] फिर तू क्यूँ हम को हमेशा के लिए भूल जाता है, और हम को लम्बे वक़्त तक तर्क करता है?
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 21] ऐ ख़ुदावन्द, हम को अपनी तरफ़ फिरा, तो हम फिरेंगे; हमारे दिन बदल दे, जैसे पहले से थे।
[IRV | UR | OT | Lamentations | Chapter 5 | Verse 22] क्या तू ने हमको बिल्कुल रद्द कर दिया है? क्या तू हमसे शख़्त नाराज़ है?
