[IRV | UR | OT | Lamentations | Chapter 3 | Verse 1] मैं ही वह शख़्स हूँ जिसने उसके ग़ज़ब की लाठी से दुख पाया।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 2] वह मेरा रहबर हुआ, और मुझे रौशनी में नहीं, बल्कि तारीकी में चलाया;
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 3] यक़ीनन उसका हाथ दिन भर मेरी मुख़ालिफ़त करता रहा।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 4] उसने मेरा गोश्त और चमड़ा ख़ुश्क कर दिया, और मेरी हड्डियाँ तोड़ डालीं,
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 5] उसने मेरे चारों तरफ़ दीवार खेंची और मुझे कड़वाहट और — मशक़्क़त से घेर लिया;
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 6] उसने मुझे लम्बे वक़्त से मुर्दों की तरह तारीक मकानों में रख्खा।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 7] उसने मेरे गिर्द अहाता बना दिया, कि मैं बाहर नहीं निकल सकता; उसने मेरी ज़ंजीर भारी कर दी।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 8] बल्कि जब मैं पुकारता और दुहाई देता हूँ, तो वह मेरी फ़रियाद नहीं सुनता।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 9] उसने तराशे हुए पत्थरों से मेरे रास्तेबन्द कर दिए, उसने मेरी राहें टेढ़ी कर दीं।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 10] वह मेरे लिए घात में बैठा हुआ रीछ और कमीनगाह का शेर — ए — बब्बर है।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 11] उसने मेरी राहें तंग कर दीं और मुझे रेज़ा — रेज़ा करके बर्बाद कर दिया।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 12] उसने अपनी कमान खींची और मुझे अपने तीरों का निशाना बनाया।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 13] उसने अपने तर्कश के तीरों से मेरे गुर्दों को छेद डाला।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 14] मैं अपने सब लोगों के लिए मज़ाक़, और दिन भर उनका चर्चा हूँ।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 15] उसने मुझे तल्ख़ी से भर दिया और नाग़दोने से मदहोश किया।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 16] उसने संगरेज़ों से मेरे दाँत तोड़े और मुझे ज़मीन की तह में लिटाया।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 17] तू ने मेरी जान को सलामती से दूरकर दिया, मैं ख़ुशहाली को भूल गया;
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 18] और मैंने कहा, “मैं नातवाँ हुआ, और ख़ुदावन्द से मेरी उम्मीद जाती रही।”
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 19] मेरे दुख का ख़्याल कर; मेरी मुसीबत, या'नी तल्ख़ी और नाग़दोने को याद कर।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 20] इन बातों की याद से मेरी जान मुझ में बेताब है।
[IRV | UR | OT | Lamentations | Chapter 3 | Verse 21] मैं इस पर सोचता रहता हूँ, इसीलिए मैं उम्मीदवार हूँ।
