[KJV | EN | OT | Haggai | Chapter 1 | Verse 1] In the second year of Darius the king, in the sixth month, in the first day of the month, came the word of the Lord by Haggai the prophet unto Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Josedech the high priest, saying,
[KJV | EN | OT | Haggai | Chapter 1 | Verse 2] Thus speaketh the Lord of hosts, saying, This people say, The time is not come, the time that the Lord’s house should be built.
[KJV | EN | OT | Haggai | Chapter 1 | Verse 3] Then came the word of the Lord by Haggai the prophet, saying,
[KJV | EN | OT | Haggai | Chapter 1 | Verse 4] Is it time for you, O ye, to dwell in your cieled houses, And this house lie waste?
[KJV | EN | OT | Haggai | Chapter 1 | Verse 5] Now therefore thus saith the Lord of hosts; Consider your ways.
[KJV | EN | OT | Haggai | Chapter 1 | Verse 6] Ye have sown much, and bring in little; Ye eat, but ye have not enough; Ye drink, but ye are not filled with drink; Ye clothe you, but there is none warm; And he that earneth wages earneth wages to put it into a bag with holes.
[KJV | EN | OT | Haggai | Chapter 1 | Verse 7] Thus saith the Lord of hosts; Consider your ways.
[KJV | EN | OT | Haggai | Chapter 1 | Verse 8] Go up to the mountain, and bring wood, and build the house; And I will take pleasure in it, and I will be glorified, saith the Lord.
[KJV | EN | OT | Haggai | Chapter 1 | Verse 9] Ye looked for much, and lo, it came to little; And when ye brought it home, I did blow upon it. Why? saith the Lord of hosts. Because of mine house that is waste, And ye run every man unto his own house.
[KJV | EN | OT | Haggai | Chapter 1 | Verse 10] Therefore the heaven over you is stayed from dew, And the earth is stayed from her fruit.
[KJV | EN | OT | Haggai | Chapter 1 | Verse 11] And I called for a drought upon the land, and upon the mountains, And upon the corn, and upon the new wine, and upon the oil, And upon that which the ground bringeth forth, And upon men, and upon cattle, and upon all the labour of the hands.
[KJV | EN | OT | Haggai | Chapter 1 | Verse 12] Then Zerubbabel the son of Shealtiel, and Joshua the son of Josedech the high priest, with all the remnant of the people, obeyed the voice of the Lord their God, and the words of Haggai the prophet, as the Lord their God had sent him, and the people did fear before the Lord.
[KJV | EN | OT | Haggai | Chapter 1 | Verse 13] Then spake Haggai the Lord’s messenger in the Lord’s message unto the people, saying, I am with you, saith the Lord.
[KJV | EN | OT | Haggai | Chapter 1 | Verse 14] And the Lord stirred up the spirit of Zerubbabel the son of Shealtiel, governor of Judah, and the spirit of Joshua the son of Josedech the high priest, and the spirit of all the remnant of the people; and they came and did work in the house of the Lord of hosts, their God,
[KJV | EN | OT | Haggai | Chapter 1 | Verse 15] in the four and twentieth day of the sixth month, in the second year of Darius the king.
