[LXX | EL | OT | Genesis | Chapter 36 | Verse 1] Αὗται δὲ αἱ γενέσεις Ἡσαῦ· αὐτός ἐστιν Ἐδώμ.
[LXX | EL | OT | Genesis | Chapter 36 | Verse 2] Ἡσαῦ δὲ ἔλαβε τὰς γυναῖκας ἑαυτῷ ἀπὸ τῶν θυγατέρων τῶν Χαναναίων· τὴν Ἀδὰ, θυγατέρα Αἰλὼμ τοῦ Χετταίου· καὶ τὴν Ὀλιβεμὰ, θυγατέρα Ἀνὰ τοῦ υἱοῦ Σεβεγὼν τοῦ Εὐαίου.
[LXX | EL | OT | Genesis | Chapter 36 | Verse 3] Καὶ τὴν Βασεμὰθ, θυγατέρα Ἰσμαὴλ, ἀδελφὴν Ναβαιώθ.
[LXX | EL | OT | Genesis | Chapter 36 | Verse 4] Ἔτεκε δὲ αὐτῷ Ἀδὰ τὸν Ἑλιφάς· καὶ Βασεμὰθ ἔτεκε τὸν Ῥαγουήλ.
[LXX | EL | OT | Genesis | Chapter 36 | Verse 5] Καὶ Ὀλιβεμὰ ἔτεκε τὸν Ἰεοὺς, καὶ τὸν Ἰεγλὸμ, καὶ τὸν Κορέ· οὗτοι υἱοὶ Ἡσαῦ, οἳ ἐγένοντο αὐτῷ ἐν γῇ Χαναάν.
[LXX | EL | OT | Genesis | Chapter 36 | Verse 6] Ἔλαβε δὲ Ἡσαῦ τὰς γυναῖκας αὐτοῦ, καὶ τοὺς υἱοὺς αὐτοῦ, καὶ τὰς θυγατέρας αὐτοῦ, καὶ πάντα τὰ σώματα τοῦ οἴκου αὐτοῦ, καὶ πάντα τὰ ὑπάρχοντα αὐτοῦ, καὶ πάντα τὰ κτήνη, καὶ πάντα ὅσα ἐκτήσατο, καὶ πάντα ὅσα περιεποιήσατο ἐν γῇ Χαναάν· καὶ ἐπορεύθη Ἡσαῦ ἐκ τῆς γῆς Χαναὰν ἀπὸ προσώπου Ἰακὼβ τοῦ ἀδελφοῦ αὐτοῦ.
[LXX | EL | OT | Genesis | Chapter 36 | Verse 7] Ἦν γὰρ αὐτῶν τὰ ὑπάρχοντα πολλὰ, τοῦ οἰκεῖν ἅμα· καὶ οὐκ ἠδύνατο ἡ γῆ τῆς παροικήσεως αὐτῶν φέρειν αὐτοὺς, ἀπὸ τοῦ πλήθους τῶν ὑπαρχόντων αὐτῶν.
[LXX | EL | OT | Genesis | Chapter 36 | Verse 8] Κατῴκησε δὲ Ἡσαῦ ἐν τῷ ὄρει Σηείρ· Ἡσαῦ αὐτός ἐστιν Ἐδώμ.
[LXX | EL | OT | Genesis | Chapter 36 | Verse 9] Αὗται δὲ αἱ γενέσεις Ἡσαῦ πατρὸς Ἐδὼμ ἐν τῷ ὄρει Σηείρ.
[LXX | EL | OT | Genesis | Chapter 36 | Verse 10] Καὶ ταῦτα τὰ ὀνόματα τῶν υἱῶν Ἡσαῦ· Ἑλιφὰς υἱὸς Ἀδὰς γυναικὸς Ἡσαῦ· καὶ Ῥαγουὴλ υἱὸς Βασεμὰθ γυναικὸς Ἡσαῦ.
[LXX | EL | OT | Genesis | Chapter 36 | Verse 11] Ἐγένοντο δὲ Ἑλιφὰς υἱοὶ, Θαιμὰν, Ὠμὰρ, Σωφὰρ, Γοθὼμ, καὶ Κενέζ.
