[LXX | EL | OT | Genesis | Chapter 21 | Verse 1] Καὶ Κύριος ἐπεσκέψατο τὴν Σάῤῥαν, καθὰ εἶπε· καὶ ἐποίησε Κύριος τῇ Σάῥῥᾳ, καθὰ ἐλάλησε.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 2] Καὶ συλλαβοῦσα ἔτεκε τῷ Ἁβραὰμ υἱὸν εἰς τὸ γῆρας, εἰς τὸν καιρὸν καθὰ ἐλάλησεν αὐτῷ Κύριος.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 3] Καὶ ἐκάλεσεν Ἁβραὰμ τὸ ὄνομα τοῦ υἱοῦ αὐτοῦ τοῦ γενομένου αὐτῷ, ὃν ἔτεκεν αὐτῷ Σάῤῥα, Ἰσαάκ·
[LXX | EL | OT | Genesis | Chapter 21 | Verse 4] Περιέτεμε δὲ Ἁβραὰμ τὸν Ἰσαὰκ τῇ ἡμέρᾳ τῇ ὀγδόῃ, καθὰ ἐνετείλατο αὐτῷ ὁ Θεός.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 5] Καὶ Ἁβραὰμ ἦν ἑκατὸν ἐτῶν, ηνίκα ἐγένετο αὐτῷ Ἰσαὰκ ὁ υἱὸς αὐτοῦ.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 6] Εἶπε δὲ Σάῤῥα, γέλωτά μοι ἐποίησε Κύριος· ὃς γὰρ ἂν ἀκούσῃ συγχαρεῖταί μοι.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 7] Καὶ εἶπε τίς ἀναγγελεῖ τῷ Ἁβραὰμ ὅτι θηλάζει παιδίον Σάῤῥα; ὅτι ἔτεκον υἱὸν ἐν τῷ γήρᾳ μου.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 8] Καὶ ηὐξήθη τὸ παιδίον, καὶ ἀπεγαλακτίσθη· καὶ ἐποίησεν Ἁβραὰμ δοχὴν μεγάλην, ᾗ ἡμέρᾳ ἀπεκγαλακτίσθη Ἰσαὰκ ὁ υἱὸς αὐτοῦ.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 9] Ἰδοῦσα δὲ Σάῥῥα τὸν υἱὸν Ἄγαρ τῆς Αἰγυπτίας, ὃς ἐγένετο τῷ Ἁβραὰμ, παίζοντα μετὰ Ἰσαὰκ τοῦ υἱοῦ αὐτῆς,
[LXX | EL | OT | Genesis | Chapter 21 | Verse 10] καὶ εἶπε τῷ Ἁβραὰμ, ἔκβαλε τὴν παιδίσκην ταύτην, καὶ τὸν υἱὸν αὐτῆς· οὐ γὰρ μὴ κληρονομήσει ὁ υἱὸς τῆς παιδίσκης ταύτης μετὰ τοῦ υἱοῦ μου Ἰσαάκ.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 11] Σκληρὸν δὲ ἐφάνη τὸ ῥῆμα σφόδρα ἐνατίον Ἁβραὰμ περὶ τοῦ υἱοῦ αὐτοῦ.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 12] Εἶπε δὲ ὁ Θεὸς τῷ Ἁβραὰμ, μὴ σκληρὸν ἔστω ἐναντίον σου περὶ τοῦ παιδίου, καὶ περὶ τῆς παιδίσκης· πάντα ὅσα ἂν εἴπῃ σοι Σάῤῥα, ἄκουε τῆς φωνῆς αὐτῆς· ὅτι ἐν Ἰσαὰκ κληθήσεταί σοι σπέρμα.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 13] Καὶ τὸν υἱὸν δὲ τῆς παιδίσκης ταύτης εἰς ἔθνος μέγα ποιήσω αὐτὸν, ὅτι σπέρμα σόν ἐστιν.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 14] Ἀνέστη δὲ Ἁβραὰμ τὸ πρωῒ, καὶ ἔλαβεν ἄρτους καὶ ἀσκὸν ὕδατος, καὶ ἔδωκεν τῇ Ἄγαρ· καὶ ἐπέθηκεν ἐπὶ τὸν ὦμον αὐτῆς τὸ παιδίον, καὶ ἀπέστειλεν αὐτήν· Ἀπελθοῦσα δὲ ἐπλανᾶτο κατὰ τὴν ἔρημον, κατὰ τὸ φρέαρ τοῦ ὅρκου.
[LXX | EL | OT | Genesis | Chapter 21 | Verse 15] Ἐξέλιπε δὲ τὸ ὕδωρ ἐκ τοῦ ἀσκου· καὶ ἔῤῥιψε τὸ παιδίον ὑποκάτω μιᾶς ἐλάτης·
[LXX | EL | OT | Genesis | Chapter 21 | Verse 16] Ἀπελθοῦσα δὲ ἐκάθητο ἀπέναντι αὐτοῦ μακρόθεν, ὡσεὶ τόξου βολήν· εἶπε γὰρ, οὐ μὴ ἴδω τὸν θάνατον τοῦ παιδίου μου. καὶ ἐκάθισεν ἀπέναντι αὐτοῦ· ἀναβοῆσαν δὲ τὸ παιδίον ἔκλαυσεν.
