[LXX | EL | OT | Genesis | Chapter 27 | Verse 1] Ἐγένετο δὲ μετὰ τὸ γηράσαι τὸν Ἰσαὰκ, καὶ ἠμβλύνθησαν οἱ ὀφθαλμοὶ αὐτοῦ τοῦ ὁρᾷν, καὶ ἐκάλεσεν Ἡσαῦ τὸν υἱὸν αὐτοῦ τὸν πρεσβύτερον, καὶ εἶπεν αὐτῷ, υἱέ μου· καὶ εἶπεν, ἰδοὺ ἐγώ.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 2] Καὶ εἶπεν, ἰδοὺ γεγήρακα, καὶ οὐ γινώσκω τὴν ἡμέραν τῆς τελευτῆς μου.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 3] Νῦν οὖν λάβε τὸ σκεῦός σου, τήν τε φαρέτραν, καὶ τὸ τόξον, καὶ ἔξελθε εἰς τὸ πεδίον, καὶ θήρευσόν μοι θήραν.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 4] Καὶ ποίησόν μοι ἐδέσματα, ὡς φιλῶ ἐγὼ, καὶ ἔνεγκέ μοι, ἵνα φάγω, ὅπως εὐλογήσῃ σε ἡ ψυχή μου πρὶν ἀποθανεῖν με.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 5] Ῥεβέκκα δὲ ἤκουσε λαλοῦντος Ἰσαὰκ πρὸς Ἡσαῦ τὸν υἱὸν αὐτοῦ· ἐπορεύθη δὲ Ἡσαῦ εἰς τὸ πεδίον θηρεῦσαι θήραν τῷ πατρὶ αὐτοῦ.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 6] Ῥεβέκκα δὲ εἶπε πρὸς τὸν Ἰακὼβ τὸν υἱὸν αὐτῆς τὸν ἐλάσσω, ἴδε, ἤκουσα τοῦ πατρός σου λαλοῦντος πρὸς Ἡσαῦ τὸν ἀδελφόν σου, λέγοντος,
[LXX | EL | OT | Genesis | Chapter 27 | Verse 7] Ἔνεγκόν μοι θήραν, καὶ ποίησόν μοι ἐδέσματα, ἵνα φαγὼν εὐλογήσω σε ἐναντίον Κυρίου πρὸ τοῦ ἀποθανεῖν με.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 8] Νῦν οὖν, υἱέ μου, ἄκουσόν μου, καθὰ ἐγώ σοι ἐντέλλομαι.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 9] Καὶ πορευθεὶς εἰς τὰ πρόβατα, λάβε μοι ἐκεῖθεν δύο ἐρίφους ἁπαλοὺς καὶ καλοὺς, καὶ ποιήσω αὐτοὺς ἐδέσματα τῷ πατρί σου, ὡς φιλεῖ.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 10] Καὶ εἰσοίσεις τῷ πατρί σου, καὶ φάγεται, ὅπως εὐλογήσῃ σε ὁ πατήρ σου πρὸ τοῦ ἀποθανεῖν αὐτόν.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 11] Εἶπε δὲ Ἰακὼβ πρὸς Ῥεβέκκαν τὴν μητέρα αὐτοῦ, ἔστιν Ἡσαῦ ὁ ἀδελφός μου ἀνὴρ δασὺς, ἐγὼ δὲ ἀνὴρ λεῖος.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 12] Μή ποτε ψηλαφήσῃ με ὁ πατὴρ, καὶ ἔσομαι ἐναντίον αὐτοῦ ὡς καταφρονῶν, καὶ ἐπάξω ἐπʼ ἐμαυτὸν κατάραν, καὶ οὐκ εὐλογίαν.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 13] Εἶπε δὲ αὐτῷ ἡ μήτηρ, ἐπʼ ἐμὲ ἡ κατάρα σου, τέκνον· μόνον ἐπάκουσόν μου τῆς φωνῆς, καὶ πορευθεὶς ἔνεγκέ μοι.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 14] Πορευθεὶς δὲ ἔλαβε, καὶ ἤνεγκε τῇ μητρί· καὶ ἐποίησεν ἡ μήτηρ αὐτοῦ ἐδέσματα, καθὰ ἐφίλει ὁ πατὴρ αὐτοῦ.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 15] Καὶ λαβοῦσα Ῥεβέκκα τὴν στολὴν Ἡσαῦ τοῦ υἱοῦ αὐτῆς τοῦ πρεσβυτέρου τὴν καλὴν, ἣ ἦν παρʼ αὐτῇ ἐν τῷ οἴκῳ, ἐνέδυσεν αὐτὴν Ἰακὼβ τὸν υἱὸν αὐτῆς τὸν νεώτερον.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 16] Καὶ τὰ δέρματα τῶν ἐρίφων περιέθηκεν ἐπὶ τοὺς βραχίονας αὐτοῦ, καὶ ἐπὶ τὰ γυμνὰ τοῦ τραχήλου αὐτοῦ.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 17] Καὶ ἔδωκε τὰ ἐδέσματα, καὶ τοὺς ἄρτους οὓς ἐποίησεν, εἰς τὰς χεῖρας Ἰακὼβ τοῦ υἱοῦ αὐτῆς.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 18] Καὶ εἰσήνεγκε τῷ πατρὶ αὐτοῦ· εἶπε δὲ, πάτερ· ὁ δὲ εἶπεν, ἰδοὺ ἐγώ· τίς εἶ σὺ, τέκνον;
[LXX | EL | OT | Genesis | Chapter 27 | Verse 19] Καὶ εἶπεν Ἰακὼβ τῷ πατρὶ, ἐγὼ Ἡσαῦ ὁ πρωτότοκός σου πεποίηκα καθὰ ἐλάλησάς μοι· ἀναστὰς κάθισον, καὶ φάγε ἀπὸ τῆς θήρας μου, ὅπως εὐλογήσῃ με ἡ ψυχή σου.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 20] Εἶπε δὲ Ἰσαὰκ τῷ υἱῷ αὐτοῦ, τί τοῦτο, ὃ ταχὺ εὗρες, ὦ τέκνον; ὁ δὲ εἶπεν, ὃ παρέδωκε Κύριος ὁ Θεός σου ἐναντίον μου.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 21] Εἶπε δὲ Ἰσαὰκ τῷ Ἰακὼβ, ἔγγισόν μοι, καὶ ψηλαφήσω σε, τέκνον, εἰ σὺ εἶ ὁ υἱός μου Ἡσαῦ, ἢ οὔ.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 22] Ἤγγισε δὲ Ἰακὼβ πρὸς Ἰσαὰκ τὸν πατέρα αὐτοῦ· καὶ ἐψηλάφησεν αὐτὸν, καὶ εἶπεν, ἡ μὲν φωνὴ, φωνὴ Ἰακὼβ, αἱ δὲ χεῖρες, χεῖρες Ἡσαῦ.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 23] Καὶ οὐκ ἐπέγνω αὐτὸν, ἦσαν γὰρ αἱ χεῖρες αὐτοῦ, ὡς αἱ χεῖρες Ἡσαῦ τοῦ ἀδελφοῦ αὐτοῦ, δασεῖαι· καὶ εὐλόγησεν αὐτὸν,
[LXX | EL | OT | Genesis | Chapter 27 | Verse 24] καὶ εἶπε, σὺ εἶ ὁ υἱός μου Ἡσαῦ; ὁ δὲ εἶπεν, ἐγώ.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 25] Καὶ εἶπε, προσάγαγέ μοι, καὶ φάγομαι ἀπὸ τῆς θήρας σου, τέκνον, ἵνα εὐλογήσῃ σε ἡ ψυχή μου· καὶ προσήνεγκεν αὐτῷ, καὶ ἔφαγε· καὶ εἰσήνεγκεν αὐτῷ οἶνον, καὶ ἔπιε.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 26] Καὶ εἴπεν αὐτῷ Ἰσαὰκ ὁ πατὴρ αὐτοῦ, ἔγγισόν μοι, καὶ φίλησόν με, τέκνον.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 27] Καὶ ἐγγίσας ἐφίλησεν αὐτόν· καὶ ὠσφράνθη τὴν ὀσμὴν τῶν ἱματίων αὐτοῦ, καὶ εὐλόγησεν αὐτὸν, καὶ εἶπεν, ἰδοὺ ὀσμὴ τοῦ υἱοῦ μου, ὡς ὀσμὴ ἀγροῦ πλήρους, ὃν εὐλόγησε Κύριος.
[LXX | EL | OT | Genesis | Chapter 27 | Verse 28] Καὶ δῴη σοι ὁ Θεὸς ἀπὸ τῆς δρόσου τοῦ οὐρανοῦ, καὶ ἀπὸ τῆς πιότητος τῆς γῆς, καὶ πλῆθος σίτου καὶ οἴνου.
