[LXX | EL | OT | Genesis | Chapter 25 | Verse 1] Προσθέμενος δὲ Ἁβραὰμ ἔλαβε γυναῖκα, ᾗ ὄνομα Χεττούρα.
[LXX | EL | OT | Genesis | Chapter 25 | Verse 2] Ἔτεκε δὲ αὐτῷ τὸν Ζομβρᾶν, καὶ τὸν Ἰεζὰν, καὶ τὸν Μαδὰλ, καὶ τὸν Μαδιὰμ, καὶ τὸν Ἰεσβὼκ, καὶ τὸν Σωίε.
[LXX | EL | OT | Genesis | Chapter 25 | Verse 3] Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
[LXX | EL | OT | Genesis | Chapter 25 | Verse 4] Υἱοὶ δὲ Μαδιὰμ Γεφὰρ, καὶ Ἀφεὶρ, καὶ Ἐνὼχ, καὶ Ἀβειδὰ, καὶ Ἐλδαγά· πάντες οὗτοι ἦσαν υἱοὶ Χεττούρας.
[LXX | EL | OT | Genesis | Chapter 25 | Verse 5] Ἔδωκε δὲ Ἁβραὰμ πάντα τὰ ὑπάρχοντα αὐτοῦ Ἰσαὰκ τῷ υἱῷ αὐτοῦ.
[LXX | EL | OT | Genesis | Chapter 25 | Verse 6] Καὶ τοῖς υἱοῖς τῶν παλλακῶν αὐτοῦ ἔδωκεν Ἁβραὰμ δόματα, καὶ ἐξαπέστειλεν αὐτοὺς ἀπὸ Ἰσαὰκ τοῦ υἱοῦ αὐτοῦ, ἔτι ζῶντος αὐτοῦ, πρὸς ἀνατολὰς εἰς γῆν ἀνατολῶν.
[LXX | EL | OT | Genesis | Chapter 25 | Verse 7] Ταῦτα δὲ τὰ ἔτη ἡμερῶν τῆς ζωῆς Ἁβραὰμ ὅσα ἔζησεν, ἑκατὸν ἑβδομηκονταπεντε ἔτη.
[LXX | EL | OT | Genesis | Chapter 25 | Verse 8] Καὶ ἐκλείπων ἀπέθανεν Ἁβραὰμ ἐν γήρᾳ καλῷ πρεσβύτης, καὶ πλήρης ἡμερῶν, καὶ προσετέθη πρὸς τὸν λαὸν αὐτοῦ.
[LXX | EL | OT | Genesis | Chapter 25 | Verse 9] Καὶ ἔθαψαν αὐτὸν Ἰσαὰκ καὶ Ἰσμαὴλ οἱ υἱοὶ αὐτοῦ εἰς τὸ σπήλαιον τὸ διπλοῦν, εἰς τὸν ἀγρὸν Ἐφρων τοῦ Σαὰρ τοῦ Χετταίου, ὅς ἐστιν ἀπέναντι Μαμβρῆ,
[LXX | EL | OT | Genesis | Chapter 25 | Verse 10] τὸν ἀγρὸν καὶ τὸ σπήλαιον, ὃ ἐκτήσατο Ἁβραὰμ παρὰ τῶν υἱῶν τοῦ Χέτ· ἐκεῖ ἔθαψαν Ἁβραὰμ, καὶ Σάῤῥαν τὴν γυναῖκα αὐτοῦ.
[LXX | EL | OT | Genesis | Chapter 25 | Verse 11] Ἐγένετο δὲ μετὰ τὸ ἀποθανεῖν Ἁβραὰμ, εὐλόγησεν ὁ Θεὸς τὸν Ἰσαὰκ υἱὸν αὐτοῦ· καὶ κατῴκησεν Ἰσαὰκ παρὰ τὸ φρέαρ τῆς ὁράσεως.
[LXX | EL | OT | Genesis | Chapter 25 | Verse 12] Αὗται δὲ αἱ γενέσεις Ἰσμαὴλ τοῦ υἱοῦ Ἁβραὰμ, ὃν ἔτεκεν Ἄγαρ ἡ Αἰγυπτία, ἡ παιδίσκη Σάῤῥας, τῷ Ἁβραάμ.
