[LXX | EL | OT | Genesis | Chapter 8 | Verse 1] Καὶ ἀνεμνήσθη ὁ Θεὸς τοῦ Νῶε, καὶ πάντων τῶν θηρίων, καὶ πάντων τῶν κτηνῶν, καὶ πάντων τῶν πετεινῶν, καὶ πάντων τῶν ἑρπετῶν τῶν ἑρπόντων, ὅσα ἦν μετʼ αὐτοῦ ἐν τῇ κιβωτῷ· καὶ ἐπήγαγεν ὁ Θεὸς πνεῦμα ἐπὶ τὴν γῆν, καὶ ἐκόπασε τὸ ὕδωρ.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 2] Καὶ ἐπεκαλύφθησαν αἱ πηγαὶ τῆς ἀβύσσου, καὶ οἱ καταῤῥάκται τοῦ οὐρανοῦ, καὶ συνεσχέθη ὁ ὑετὸς ἀπὸ τοῦ οὐρανοῦ.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 3] Καὶ ἐνεδίδου τὸ ὕδωρ πορευόμενον ἀπὸ τῆς γῆς· καὶ ἠλαττονοῦτο τὸ ὕδωρ μετὰ πεντήκοντα καὶ ἑκατὸν ἡμέρας.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 4] Καὶ ἐκάθισεν ἡ κιβωτὸς ἐν μηνὶ τῷ ἑβδόμῳ, ἑβδόμῃ καὶ εἰκάδι τοῦ μηνὸς, ἐπὶ τὰ ὄρη τὰ Ἀραράτ.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 5] Τὸ δὲ ὕδωρ ἠλαττονοῦτο ἕως τοῦ δεκάτου μηνός. Καὶ ἐν τῷ δεκάτῳ μηνὶ, τῇ πρώτῃ τοῦ μηνὸς, ὤφθησαν αἱ κεφαλαὶ τῶν ὀρέων.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 6] Καὶ ἐγένετο μετὰ τεσσαράκοντα ἡμέρας ἠνέῳξε Νῶε τὴν θυρίδα τῆς κιβωτοῦ, ἣν ἐποίησε.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 7] Καὶ ἀπέστειλε τὸν κόρακα· καὶ ἐξελθὼν, οὐκ ἀνέστρεψεν ἕως τοῦ ξηρανθῆναι τὸ ὕδωρ ἀπὸ τῆς γῆς.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 8] Καὶ ἀπέστειλε τὴν περιστερὰν ὀπίσω αὐτοῦ, ἰδεῖν εἰ κεκόπακε τὸ ὕδωρ ἀπὸ τῆς γῆς.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 9] Καὶ οὐχ εὑροῦσα ἡ περιστερὰ ἀνάπαυσιν τοῖς ποσὶν αὐτῆς, ἀνέστρεψε πρὸς αὐτὸν εἰς τὴν κιβωτὸν, ὅτι ὕδωρ ἦν ἐπὶ πᾶν τὸ πρόσωπον τῆς γῆς· καὶ ἐκτείνας τὴν χεῖρα ἔλαβεν αὐτὴν, καὶ εἰσήγαγεν αὐτὴν πρὸς ἑαυτὸν εἰς τὴν κιβωτόν.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 10] Καὶ ἐπισχὼν ἔτι ἡμέρας ἑπτὰ ἑτέρας, πάλιν ἐξαπέστειλε τὴν περιστερὰν ἐκ τῆς κιβωτοῦ.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 11] Καὶ ἀνέστρεψε πρὸς αὐτὸν ἡ περιστερὰ τὸ πρὸς ἑσπέραν· καὶ εἶχε φύλλον ἐλαίας κάρφος ἐν τῷ στόματι αὐτῆς· καὶ ἔγνω Νῶε, ὅτι κεκόπακε τὸ ὕδωρ ἀπὸ τῆς γῆς.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 12] Καὶ ἐπισχὼν ἔτι ἡμέρας ἑπτὰ ἑτέρας, πάλιν ἐξαπέστειλε τὴν περιστερὰν, καὶ οὐ προσέθετο τοῦ ἐπιστρέψαι πρὸς αὐτὸν ἔτι.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 13] Καὶ ἐγένετο ἐν τῷ ἑνὶ καὶ ἑξακοσιοστῷ ἔτει ἐν τῇ ζωῇ τοῦ Νῶε, τοῦ πρώτου μηνὸς, μιᾷ τοῦ μηνὸς, ἐξέλιπε τὸ ὕδωρ ἀπὸ τῆς γῆς. Καὶ ἀπεκάλυψε Νῶε τὴν στέγην τῆς κιβωτοῦ, ἣν ἐποίησε· καὶ εἶδεν ὅτι ἐξέλιπε τὸ ὕδωρ ἀπὸ προσώπου τῆς γῆς.
[LXX | EL | OT | Genesis | Chapter 8 | Verse 14] Ἐν δὲ τῷ δευτέρῳ μηνὶ ἐξηράνθη ἡ γῆ, ἑβδόμῃ καὶ εἰκάδι τοῦ μηνός.
