[LXX | EL | OT | Genesis | Chapter 42 | Verse 1] Ἰδὼν δὲ Ἰακὼβ ὅτι ἐστὶ πράσις ἐν Αἰγύπτῳ, εἶπε τοῖς υἱοῖς αὐτοῦ, ἱνατί ῥαθυμεῖτε;
[LXX | EL | OT | Genesis | Chapter 42 | Verse 2] Ἰδοὺ ἀκήκοα, ὅτι ἐστὶ σῖτος ἐν Αἰγύπτῳ· κατάβητε ἐκεὶ, καὶ πρίασθε ἡμῖν μικρὰ βρώματα, ἵνα ζήσωμεν καὶ μὴ ἀποθάνωμεν.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 3] Κατέβησαν δὲ οἱ ἀδελφοὶ Ἰωσὴφ οἱ δέκα, πρίασθαι σῖτον ἐξ Αἰγύπτου·
[LXX | EL | OT | Genesis | Chapter 42 | Verse 4] Τὸν δὲ Βενιαμὶν, τὸν ἀδελφὸν Ἰωσὴφ, οὐκ ἀπέστειλε μετὰ τῶν ἀδελφῶν αὐτοῦ· εἶπε γὰρ, μή ποτε συμβῇ αὐτῷ μαλακία.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 5] Ἦλθον δὲ οἱ υἱοὶ Ἰσραὴλ ἀγοράζειν μετὰ τῶν ἐρχομένων· ἦν γὰρ ὁ λιμὸς ἐν γῇ Χαναάν.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 6] Ἰωσὴφ δὲ ἦν ὁ ἄρχων τῆς γῆς· οὗτος ἐπώλει παντὶ τῷ λαῷ τῆς γῆς· ἐλθόντες δὲ οἱ ἀδελφοὶ Ἰωσὴφ προσεκύνησαν αὐτῷ ἐπὶ πρόσωπον ἐπὶ τὴν γῆν.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 7] Ἰδὼν δὲ Ἰωσὴφ τοὺς ἀδελφοὺς αὐτοῦ, ἐπέγνω· καὶ ἠλλοτριοῦτο ἀπʼ αὐτῶν, καὶ ἐλάλησεν αὐτοῖς σκληρά· καὶ εἶπεν αὐτοῖς, πόθεν ἥκατε; οἱ δὲ εἶπον, ἐκ γῆς Χαναὰν, ἀγοράσαι βρώματα.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 8] Ἐπέγνω δὲ Ἰωσὴφ τοὺς ἀδελφοὺς αὐτοῦ· αὐτοὶ δὲ οὐκ ἐπέγνωσαν αὐτόν·
[LXX | EL | OT | Genesis | Chapter 42 | Verse 9] Καὶ ἐμνήσθη Ἰωσὴφ τῶν ἐνυπνίων αὐτοῦ, ὧν εἶδεν αὐτός· καὶ εἶπεν αὐτοῖς, κατάσκοποί ἐστε, κατανοῆσαι τὰ ἴχνη τῆς χώρας ἥκατε.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 10] Οἱ δὲ εἶπαν, οὐχὶ, κύριε· οἱ παῖδές σου ἤλθομεν πρίασθαι βρώματα.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 11] Πάντες ἐσμὲν υἱοὶ ἑνὸς ἀνθρώπου· εἰρηνικοί ἐσμεν, οὐκ εἰσιν οἱ παῖδές σου κατάσκοποι.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 12] Εἶπε δὲ αὐτοῖς, οὐχί· ἀλλὰ τὰ ἴχνη τῆς γῆς ἤλθετε ἰδεῖν.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 13] Οἱ δὲ εἶπαν, δώδεκά ἐσμεν οἱ παῖδές σου ἀδελφοὶ ἐν γῇ Χαναάν· καὶ ἰδοὺ ὁ νεώτερος μετὰ τοῦ πατρὸς ἡμῶν σήμερον· ὁ δὲ ἕτερος οὐχ ὑπάρχει.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 14] Εἶπε δὲ αὐτοῖς Ἰωσὴφ, τοῦτό ἐστιν ὃ εἴρηκα ὑμῖν, λέγων, ὅτι κατάσκοποί ἐστε.
