[LXX | EL | OT | Genesis | Chapter 31 | Verse 1] Ἤκουσε δὲ Ἰακὼβ τὰ ῥήματα τῶν υἱῶν Λάβαν, λεγόντων, εἴληφεν Ἰακὼβ πάντα τὰ τοῦ πατρὸς ἡμῶν, καὶ ἐκ τῶν τοῦ πατρὸς ἡμῶν πεποίηκε πᾶσαν τὴν δόξαν ταύτην.
[LXX | EL | OT | Genesis | Chapter 31 | Verse 2] Καὶ εἶδεν Ἰακὼβ τὸ πρόσωπον τοῦ Λάβαν, καὶ ἰδοὺ οὐκ ἦν πρὸς αὐτὸν ὡσεὶ χθὲς καὶ τρίτην ἡμέραν.
[LXX | EL | OT | Genesis | Chapter 31 | Verse 3] Εἶπε δὲ Κύριος πρὸς Ἰακὼβ, ἀποστρέφου εἰς τὴν γῆν τοῦ πατρός σου, καὶ εἰς τὴν γενεάν σου, καὶ ἔσομαι μετὰ σοῦ.
[LXX | EL | OT | Genesis | Chapter 31 | Verse 4] Ἀποστείλας δὲ Ἰακὼβ ἐκάλεσε Λείαν καὶ Ῥαχὴλ εἰς τὸ πεδίον, οὗ ἦν τὰ ποίμνια.
[LXX | EL | OT | Genesis | Chapter 31 | Verse 5] Καὶ εἶπεν αὐταῖς, ὁρῶ ἐγὼ τὸ πρόσωπον τοῦ πατρὸς ὑμῶν, ὅτι οὐκ ἔστι πρὸς ἐμοῦ, ὡς ἐχθὲς καὶ τρίτην ἡμέραν· ὁ δὲ Θεὸς τοῦ πατρός μου ἦν μετʼ ἐμοῦ.
[LXX | EL | OT | Genesis | Chapter 31 | Verse 6] Καὶ αὐταὶ δὲ οἴδατε, ὅτι ἐν πάσῃ τῇ ἰσχύϊ μου δεδούλευκα τῷ πατρὶ ὑμῶν.
[LXX | EL | OT | Genesis | Chapter 31 | Verse 7] Ὁ δὲ πατὴρ ὑμῶν παρεκρούσατό με, καὶ ἤλλαξε τὸν μισθόν μου τῶν δέκα ἀμνῶν· καὶ οὐκ ἔδωκεν αὐτῷ ὁ Θεὸς κακοποιῆσαί με.
[LXX | EL | OT | Genesis | Chapter 31 | Verse 8] Ἐὰν οὕτως εἴπῃ, τὰ ποικίλα ἔσται σου μισθὸς, καὶ τέξεται πάντα τὰ πρόβατα ποικίλα· ἐὰν δὲ εἴπῃ, τὰ λευκὰ ἔσται σου μισθὸς, καὶ τέξεται πάντα τὰ πρόβατα λευκά.
[LXX | EL | OT | Genesis | Chapter 31 | Verse 9] Καὶ ἀφείλετο ὁ Θεὸς πάντα τὰ κτήνη τοῦ πατρὸς ὑμῶν, καὶ ἔδωκέ μοι αὐτά.
[LXX | EL | OT | Genesis | Chapter 31 | Verse 10] Καὶ ἐγένετο ἡνίκα ἐνεκίσσων τὰ πρόβατα ἐν γαστρὶ λαμβάνοντα, καὶ εἶδον τοῖς ὀφθαλμοῖς μου ἐν τῷ ὕπνῳ· καὶ ἰδοὺ οἱ τράγοι καὶ οἱ κριοὶ ἀναβαίνοντες ἐπὶ τὰ πρόβατα καὶ τὰς αἶγας, διάλευκοι καὶ ποικίλοι καὶ σποδοειδεῖς ῥαντοί.
[LXX | EL | OT | Genesis | Chapter 31 | Verse 11] Καὶ εἶπέ μοι ὁ Ἄγγελος τοῦ Θεοῦ καθʼ ὕπνον, Ἰακώβ· ἐγὼ δὲ εἶπα, τί ἐστι;
