[LXX | EL | OT | Genesis | Chapter 10 | Verse 1] Αὗται δὲ αἱ γενέσεις τῶν υἱῶν Νῶε, Σὴμ, Χὰμ, Ἰάφεθ· καὶ ἐγεννήθησαν αὐτοῖς υἱοὶ μετὰ τὸν κατακλυσμόν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 2] Υἱοὶ Ἰάφεθ, Γαμὲρ, καὶ Μαγὼγ, καὶ Μαδοὶ, καὶ Ἰωύαν, καὶ Ἐλισὰ, καὶ Θοβὲλ, καὶ Μοσὸχ, καὶ Θείρας.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 3] Καὶ υἱοὶ Γαμὲρ, Ἀσχανὰζ, καὶ Ῥιφὰθ, καὶ Θοργαμά.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 4] Καὶ υἱοὶ Ἰωύαν, Ἐλισὰ, καὶ Θάρσεις, Κήτιοι, Ῥόδὶοι.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 5] Ἐκ τούτων ἀφωρίσθησαν νῆσοι τῶν ἐθνῶν ἐν τῇ γῇ αὐτῶν· ἕκαστος κατὰ γλῶσσαν ἐν ταῖς φυλαῖς αὐτῶν, καὶ ἐν τοῖς ἔθνεσιν αὐτῶν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 6] Υἱοὶ δὲ Χὰμ, Χοὺς, καὶ Μεσραῒν, Φοὺδ, καὶ Χαναάν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 7] Υἱοὶ δὲ Χοὺς, Σαβὰ, καὶ Εὐϊλὰ, καὶ Σαβαθὰ, καὶ Ῥεγμὰ, καὶ Σαβαθακά· υἱοὶ δὲ Ῥεγμὰ, Σαβὰ, καὶ Δαδάν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 8] Χοὺς δὲ ἐγέννησε τὸν Νεβρώδ· οὗτος ἤρξατο εἶναι γίγας ἐπὶ τῆς γῆς.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 9] Οὗτος ἦν γίγας κυνηγὸς ἐναντίον Κυρίου τοῦ Θεοῦ· διὰ τοῦτο ἐροῦσιν, ὡς Νεβρὼδ γίγας κυνηγὸς ἐναντίον Κυρίου.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 10] Καὶ ἐγένετο ἀρχὴ τῆς βασιλείας αὐτοῦ Βαβυλὼν, καὶ Ὀρὲχ, καὶ Ἀρχὰδ, καὶ Χαλάννη, ἐν τῇ γῇ Σεναάρ.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 11] Ἐκ τῆς γῆς ἐκείνης ἐξῆλθεν Ἀσσούρ· καὶ ᾠκοδόμησε τὴν Νινευῒ, καὶ τὴν Ῥοωβὼθ πόλιν, καὶ τὴν Χαλὰχ,
