[LXX | EL | OT | Genesis | Chapter 20 | Verse 1] Καὶ ἐκίνησεν ἐκεῖθεν Ἁβραὰμ εἰς γῆν πρὸς Λίβα· καὶ ᾤκησεν ἀνὰ μέσον Κάδης, καὶ ἀνὰ μέσον Σούρ· καὶ παρῴκησεν ἐν Γεράροις.
[LXX | EL | OT | Genesis | Chapter 20 | Verse 2] Εἶπε δὲ Ἁβραὰμ περὶ Σάῤῥας τῆς γυναικὸς αὐτοῦ, ὅτι ἀδελφή μου ἐστίν· ἐφοβήθη γὰρ εἰπεῖν ὅτι γυνή μου ἐστὶ, μή ποτε ἀποκτείνωσιν αὐτὸν οἱ ἄνδρες τῆς πόλεως διʼ αὐτήν· ἀπέστειλε δὲ Ἀβιμέλεχ βασιλεὺς Γεράρων, καὶ ἔλαβε τὴν Σάῤῥαν.
[LXX | EL | OT | Genesis | Chapter 20 | Verse 3] Καὶ εἰσῆλθεν ὁ Θεὸς πρὸς Ἀβιμέλεχ ἐν ὕπνῳ τὴν νύκτα, καὶ εἶπεν, ἰδοὺ σὺ ἀποθνήσκεις περὶ τῆς γυναικὸς, ἧς ἔλαβες· αὕτη δέ ἐστι συνῳκηκυῖα ἀνδρί.
[LXX | EL | OT | Genesis | Chapter 20 | Verse 4] Ἀβιμέλεχ δὲ οὐχ ἥψατο αὐτῆς· καὶ εἶπε, Κύριε, ἔθνος ἀγνοοῦν καὶ δίκαιον ἀπολεῖς;
[LXX | EL | OT | Genesis | Chapter 20 | Verse 5] Οὐκ αὐτός μοι εἶπεν, ἀδφή μου ἐστί; καὶ αὕτη μοι εἶπεν, ἀδελφός μου ἐστίν; ἐν καθαρᾷ καρδίᾳ καὶ ἐν δικαιοσύνῃ χειρῶν ἐποίησα τοῦτο.
[LXX | EL | OT | Genesis | Chapter 20 | Verse 6] Εἶπε δὲ αὐτῷ ὁ Θεὸς καθʼ ὕπνον, κᾀγὼ ἔγνων ὅτι ἐν καθαρᾷ καρδίᾳ ἐποίησας τοῦτο, καὶ ἐφεισάμην σου τοῦ μὴ ἁμαρτεῖν σε εἰς ἐμέ· ἕνεκα τούτου οὐκ ἀφῆκά σε ἅψασθαι αὐτῆς.
[LXX | EL | OT | Genesis | Chapter 20 | Verse 7] Νῦν δὲ ἀπόδος τὴν γυναῖκα τῷ ἀνθρώπῳ, ὅτι προφήτης ἐστὶ, καὶ προσεύξεται περὶ σοῦ, καὶ ζήσῃ· εἰ δὲ μὴ ἀποδίδως, γνώσῃ ὅτι ἀποθανῇ σὺ καὶ πάντα τὰ σὰ.
[LXX | EL | OT | Genesis | Chapter 20 | Verse 8] Καὶ ὤρθρισεν Ἀβιμέλεχ τῷ πρωῒ, καὶ ἐκάλεσε πάντας τοὺς παῖδας αὐτοῦ, καὶ ἐλάλησε πάντα τὰ ῥήματα ταῦτα εἰς τὰ ὦτα αὐτῶν· ἐφοβήθησαν δὲ πάντες οἱ ἄνθρωποι σφόδρα.
[LXX | EL | OT | Genesis | Chapter 20 | Verse 9] Καὶ ἐκάλεσεν Ἀβιμέλεχ τὸν Ἁβραὰμ καὶ εἶπεν αὐτῷ, τί τοῦτο ἐποίησας ἡμῖν; μήτι ἡμάρτομεν εἰς σὲ, ὅτι ἐπήγαγες ἐπʼ ἐμὲ καὶ ἐπὶ τὴν βασιλείαν μου ἁμαρτίαν μεγάλην; ἔργον ὃ οὐδεὶς ποιήσει, πεποίηκάς μοι.
[LXX | EL | OT | Genesis | Chapter 20 | Verse 10] Εἶπε δὲ Ἀβιμέλεχ τῷ Ἁβραὰμ, τί ἐνιδὼν ἐποίησας τοῦτο;
[LXX | EL | OT | Genesis | Chapter 20 | Verse 11] Εἶπε δὲ Ἁβραὰμ, εἶπα γὰρ, ἄρα οὐκ ἔστι θεοσέβεια ἐν τῷ τόπῳ τούτῳ, ἐμέ τε ἀποκτενοῦσιν ἕνεκεν τῆς γυναικός μου.
