[KJV | EN | NT | Hebrews | Chapter 13 | Verse 1] Let brotherly love continue.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 2] Be not forgetful to entertain strangers: for thereby some have entertained angels unawares.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 3] Remember them that are in bonds, as bound with them; and them which suffer adversity, as being yourselves also in the body.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 4] Marriage is honourable in all, and the bed undefiled: but whoremongers and adulterers God will judge.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 5] Let your conversation be without covetousness; and be content with such things as ye have: for he hath said, I will never leave thee, nor forsake thee.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 6] So that we may boldly say, The Lord is my helper, and I will not fear what man shall do unto me.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 7] Remember them which have the rule over you, who have spoken unto you the word of God: whose faith follow, considering the end of their conversation.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 8] Jesus Christ the same yesterday, and to day, and for ever.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 9] Be not carried about with divers and strange doctrines. For it is a good thing that the heart be established with grace; not with meats, which have not profited them that have been occupied therein.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 10] We have an altar, whereof they have no right to eat which serve the tabernacle.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 11] For the bodies of those beasts, whose blood is brought into the sanctuary by the high priest for sin, are burnt without the camp.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 12] Wherefore Jesus also, that he might sanctify the people with his own blood, suffered without the gate.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 13] Let us go forth therefore unto him without the camp, bearing his reproach.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 14] For here have we no continuing city, but we seek one to come.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 15] By him therefore let us offer the sacrifice of praise to God continually, that is, the fruit of our lips giving thanks to his name.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 16] But to do good and to communicate forget not: for with such sacrifices God is well pleased.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 17] Obey them that have the rule over you, and submit yourselves: for they watch for your souls, as they that must give account, that they may do it with joy, and not with grief: for that is unprofitable for you.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 18] Pray for us: for we trust we have a good conscience, in all things willing to live honestly.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 19] But I beseech you the rather to do this, that I may be restored to you the sooner.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 20] Now the God of peace, that brought again from the dead our Lord Jesus, that great shepherd of the sheep, through the blood of the everlasting covenant,
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 21] make you perfect in every good work to do his will, working in you that which is well pleasing in his sight, through Jesus Christ; to whom be glory for ever and ever. Amen.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 22] And I beseech you, brethren, suffer the word of exhortation: for I have written a letter unto you in few words.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 23] Know ye that our brother Timothy is set at liberty; with whom, if he come shortly, I will see you.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 24] Salute all them that have the rule over you, and all the saints. They of Italy salute you.
[KJV | EN | NT | Hebrews | Chapter 13 | Verse 25] Grace be with you all. Amen. ¶ Written to the Hebrews from Italy by Timothy.
