[OEB | EN | NT | 1 John | Chapter 2 | Verse 1] My children, I am writing to you to keep you from sinning. But if anyone does sin, we have an advocate with the Father – Jesus Christ, the righteous.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 2] He is the atoning sacrifice for our sins, and not for ours only, but the sins of the whole world.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 3] It is by keeping God’s commands that we can be sure we know him.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 4] Whoever says ‘I know him,’ but does not keep his commands, is a liar. The truth has no place in them.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 5] But the person who keeps God’s word, in them the love of God has indeed reached its perfection. This is how we can be sure we are in him:
[OEB | EN | NT | 1 John | Chapter 2 | Verse 6] whoever claims to live in him should live just as Jesus did.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 7] Dear friends, it is no new command that I am writing to you, but an old command, which you have had from the beginning. That old command is the message you have already heard.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 8] Yet, in a way, it is a new command that I am writing to you – which is shown true in Christ’s life and in yours – for the darkness is passing away and the true light is already shining.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 9] The person who says that they are in the light, and yet hates others, is still in the darkness.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 10] The person who loves others is always in the light, and there is nothing within them to cause them to stumble.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 11] The person who hates is in the dark. They stumble along in the darkness; they do not know where they are going because the darkness blinds them.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 12] Little children, I am writing to you because your sins have been forgiven for Christ’s sake.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 13] Parents, I am writing to you because you have come to know him who has been from the beginning. Young people, I am writing to you because you have conquered the evil one. Children, I write to you because you have come to know the Father.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 14] Parents, I write to you because you have learned to know him who has been from the beginning. Young people, I write to you because you are strong, and God’s message is always in your hearts, and you have conquered the evil one.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 15] Do not love the world or what the world can offer. When anyone loves the world, there is no love for the Father in them.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 16] For all that the world can offer – the desires for physical pleasure, the enticements to the eye, the arrogance of wealth – belongs, not to the Father, but to the world.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 17] And the world, and all that it gratifies, is passing away, but they who do God’s will remain for ever.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 18] My children, it is the last hour. You were told that an antichrist was coming; and many antichrists have already arisen. This is why we know that this is the last hour.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 19] These people come from our ranks, but they were never truly part of us – if they had been then they would have stayed with us. They left so it would be clear that none of them really belonged to us.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 20] You, however, have been annointed by the Holy One. You all know the truth.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 21] I am not writing to you because you do not know the truth, but because you do know it, and because no lie can come from the truth.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 22] Who is a liar, if not the one who denies that Jesus is the Christ? That person is the antichrist – one who rejects the Father and the Son.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 23] No one who rejects the Son has the Father; to acknowledge the Son is to have the Father also.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 24] As for you, you must let what you have heard from the beginning continue to live in you. If what you heard from the beginning dwells in you, you will remain both in the Son and the Father.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 25] And this is what he himself promised us – eternal life!
[OEB | EN | NT | 1 John | Chapter 2 | Verse 26] In writing this to you, I have in mind those who are trying to mislead you.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 27] As for you, the anointing which you received from him remains with you. You do not need anyone to teach you. His anointing teaches you about everything. What it teaches you is true, it is not a lie. Do what it has taught you: abide in him.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 28] Yes, my children, remain in him, so that when he appears our confidence doesn’t fail us, and we are not ashamed to meet him at his coming.
[OEB | EN | NT | 1 John | Chapter 2 | Verse 29] Since you know he is righteous, you realise that everyone who does what is right is his child.
