[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 1] After the Philistines had captured the ark of God, they took it from Ebenezer to Ashdod,
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 2] carried it into the temple of Dagon, and set it beside his statue.
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 3] When the people of Ashdod got up early the next morning, there was Dagon, fallen on his face before the ark of the LORD. So they took Dagon and returned him to his place.
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 4] But when they got up early the next morning, there was Dagon, fallen on his face before the ark of the LORD, with his head and his hands broken off and lying on the threshold. Only the torso remained.
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 5] That is why, to this day, the priests of Dagon and all who enter the temple of Dagon in Ashdod do not step on the threshold.
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 6] Now the hand of the LORD was heavy on the people of Ashdod and its vicinity, ravaging them and afflicting them with tumors.
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 7] And when the men of Ashdod saw what was happening, they said, “The ark of the God of Israel must not stay here with us, because His hand is heavy upon us and upon our god Dagon.”
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 8] So they called together all the rulers of the Philistines and asked, “What shall we do with the ark of the God of Israel?” “It must be moved to Gath,” they replied. So they carried away the ark of the God of Israel.
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 9] But after they had moved the ark to Gath, the LORD’s hand was also against that city, throwing it into great confusion and afflicting the men of the city, both young and old, with an outbreak of tumors.
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 10] So they sent the ark of God to Ekron, but as it arrived, the Ekronites cried out, “They have brought us the ark of the God of Israel in order to kill us and our people!”
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 11] Then the Ekronites assembled all the rulers of the Philistines and said, “Send away the ark of the God of Israel. It must return to its place, so that it will not kill us and our people!” For a deadly confusion had pervaded the city; the hand of God was heavy upon it.
[BSB | EN | OT | 1 Samuel | Chapter 5 | Verse 12] Those who did not die were afflicted with tumors, and the outcry of the city went up to heaven.
