[GNV | EN | NT | Galatians | Chapter 1 | Verse 1] Pavl an Apostle (not of men, neither by man, but by Iesus Christ, and God the Father which hath raised him from the dead)
[GNV | EN | NT | Galatians | Chapter 1 | Verse 2] And all the brethren which are with me, vnto the Churches of Galatia:
[GNV | EN | NT | Galatians | Chapter 1 | Verse 3] Grace be with you, and peace from God the Father, and from our Lord Iesus Christ,
[GNV | EN | NT | Galatians | Chapter 1 | Verse 4] Which gaue himself for our sinnes, that he might deliuer vs from this present euill world according to the will of God euen our Father,
[GNV | EN | NT | Galatians | Chapter 1 | Verse 5] To whom be glory for euer and euer, Amen.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 6] I marueile that ye are so soone remoued away vnto another Gospel, from him that had called you in the grace of Christ,
[GNV | EN | NT | Galatians | Chapter 1 | Verse 7] Which is not another Gospel, saue that there be some which trouble you, and intend to peruert the Gospel of Christ.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 8] But though that we, or an Angel from heauen preach vnto you otherwise, then that which we haue preached vnto you, let him be accursed.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 9] As we sayd before, so say I now againe, If any man preach vnto you otherwise, then that ye haue receiued, let him be accursed.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 10] For nowe preach I mans doctrine, or Gods? or go I about to please men? for if I should yet please men, I were not the seruant of Christ.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 11] Now I certifie you, brethren, that ye Gospel which was preached of me, was not after man.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 12] For neither receiued I it of man, neither was I taught it, but by the reuelation of Iesus Christ.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 13] For ye haue heard of my conuersation in time past, in the Iewish religion, how that I persecuted the Church of God extremely, and wasted it,
[GNV | EN | NT | Galatians | Chapter 1 | Verse 14] And profited in the Iewish religion aboue many of my companions of mine owne nation, and was much more zealous of the traditions of my fathers.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 15] But when it pleased God (which had separated me from my mothers wombe, and called me by his grace)
[GNV | EN | NT | Galatians | Chapter 1 | Verse 16] To reueile his Sonne in me, that I should preach him among the Gentiles, immediatly I communicated not with flesh and blood:
[GNV | EN | NT | Galatians | Chapter 1 | Verse 17] Neither came I againe to Hierusalem to them which were Apostles before me, but I went into Arabia, and turned againe vnto Damascus.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 18] Then after three yeeres I came againe to Hierusalem to visite Peter, and abode with him fifteene dayes.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 19] And none other of the Apostles sawe I, saue Iames the Lords brother.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 20] Nowe the things which I write vnto you, beholde, I witnes before God, that I lie not.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 21] After that, I went into the coastes of Syria and Cilicia: for I was vnknowen by face vnto the Churches of Iudea, which were in Christ.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 22] But they had heard onely some say, Hee which persecuted vs in time past, nowe preacheth the faith which before he destroyed.
[GNV | EN | NT | Galatians | Chapter 1 | Verse 23] And they glorified God for me.
