[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 1] Ἔτους ἑνὸς καὶ πεντηκοστοῦ καὶ ἐκατοστοῦ ἐξῆλθε Δημήτριος ὁ τοῦ Σελεύκου ἐκ Ῥώμης, καὶ ἀνέβη σὺν ἀνδράσιν ὀλίγοις εἰς πόλιν παραθαλασσίαν, καὶ ἐβασίλευσεν ἐκεῖ.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 2] Καὶ ἐγένετο ὡς εἰσεπορεύετο εἰς οἶκον βασιλείας πατέρων αὐτοῦ, συνέλαβον αἱ δυνάμεις τὸν Ἀντίοχον καὶ τὸν Λυσίαν ἄγειν αὐτοὺς αὐτῷ.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 3] Καὶ ἐγνώσθη αὐτῷ τὸ πρᾶγμα, καὶ εἶπε, μή μοι δείξητε τὰ πρόσωπα αὐτῶν.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 4] Καὶ ἀπέκτειναν αὐτοὺς αἱ δυνάμεις, καὶ ἐκάθισε Δημήτριος ἐπὶ θρόνου βασιλείας αὐτοῦ.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 5] Καὶ ἦλθον πρὸς αὐτὸν πάντες ἄνδρες ἄνομοι καὶ ἀσεβεῖς ἐξ Ἰσραήλ, καὶ Ἄλκιμος ἡγεῖτο αὐτῶν, βουλόμενος ἱερατεύειν.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 6] Καὶ κατηγόρησαν τοῦ λαοῦ πρὸς τὸν βασιλέα, λέγοντες, ἀπώλεσεν Ἰούδας καὶ οἱ ἀδελφοὶ αὐτοῦ τοὺς φίλους σου, καὶ ἡμᾶς ἐσκόρπισαν ἀπὸ τῆς γῆς ἡμῶν.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 7] Νῦν οὖν ἀπόστειλον ἄνδρα ᾧ πιστεύεις, καὶ πορευθεὶς ἰδέτω τὴν ἐξολόθρευσιν πᾶσαν ἣν ἐποίησεν ἡμῖν καὶ τῇ χώρᾳ τοῦ βασιλέως, καὶ κολασάτω αὐτοὺς καὶ πάντας τοὺς ἐπιβοηθοῦντας αὐτοῖς.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 8] Καὶ ἐπέλεξεν ὁ βασιλεὺς τὸν Βακχίδην τῶν φίλων τοῦ βασιλέως, κυριεύοντα ἐν τῷ πέραν τοῦ ποταμοῦ, καὶ μέγαν ἐν τῇ βασιλείᾳ, καὶ πιστὸν τῷ βασιλεῖ.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 9] Καὶ ἀπέστειλεν αὐτὸν καὶ Ἄλκιμον τὸν ἀσεβῆ, καὶ ἔστησεν αὐτῷ τὴν ἱερωσύνην, καὶ ἐνετείλατο αὐτῷ ποιῆσαι τὴν ἐκδίκησιν ἐν τοῖς υἱοῖς Ἰσραήλ.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 10] Καὶ ἀπῇραν, καὶ ἦλθον μετὰ δυνάμεως πολλῆς εἰς γῆν Ἰούδα· καὶ ἀπέστειλεν ἀγγέλους πρὸς Ἰούδαν, καὶ τοὺς ἀδελφοὺς αὐτοῦ, λόγοις εἰρηνικοῖς μετὰ δόλου.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 11] Καὶ οὐ προσέσχον τοῖς λόγοις αὐτῶν, ἴδον γὰρ ὅτι ἦλθον μετὰ δυνάμεως πολλῆς.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 12] Καὶ ἐπισυνήχθησαν πρὸς Ἄλκιμον καὶ Βακχίδην συναγωγὴ γραμματέων ἐκζητῆσαι δίκαια.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 13] Καὶ πρῶτοι οἱ Ἀσιδαῖοι ἦσαν ἐν υἱοῖς Ἰσραὴλ, καὶ ἐπεζήτουν παρὰ αὐτῶν εἰρήνην·
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 14] Εἶπαν γὰρ, ἄνθρωπος ἱερεὺς ἐκ τοῦ σπέρματος Ἀαρὼν ἦλθεν ἐν ταῖς δυνάμεσι, καὶ οὐκ ἀδικήσει ἡμᾶς.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 15] Καὶ ἐλάλησε μετʼ αὐτῶν λόγους εἰρηνικοὺς, καὶ ὤμοσεν αὐτοῖς, λέγων, οὐκ ἐκζητήσομεν ὑμῖν κακὸν, καὶ τοῦ φίλοις ὑμῶν.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 16] Καὶ ἐνεπίστευσαν αὐτῷ· καὶ συνέλαβεν ἐξ αὐτῶν ἑξήκοντα ἄνδρας, καὶ ἀπέκτεινεν αὐτοὺς ἐν ἡμέρᾳ μιᾷ, κατὰ τὸν λόγον ὃν ἔγραψε,
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 17] σάρκας ὁσίων σου καὶ αἵματα αὐτῶν ἐξέχεαν κύκλῳ Ἱερουσαλὴμ, καὶ οὐκ ἦν αὐτοῖς ὁ θάπτων.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 18] Καὶ ἐπέπεσεν αὐτῶν ὁ φόβος καὶ ὁ τρόμος ἐπὶ πάντα τὸν λαὸν, ὅτι εἶπαν, οὐκ ἔστιν ἐν αὐτοῖς ἀλήθεια καὶ κρίσις· παρέβησαν γὰρ τὴν στάσιν καὶ τὸν ὅρκον ὃν ὤμοσαν.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 19] Καὶ ἀπῇρε Βακχίδης ἀπὸ Ἱερουσαλὴμ, καὶ παρενέβαλεν ἐν Βηζὲθ, καὶ ἀπέστειλε καὶ συνέλαβε πολλοὺς ἀπὸ τῶν ἀπʼ αὐτοῦ αὐτομολησάντων ἀνδρῶν, καί τινας τοῦ λαοῦ, καὶ ἔθυσεν αὐτοὺς εἰς τὸ φρέαρ τὸ μέγα.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 20] Καὶ κατέστησε τὴν χώραν τῷ Ἀλκίμῳ, καὶ ἀφῆκε μετʼ αὐτοῦ δύναμιν τοῦ βοηθεῖν αὐτῷ· καὶ ἀπῆλθε Βακχίδης πρὸς τὸν βασιλέα.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 21] Καὶ ἠγωνίσατο Ἄλκιμος περὶ τῆς ἀρχιερωσύνης.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 22] Καὶ συνήχθησαν πρὸς αὐτὸν πάντες οἱ ταράσσοντες τὸν λαὸν αὐτῶν, καὶ κατεκράτησαν γῆν Ἰούδα, καὶ ἐποίησαν πληγὴν μεγάλην ἐν Ἰσραήλ.
[LXX | EL | OT | 1 Maccabees | Chapter 7 | Verse 23] Καὶ εἶδεν Ἰούδας πᾶσαν τὴν κακίαν ἣν ἐποίησεν Ἄλκιμος καὶ οἱ μετʼ αὐτοῦ ἐν υἱοῖς Ἰσραὴλ ὑπὲρ τὰ ἔθνη·
