[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 1] Καὶ ἀνέβη Ἰωάννης ἐκ Γαζάρων, καὶ ἀπήγγειλε Σιμωνι τῷ πατρὶ αὐτοῦ ἃ συνετέλει Κενδεβαῖος.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 2] Καὶ ἐκάλεσε Σίμων τοὺς δύο υἱοὺς αὐτοῦ τοὺς πρεσβυτέρους Ἰούδαν καὶ Ἰωάννην, καὶ εἶπεν αὐτοῖς, ἐγὼ καὶ οἱ ἀδελφοί μου, καὶ ὁ οἶκος τοῦ πατρός μου, ἐπολεμήσαμεν τοὺς πολεμίους Ἰσραὴλ ἀπὸ νεότητος ἕως τῆς σήμερον ἡμέρας, καὶ εὐωδώθη ἐν ταῖς χερσὶν ἡμῶν ῥύσασθαι τὸν Ἰσραὴλ πλεονάκις.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 3] Νῦν δὲ γεγήρακα, καὶ ὑμεῖς δὲ ἐν τῷ ἐλέει ἱκανοί ἐστε ἐν τοῖς ἔτεσι· γίνεσθε ἀντʼ ἐμοῦ, καὶ τοῦ ἀδελφοῦ μου, καὶ ἐξελθόντες ὑπερμαχεῖτε ὑπὲρ τοῦ ἔθνους ἡμῶν, ἡ δὲ ἐκ τοῦ οὐρανοῦ βοήθεια ἔστω μεθʼ ὑμῶν.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 4] Καὶ ἐπέλεξεν ἐκ τῆς χώρας εἴκοσι χιλιάδας ἀνδρῶν πολεμιστῶν, καὶ ἱππεῖς, καὶ ἐπορεύθωσαν ἐπὶ τὸν Κενδεβαῖον, καὶ ἐκοιμήθησαν ἐν Μωδεΐν.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 5] Καὶ ἀναστάντες τοπρωῒ ἐπορεύοντο εἰς τὸ πεδίον, καὶ ἰδοὺ δύναμις πολλὴ εἰς συνάντησιν αὐτοῖς πεζικὴ, καὶ ἱππεῖς, καὶ ἦν χειμάῤῥους ἀναμέσον αὐτῶν.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 6] Καὶ παρενέβαλε κατὰ πρόσωπον αὐτῶν αὐτὸς καὶ ὁ λαὸς αὐτοῦ· καὶ εἶδε τὸν λαὸν δειλούμενον διαπερᾶσαι τὸν χειμάῤῥουν, καὶ διεπέρασε πρῶτος, καὶ ἴδον αὐτὸν οἱ ἄνδρες, καὶ διεπέρασαν κατόπισθεν αὐτοῦ·
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 7] Καὶ διεῖλε τὸν λαὸν, καὶ τοὺς ἱππεῖς ἐν μέσῳ τῶν πέζῶν· ἡ δὲ ἵππος τῶν ὑπεναντίων πολλὴ σφόδρα.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 8] Καὶ ἐσάλπισαν ταῖς ἱεραῖς σάλπιγξι, καὶ ἐτροπώθη Κενδεβαῖος καὶ ἡ παρεμβολὴ αὐτοῦ, καὶ ἔπεσον ἐξ αὐτῶν τραυματίαι πολλοί· οἱ δὲ καταλειφθέντες ἔφυγον εἰς τὸ ὀχύρωμα.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 9] Τότε ἐτραυματίσθη Ἰούδας ὁ ἀδελφὸς Ἰωάννου· Ἰωάννης δὲ κατεδίωξεν αὐτοὺς ἕως ἦλθεν εἰς Κεδρών, ἣν ᾠκοδόμησεν
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 10] Καὶ ἔφυγον ἕως εἰς τοὺς πύργους τοὺς ἐν τοῖς ἀγροῖς Ἀζώτου, καὶ ἐνεπύρισεν αὐτὴν ἐν πυρί, καὶ ἔπεσον ἐξ αὐτῶν εἰς ἄνδρας δισχιλίους· καὶ ἀπέστρεψεν εἰς γῆν Ἰούδα μετʼ εἰρήνης.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 11] Καὶ Πτολεμαῖος ὁ τοῦ Ἀβούβου ἦν καθεσταμένος στρατηγὸς εἰς τὸ πεδίον Ἱεριχὼ, καὶ ἔσχεν ἀργύριον καὶ χρυσίον πολύ·
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 12] ἦν γὰρ γαμβρὸς τοῦ ἀρχιερέως.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 13] Καὶ ὑψώθη ἡ καρδία αὐτοῦ, καὶ ἠβουλήθη κατακρατῆσαι τῆς χώρας, καὶ ἐβουλεύετο δόλῳ κατὰ Σίμωνος, καὶ τῶν υἱῶν αὐτοῦ, ἆραι αὐτούς.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 14] Σίμων δὲ ἦν ἐφοδεύων τὰς πόλεις τὰς ἐν τῇ χώρᾳ, καὶ φροντίζων τῆς ἐπιμελείας αὐτῶν, καὶ κατέβη εἰς Ἱεριχὼ αὐτὸς, καὶ Ματταθίας καὶ Ἰούδας οἱ υἱοὶ αὐτοῦ, ἐτους ἑβδόμου καὶ ἑβδομηκοστοῦ καὶ ἑκατοστοῦ, ἐν μηνὶ ἑνδεκάτῳ, οὗτος ὁ μὴν Σαβάτ.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 15] Καὶ ὑπεδέξατο αὐτοὺς ὁ τοῦ Ἀβούβου εἰς τὸ ὀχυρωμάτιον τὸ καλούμενον Δὼκ, μετὰ δόλου, ὃ ᾠκοδόμησε, καὶ ἐποίησεν αὐτοῖς πότον μέγαν, καὶ ἐνέκρυψεν ἐκεῖ ἄνδρας.
[LXX | EL | OT | 1 Maccabees | Chapter 16 | Verse 16] Καὶ ὅτε ἐμεθύσθη Σίμων καὶ οἱ υἱοὶ αὐτοῦ, ἐξανέστη Πτολεμαῖος καὶ οἱ παρʼ αὐτοῦ, καὶ ἐλάβοσαν τὰ ὅπλα αὐτῶν, καὶ ἐπεισήλθοσαν τῷ Σίμωνι εἰς τὸ συμπόσιον, καὶ ἀπέκτειναν αὐτὸν καὶ τοὺς δύο υἱοὺς αὐτοῦ, καί τινας τῶν παιδαρίων αὐτοῦ.
