[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 1] Καὶ ἐν ἔτει ἑξηκοστῷ καὶ ἑκατοστῷ ἀνέβη Ἀλέξανδρος ὁ τοῦ Ἀντιόχου ὁ Ἐπιφανής, καὶ κατελάβετο Πτολεμαΐδα, καὶ ἐπεδέξαντο αὐτὸν, καὶ ἐβασίλευσεν ἐκεῖ.
[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 2] Καὶ ἤκουσε Δημήτριος ὁ βασιλεύς, καὶ συνήγαγε δυνάμεις πολλὰς σφόδρα, καὶ ἐξῆλθεν εἰς συνάντησιν αὐτῷ εἰς πόλεμον.
[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 3] Καὶ ἀπέστειλε Δημήτριος πρὸς Ἰωνάθαν ἐπιστολὰς λόγοις εἰρηνικοῖς ὥστε μεγαλῦναι αὐτόν.
[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 4] Εἶπε γάρ, προφθάσωμεν τοῦ εἰρήνην θεῖναι μετʼ αὐτοῦ, πρινὴ θεῖναι αὐτὸν μετὰ Ἀλεξάνδρου καθʼ ἡμῶν.
[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 5] Μνησθήσεται γὰρ πάντων τῶν κακῶν ὧν συνετελέσαμεν πρὸς αὐτόν, καὶ εἰς τοὺς ἀδελφοὺς αὐτοῦ, καὶ εἰς τὸ ἔθνος αὐτοῦ.
[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 6] Καὶ ἔδωκεν αὐτῷ ἐξουσίαν συναγαγεῖν δυνάμεις, καὶ κατασκευάζειν ὅπλα, καὶ εἶναι αὐτὸν σύμμαχον αὐτοῦ, καὶ τὰ ὅμηρα τὰ ἐν τῇ ἄκρᾳ εἶπε παραδοῦναι αὐτῷ.
[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 7] Καὶ ἦλθεν Ἰωνάθαν εἰς Ἱερουσαλὴμ, καὶ ἀνέγνω τὰς ἐπιστολὰς εἰς τὰ ὦτα παντὸς τοῦ λαοῦ, καὶ τῶν ἐκ τῆς ἄκρας.
[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 8] Καὶ ἐφοβήθησα φόβον μέγαν ὅτε ἤκουσαν ὅτι ἔδωκεν αὐτῷ ὁ βασιλεὺς ἐξουσίαν συναγαγεῖν δυνάμεις.
[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 9] Καὶ παρέδωκαν οἱ ἐκ τῆς ἄκρας Ἰωνάθαν τὰ ὅμηρα, καὶ ἀπέδωκεν αὐτοὺς τοῖς γονεῦσιν αὐτῶν.
[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 10] Καὶ ᾤκησεν Ἰωνάθαν ἐν Ἱερουσαλήμ, καὶ ἤρξατο οἰκοδομεῖν καὶ καινίζειν τὴν πόλιν.
[LXX | EL | OT | 1 Maccabees | Chapter 10 | Verse 11] Καὶ εἶπε πρὸς τοὺς ποιοῦντας τὰ ἔργα, οἰκοδομεῖν τὰ τείχη, καὶ τὸ ὄρος Σιὼν κυκλόθεν ἐκ λίθων τετραγώνων εἰς ὀχύρωσιν· καὶ ἐποίησαν οὕτως.
