[YLT | EN | OT | Joshua | Chapter 15 | Verse 1] And the lot for the tribe of the sons of Judah, for their families, is unto the border of Edom; the wilderness of Zin southward, at the extremity of the south;
[YLT | EN | OT | Joshua | Chapter 15 | Verse 2] and to them the south border is at the extremity of the salt sea, from the bay which is looking southward;
[YLT | EN | OT | Joshua | Chapter 15 | Verse 3] and it hath gone out unto the south to Maaleh-Akrabbim, and passed over to Zin, and gone up on the south to Kadesh-Barnea, and passed over [to] Hezron, and gone up to Adar, and turned round to Karkaa,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 4] and passed over [to] Azmon, and gone out [at] the brook of Egypt, and the outgoings of the border have been at the sea; this is to you the south border.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 5] And the east border [is] the salt sea, unto the extremity of the Jordan, and the border at the north quarter [is] from the bay of the sea, at the extremity of the Jordan;
[YLT | EN | OT | Joshua | Chapter 15 | Verse 6] and the border hath gone up [to] Beth-Hoglah, and passed over on the north of Beth-Arabah, and the border hath gone up [to] the stone of Bohan son of Reuben:
[YLT | EN | OT | Joshua | Chapter 15 | Verse 7] and the border hath gone up towards Debir from the valley of Achor, and northward looking unto Gilgal, which [is] over-against the ascent of Adummim, which [is] on the south of the brook, and the border hath passed over unto the waters of En-Shemesh, and its outgoings have been unto En-Rogel;
[YLT | EN | OT | Joshua | Chapter 15 | Verse 8] and the border hath gone up the valley of the son of Hinnom, unto the side of the Jebusite on the south (it [is] Jerusalem), and the border hath gone up unto the top of the hill-country which [is] on the front of the valley of Hinnom westward, which [is] in the extremity of the valley of the Rephaim northward;
[YLT | EN | OT | Joshua | Chapter 15 | Verse 9] and the border hath been marked out, from the top of the hill-country unto the fountain of the waters of Nephtoah, and hath gone out unto the cities of mount Ephron, and the border hath been marked out [to] Baalah, (it [is] Kirjath-Jearim);
[YLT | EN | OT | Joshua | Chapter 15 | Verse 10] and the border hath gone round from Baalah westward, unto mount Seir, and passed over unto the side of mount Jearim (it [is] Chesalon), on the north, and gone down [to] Beth-Shemesh, and passed over to Timnah;
[YLT | EN | OT | Joshua | Chapter 15 | Verse 11] and the border hath gone out unto the side of Ekron northward, and the border hath been marked out [to] Shicron, and hath passed over to mount Baalah, and gone out [to] Jabneel; and the outgoings of the border have been at the sea.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 12] And the west border [is] to the great sea, and [its] border; this [is] the border of the sons of Judah round about for their families.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 13] And to Caleb son of Jephunneh hath he given a portion in the midst of the sons of Judah, according to the command of Jehovah to Joshua, [even] the city of Arba, father of Anak — it [is] Hebron.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 14] And Caleb is dispossessing thence the three sons of Anak, Sheshai, and Ahiman, and Talmai, children of Anak,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 15] and he goeth up thence unto the inhabitants of Debir; and the name of Debir formerly is Kirjath-Sepher.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 16] And Caleb saith, 'He who smiteth Kirjath-Sephar, and hath captured it — I have given to him Achsah my daughter for a wife.'
[YLT | EN | OT | Joshua | Chapter 15 | Verse 17] And Othniel son of Kenaz, brother of Caleb, doth capture it, and he giveth to him Achsah his daughter for a wife.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 18] And it cometh to pass, in her coming in, that she persuadeth him to ask from her father a field, and she lighteth from off the ass, and Caleb saith to her, 'What — to thee?'
[YLT | EN | OT | Joshua | Chapter 15 | Verse 19] And she saith, 'Give to me a blessing; when the land of the south thou hast given me, then thou hast given to me springs of waters;' and he giveth to her the upper springs and the lower springs.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 20] This [is] the inheritance of the tribe of the sons of Judah, for their families.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 21] And the cities at the extremity of the tribe of the sons of Judah are unto the border of Edom in the south, Kabzeel, and Eder, and Jagur,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 22] and Kinah, and Dimonah, and Adadah,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 23] and Kedesh, and Hazor, and Ithnan,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 24] Ziph, and Telem, and Bealoth,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 25] and Hazor, Hadattah, and Kerioth, Hezron, (it [is] Hazor,)
[YLT | EN | OT | Joshua | Chapter 15 | Verse 26] Amam, and Shema, and Moladah,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 27] and Hazar-Gaddah, and Heshmon, and Beth-Palet,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 28] and Hazar-Shual, and Beer-Sheba, and Bizjothjah,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 29] Baalah, and Iim, and Azem,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 30] And Eltolad, and Chesil, and Hormah,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 31] and Ziklag, and Madmannah, and Sansannah,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 32] and Lebaoth, and Shilhim, and Ain, and Rimmon; all the cities [are] twenty and nine, and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 33] In the low country: Eshtaol, and Zoreah, and Ashnah,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 34] and Zanoah, and En-Gannim, Tappuah, and Enam,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 35] Jarmuth, and Adullam, Socoh, and Azekah,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 36] and Sharaim, and Adithaim, and Gederah, and Gederothaim; fourteen cities and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 37] Zenan, and Hadashah, and Migdal-Gad,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 38] and Dilean, and Mizpeh, and Joktheel,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 39] Lachish, and Bozkath, and Eglon,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 40] and Cabbon, and Lahmam, and Kithlish,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 41] and Gederoth, Beth-Dagon, and Naamah, and Makkedah; sixteen cities and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 42] Libnah, and Ether, and Ashan,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 43] and Jiphtah, and Ashnah, and Nezib,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 44] and Keilah, and Achzib, and Mareshah; nine cities and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 45] Ekron and its towns and its villages,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 46] from Ekron and westward, all that [are] by the side of Ashdod, and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 47] Ashdod, its towns and its villages, Gaza, its towns and its villages, unto the brook of Egypt, and the great sea, and [its] border.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 48] And in the hill-country: Shamir, and Jattir, and Socoh,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 49] and Dannah, and Kirjath-Sannah (it [is] Debir)
[YLT | EN | OT | Joshua | Chapter 15 | Verse 50] and Anab, and Eshtemoh, and Anim,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 51] and Goshen, and Holon, and Giloh; eleven cities and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 52] Arab, and Dumah, and Eshean,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 53] and Janum, and Beth-Tappuah, and Aphekah,
