[KJV | EN | OT | Proverbs | Chapter 29 | Verse 1] He, that being often reproved hardeneth his neck, Shall suddenly be destroyed, and that without remedy.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 2] When the righteous are in authority, the people rejoice: But when the wicked beareth rule, the people mourn.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 3] Whoso loveth wisdom rejoiceth his father: But he that keepeth company with harlots spendeth his substance.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 4] The king by judgment stablisheth the land: But he that receiveth gifts overthroweth it.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 5] A man that flattereth his neighbour Spreadeth a net for his feet.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 6] In the transgression of an evil man there is a snare: But the righteous doth sing and rejoice.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 7] The righteous considereth the cause of the poor: But the wicked regardeth not to know it.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 8] Scornful men bring a city into a snare: But wise men turn away wrath.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 9] If a wise man contendeth with a foolish man, Whether he rage or laugh, there is no rest.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 10] The bloodthirsty hate the upright: But the just seek his soul.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 11] A fool uttereth all his mind: But a wise man keepeth it in till afterwards.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 12] If a ruler hearken to lies, All his servants are wicked.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 13] The poor and the deceitful man meet together: The Lord lighteneth both their eyes.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 14] The king that faithfully judgeth the poor, His throne shall be established for ever.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 15] The rod and reproof give wisdom: But a child left to himself bringeth his mother to shame.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 16] When the wicked are multiplied, transgression increaseth: But the righteous shall see their fall.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 17] Correct thy son, and he shall give thee rest; Yea, he shall give delight unto thy soul.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 18] Where there is no vision, the people perish: But he that keepeth the law, happy is he.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 19] A servant will not be corrected by words: For though he understand he will not answer.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 20] Seest thou a man that is hasty in his words? There is more hope of a fool than of him.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 21] He that delicately bringeth up his servant from a child Shall have him become his son at the length.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 22] An angry man stirreth up strife, And a furious man aboundeth in transgression.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 23] A man’s pride shall bring him low: But honour shall uphold the humble in spirit.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 24] Whoso is partner with a thief hateth his own soul: He heareth cursing, and bewrayeth it not.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 25] The fear of man bringeth a snare: But whoso putteth his trust in the Lord shall be safe.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 26] Many seek the ruler’s favour; But every man’s judgment cometh from the Lord.
[KJV | EN | OT | Proverbs | Chapter 29 | Verse 27] An unjust man is an abomination to the just: And he that is upright in the way is abomination to the wicked.
