[KJV | EN | OT | Proverbs | Chapter 25 | Verse 1] These are also proverbs of Solomon, which the men of Hezekiah king of Judah copied out.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 2] It is the glory of God to conceal a thing: But the honour of kings is to search out a matter.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 3] The heaven for height, and the earth for depth, And the heart of kings is unsearchable.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 4] Take away the dross from the silver, And there shall come forth a vessel for the finer.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 5] Take away the wicked from before the king, And his throne shall be established in righteousness.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 6] Put not forth thyself in the presence of the king, And stand not in the place of great men:
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 7] For better it is that it be said unto thee, Come up hither; Than that thou shouldest be put lower in the presence of the prince Whom thine eyes have seen.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 8] Go not forth hastily to strive, Lest thou know not what to do in the end thereof, When thy neighbour hath put thee to shame.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 9] Debate thy cause with thy neighbour himself; And discover not a secret to another:
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 10] Lest he that heareth it put thee to shame, And thine infamy turn not away.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 11] A word fitly spoken Is like apples of gold in pictures of silver.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 12] As an earring of gold, and an ornament of fine gold, So is a wise reprover upon an obedient ear.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 13] As the cold of snow in the time of harvest, So is a faithful messenger to them that send him: For he refresheth the soul of his masters.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 14] Whoso boasteth himself of a false gift Is like clouds and wind without rain.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 15] By long forbearing is a prince persuaded, And a soft tongue breaketh the bone.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 16] Hast thou found honey? eat so much as is sufficient for thee, Lest thou be filled therewith, and vomit it.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 17] Withdraw thy foot from thy neighbour’s house; Lest he be weary of thee, and so hate thee.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 18] A man that beareth false witness against his neighbour Is a maul, and a sword, and a sharp arrow.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 19] Confidence in an unfaithful man in time of trouble Is like a broken tooth, and a foot out of joint.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 20] As he that taketh away a garment in cold weather, And as vinegar upon nitre, So is he that singeth songs to a heavy heart.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 21] If thine enemy be hungry, give him bread to eat; And if he be thirsty, give him water to drink:
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 22] For thou shalt heap coals of fire upon his head, And the Lord shall reward thee.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 23] The north wind driveth away rain: So doth an angry countenance a backbiting tongue.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 24] It is better to dwell in a corner of the housetop, Than with a brawling woman and in a wide house.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 25] As cold waters to a thirsty soul, So is good news from a far country.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 26] A righteous man falling down before the wicked Is as a troubled fountain, and a corrupt spring.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 27] It is not good to eat much honey: So for men to search their own glory is not glory.
[KJV | EN | OT | Proverbs | Chapter 25 | Verse 28] He that hath no rule over his own spirit Is like a city that is broken down, and without walls.
