[KJV | EN | OT | Proverbs | Chapter 13 | Verse 1] A wise son heareth his father’s instruction: But a scorner heareth not rebuke.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 2] A man shall eat good by the fruit of his mouth: But the soul of the transgressors shall eat violence.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 3] He that keepeth his mouth keepeth his life: But he that openeth wide his lips shall have destruction.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 4] The soul of the sluggard desireth, and hath nothing: But the soul of the diligent shall be made fat.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 5] A righteous man hateth lying: But a wicked man is loathsome, and cometh to shame.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 6] Righteousness keepeth him that is upright in the way: But wickedness overthroweth the sinner.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 7] There is that maketh himself rich, yet hath nothing: There is that maketh himself poor, yet hath great riches.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 8] The ransom of a man’s life are his riches: But the poor heareth not rebuke.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 9] The light of the righteous rejoiceth: But the lamp of the wicked shall be put out.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 10] Only by pride cometh contention: But with the well advised is wisdom.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 11] Wealth gotten by vanity shall be diminished: But he that gathereth by labour shall increase.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 12] Hope deferred maketh the heart sick: But when the desire cometh, it is a tree of life.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 13] Whoso despiseth the word shall be destroyed: But he that feareth the commandment shall be rewarded.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 14] The law of the wise is a fountain of life, To depart from the snares of death.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 15] Good understanding giveth favour: But the way of transgressors is hard.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 16] Every prudent man dealeth with knowledge: But a fool layeth open his folly.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 17] A wicked messenger falleth into mischief: But a faithful ambassador is health.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 18] Poverty and shame shall be to him that refuseth instruction: But he that regardeth reproof shall be honoured.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 19] The desire accomplished is sweet to the soul: But it is abomination to fools to depart from evil.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 20] He that walketh with wise men shall be wise: But a companion of fools shall be destroyed.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 21] Evil pursueth sinners: But to the righteous good shall be repayed.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 22] A good man leaveth an inheritance to his children’s children: And the wealth of the sinner is laid up for the just.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 23] Much food is in the tillage of the poor: But there is that is destroyed for want of judgment.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 24] He that spareth his rod hateth his son: But he that loveth him chasteneth him betimes.
[KJV | EN | OT | Proverbs | Chapter 13 | Verse 25] The righteous eateth to the satisfying of his soul: But the belly of the wicked shall want.
