[KJV | EN | OT | Proverbs | Chapter 10 | Verse 1] The proverbs of Solomon. A wise son maketh a glad father: But a foolish son is the heaviness of his mother.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 2] Treasures of wickedness profit nothing: But righteousness delivereth from death.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 3] The Lord will not suffer the soul of the righteous to famish: But he casteth away the substance of the wicked.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 4] He becometh poor that dealeth with a slack hand: But the hand of the diligent maketh rich.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 5] He that gathereth in summer is a wise son: But he that sleepeth in harvest is a son that causeth shame.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 6] Blessings are upon the head of the just: But violence covereth the mouth of the wicked.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 7] The memory of the just is blessed: But the name of the wicked shall rot.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 8] The wise in heart will receive commandments: But a prating fool shall fall.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 9] He that walketh uprightly walketh surely: But he that perverteth his ways shall be known.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 10] He that winketh with the eye causeth sorrow: But a prating fool shall fall.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 11] The mouth of a righteous man is a well of life: But violence covereth the mouth of the wicked.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 12] Hatred stirreth up strifes: But love covereth all sins.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 13] In the lips of him that hath understanding wisdom is found: But a rod is for the back of him that is void of understanding.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 14] Wise men lay up knowledge: But the mouth of the foolish is near destruction.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 15] The rich man’s wealth is his strong city: The destruction of the poor is their poverty.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 16] The labour of the righteous tendeth to life: The fruit of the wicked to sin.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 17] He is in the way of life that keepeth instruction: But he that refuseth reproof erreth.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 18] He that hideth hatred with lying lips, And he that uttereth a slander, is a fool.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 19] In the multitude of words there wanteth not sin: But he that refraineth his lips is wise.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 20] The tongue of the just is as choice silver: The heart of the wicked is little worth.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 21] The lips of the righteous feed many: But fools die for want of wisdom.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 22] The blessing of the Lord, it maketh rich, And he addeth no sorrow with it.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 23] It is as sport to a fool to do mischief: But a man of understanding hath wisdom.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 24] The fear of the wicked, it shall come upon him: But the desire of the righteous shall be granted.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 25] As the whirlwind passeth, so is the wicked no more: But the righteous is an everlasting foundation.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 26] As vinegar to the teeth, and as smoke to the eyes, So is the sluggard to them that send him.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 27] The fear of the Lord prolongeth days: But the years of the wicked shall be shortened.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 28] The hope of the righteous shall be gladness: But the expectation of the wicked shall perish.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 29] The way of the Lord is strength to the upright: But destruction shall be to the workers of iniquity.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 30] The righteous shall never be removed: But the wicked shall not inhabit the earth.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 31] The mouth of the just bringeth forth wisdom: But the froward tongue shall be cut out.
[KJV | EN | OT | Proverbs | Chapter 10 | Verse 32] The lips of the righteous know what is acceptable: But the mouth of the wicked speaketh frowardness.
