[KJV | EN | OT | Proverbs | Chapter 31 | Verse 1] The words of king Lemuel, the prophecy that his mother taught him.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 2] What, my son? and what, the son of my womb? And what, the son of my vows?
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 3] Give not thy strength unto women, Nor thy ways to that which destroyeth kings.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 4] It is not for kings, O Lemuel, it is not for kings to drink wine; Nor for princes strong drink:
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 5] Lest they drink, and forget the law, And pervert the judgment of any of the afflicted.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 6] Give strong drink unto him that is ready to perish, And wine unto those that be of heavy hearts.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 7] Let him drink, and forget his poverty, And remember his misery no more.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 8] Open thy mouth for the dumb In the cause of all such as are appointed to destruction.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 9] Open thy mouth, judge righteously, And plead the cause of the poor and needy.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 10] (א) Who can find a virtuous woman? For her price is far above rubies.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 11] (ב) The heart of her husband doth safely trust in her, So that he shall have no need of spoil.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 12] (ג) She will do him good and not evil All the days of her life.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 13] (ד) She seeketh wool, and flax, And worketh willingly with her hands.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 14] (ה) She is like the merchant’s ships; She bringeth her food from afar.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 15] (ו) She riseth also while it is yet night, And giveth meat to her household, And a portion to her maidens.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 16] (ז) She considereth a field, and buyeth it: With the fruit of her hands she planteth a vineyard.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 17] (ח) She girdeth her loins with strength, And strengtheneth her arms.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 18] (ט) She perceiveth that her merchandise is good: Her candle goeth not out by night.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 19] (י) She layeth her hands to the spindle, And her hands hold the distaff.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 20] (כ) She stretcheth out her hand to the poor; Yea, she reacheth forth her hands to the needy.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 21] (ל) She is not afraid of the snow for her household: For all her household are clothed with scarlet.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 22] (מ) She maketh herself coverings of tapestry; Her clothing is silk and purple.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 23] (נ) Her husband is known in the gates, When he sitteth among the elders of the land.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 24] (ס) She maketh fine linen, and selleth it; And delivereth girdles unto the merchant.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 25] (ע) Strength and honour are her clothing; And she shall rejoice in time to come.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 26] (פ) She openeth her mouth with wisdom; And in her tongue is the law of kindness.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 27] (צ) She looketh well to the ways of her household, And eateth not the bread of idleness.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 28] (ק) Her children arise up, and call her blessed; Her husband also, and he praiseth her.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 29] (ר) Many daughters have done virtuously, But thou excellest them all.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 30] (ש) Favour is deceitful, and beauty is vain: But a woman that feareth the Lord, she shall be praised.
[KJV | EN | OT | Proverbs | Chapter 31 | Verse 31] (ת) Give her of the fruit of her hands; And let her own works praise her in the gates.
