[KJV | EN | OT | Proverbs | Chapter 9 | Verse 1] Wisdom hath builded her house, She hath hewn out her seven pillars:
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 2] She hath killed her beasts; she hath mingled her wine; She hath also furnished her table.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 3] She hath sent forth her maidens: She crieth upon the highest places of the city,
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 4] Whoso is simple, let him turn in hither: As for him that wanteth understanding, she saith to him,
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 5] Come, eat of my bread, And drink of the wine which I have mingled.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 6] Forsake the foolish, and live; And go in the way of understanding.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 7] He that reproveth a scorner getteth to himself shame: And he that rebuketh a wicked man getteth himself a blot.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 8] Reprove not a scorner, lest he hate thee: Rebuke a wise man, and he will love thee.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 9] Give instruction to a wise man, and he will be yet wiser: Teach a just man, and he will increase in learning.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 10] The fear of the Lord is the beginning of wisdom: And the knowledge of the holy is understanding.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 11] For by me thy days shall be multiplied, And the years of thy life shall be increased.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 12] If thou be wise, thou shalt be wise for thyself: But if thou scornest, thou alone shalt bear it.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 13] A foolish woman is clamorous: She is simple, and knoweth nothing.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 14] For she sitteth at the door of her house, On a seat in the high places of the city,
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 15] To call passengers Who go right on their ways:
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 16] Whoso is simple, let him turn in hither: And as for him that wanteth understanding, she saith to him,
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 17] Stolen waters are sweet, And bread eaten in secret is pleasant.
[KJV | EN | OT | Proverbs | Chapter 9 | Verse 18] But he knoweth not that the dead are there; And that her guests are in the depths of hell.
