[KJV | EN | OT | Proverbs | Chapter 5 | Verse 1] My son, attend unto my wisdom, And bow thine ear to my understanding:
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 2] That thou mayest regard discretion, And that thy lips may keep knowledge.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 3] For the lips of a strange woman drop as a honeycomb, And her mouth is smoother than oil:
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 4] But her end is bitter as wormwood, Sharp as a twoedged sword.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 5] Her feet go down to death; Her steps take hold on hell.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 6] Lest thou shouldest ponder the path of life, Her ways are moveable, that thou canst not know them.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 7] Hear me now therefore, O ye children, And depart not from the words of my mouth.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 8] Remove thy way far from her, And come not nigh the door of her house:
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 9] Lest thou give thine honour unto others, And thy years unto the cruel:
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 10] Lest strangers be filled with thy wealth; And thy labours be in the house of a stranger;
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 11] And thou mourn at the last, When thy flesh and thy body are consumed,
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 12] And say, How have I hated instruction, And my heart despised reproof;
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 13] And have not obeyed the voice of my teachers, Nor inclined mine ear to them that instructed me!
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 14] I was almost in all evil In the midst of the congregation and assembly.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 15] Drink waters out of thine own cistern, And running waters out of thine own well.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 16] Let thy fountains be dispersed abroad, And rivers of waters in the streets.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 17] Let them be only thine own, And not strangers’ with thee.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 18] Let thy fountain be blessed: And rejoice with the wife of thy youth.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 19] Let her be as the loving hind and pleasant roe; Let her breasts satisfy thee at all times; And be thou ravisht always with her love.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 20] And why wilt thou, my son, be ravisht with a strange woman, And embrace the bosom of a stranger?
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 21] For the ways of man are before the eyes of the Lord, And he pondereth all his goings.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 22] His own iniquities shall take the wicked himself, And he shall be holden with the cords of his sins.
[KJV | EN | OT | Proverbs | Chapter 5 | Verse 23] He shall die without instruction; And in the greatness of his folly he shall go astray.
