[KJV | EN | OT | Proverbs | Chapter 8 | Verse 1] Doth not wisdom cry? And understanding put forth her voice?
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 2] She standeth in the top of high places by the way, In the places of the paths.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 3] She crieth at the gates, at the entry of the city, At the coming in at the doors.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 4] Unto you, O men, I call; And my voice is to the sons of man.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 5] O ye simple, understand wisdom: And, ye fools, be ye of an understanding heart.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 6] Hear, for I will speak of excellent things; And the opening of my lips shall be right things.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 7] For my mouth shall speak truth; And wickedness is an abomination to my lips.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 8] All the words of my mouth are in righteousness; There is nothing froward or perverse in them.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 9] They are all plain to him that understandeth, And right to them that find knowledge.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 10] Receive my instruction, and not silver; And knowledge rather than choice gold.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 11] For wisdom is better than rubies; And all the things that may be desired are not to be compared to it.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 12] I wisdom dwell with prudence, And find out knowledge of witty inventions.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 13] The fear of the Lord is to hate evil: Pride, and arrogancy, and the evil way, And the froward mouth, do I hate.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 14] Counsel is mine, and sound wisdom: I am understanding; I have strength.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 15] By me kings reign, And princes decree justice.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 16] By me princes rule, And nobles, even all the judges of the earth.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 17] I love them that love me; And those that seek me early shall find me.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 18] Riches and honour are with me; Yea, durable riches and righteousness.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 19] My fruit is better than gold, yea, than fine gold; And my revenue than choice silver.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 20] I lead in the way of righteousness, In the midst of the paths of judgment:
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 21] That I may cause those that love me to inherit substance; And I will fill their treasures.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 22] The Lord possessed me in the beginning of his way, Before his works of old.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 23] I was set up from everlasting, from the beginning, Or ever the earth was.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 24] When there were no depths, I was brought forth; When there were no fountains abounding with water.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 25] Before the mountains were settled, Before the hills was I brought forth:
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 26] While as yet he had not made the earth, nor the fields, Nor the highest part of the dust of the world.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 27] When he prepared the heavens, I was there: When he set a compass upon the face of the depth:
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 28] When he established the clouds above: When he strengthened the fountains of the deep:
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 29] When he gave to the sea his decree, That the waters should not pass his commandment; When he appointed the foundations of the earth:
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 30] Then I was by him, as one brought up with him: And I was daily his delight, Rejoicing always before him;
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 31] Rejoicing in the habitable part of his earth; And my delights were with the sons of men.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 32] Now therefore hearken unto me, O ye children: For blessed are they that keep my ways.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 33] Hear instruction, and be wise, And refuse it not.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 34] Blessed is the man that heareth me, Watching daily at my gates, Waiting at the posts of my doors.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 35] For whoso findeth me findeth life, And shall obtain favour of the Lord.
[KJV | EN | OT | Proverbs | Chapter 8 | Verse 36] But he that sinneth against me wrongeth his own soul: All they that hate me love death.
