[KJV | EN | OT | Proverbs | Chapter 21 | Verse 1] The king’s heart is in the hand of the Lord, as the rivers of water: He turneth it whithersoever he will.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 2] Every way of a man is right in his own eyes: But the Lord pondereth the hearts.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 3] To do justice and judgment Is more acceptable to the Lord than sacrifice.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 4] A high look, and a proud heart, And the plowing of the wicked, is sin.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 5] The thoughts of the diligent tend only to plenteousness; But of every one that is hasty only to want.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 6] The getting of treasures by a lying tongue Is a vanity tossed to and fro of them that seek death.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 7] The robbery of the wicked shall destroy them; Because they refuse to do judgment.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 8] The way of man is froward and strange: But as for the pure, his work is right.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 9] It is better to dwell in a corner of the housetop, Than with a brawling woman in a wide house.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 10] The soul of the wicked desireth evil: His neighbour findeth no favour in his eyes.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 11] When the scorner is punished, the simple is made wise: And when the wise is instructed, he receiveth knowledge.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 12] The righteous man wisely considereth the house of the wicked: But God overthroweth the wicked for their wickedness.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 13] Whoso stoppeth his ears at the cry of the poor, He also shall cry himself, but shall not be heard.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 14] A gift in secret pacifieth anger: And a reward in the bosom strong wrath.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 15] It is joy to the just to do judgment: But destruction shall be to the workers of iniquity.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 16] The man that wandereth out of the way of understanding Shall remain in the congregation of the dead.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 17] He that loveth pleasure shall be a poor man: He that loveth wine and oil shall not be rich.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 18] The wicked shall be a ransom for the righteous, And the transgressor for the upright.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 19] It is better to dwell in the wilderness, Than with a contentious and an angry woman.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 20] There is treasure to be desired and oil in the dwelling of the wise; But a foolish man spendeth it up.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 21] He that followeth after righteousness and mercy Findeth life, righteousness, and honour.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 22] A wise man scaleth the city of the mighty, And casteth down the strength of the confidence thereof.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 23] Whoso keepeth his mouth and his tongue Keepeth his soul from troubles.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 24] Proud and haughty scorner is his name, Who dealeth in proud wrath.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 25] The desire of the slothful killeth him; For his hands refuse to labour.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 26] He coveteth greedily all the day long: But the righteous giveth and spareth not.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 27] The sacrifice of the wicked is abomination: How much more, when he bringeth it with a wicked mind?
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 28] A false witness shall perish: But the man that heareth, speaketh constantly.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 29] A wicked man hardeneth his face: But as for the upright, he directeth his way.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 30] There is no wisdom nor understanding Nor counsel against the Lord.
[KJV | EN | OT | Proverbs | Chapter 21 | Verse 31] The horse is prepared against the day of battle: But safety is of the Lord.
