[KJV | EN | OT | Proverbs | Chapter 12 | Verse 1] Whoso loveth instruction loveth knowledge: But he that hateth reproof is brutish.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 2] A good man obtaineth favour of the Lord: But a man of wicked devices will he condemn.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 3] A man shall not be established by wickedness: But the root of the righteous shall not be moved.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 4] A virtuous woman is a crown to her husband: But she that maketh ashamed is as rottenness in his bones.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 5] The thoughts of the righteous are right: But the counsels of the wicked are deceit.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 6] The words of the wicked are to lie in wait for blood: But the mouth of the upright shall deliver them.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 7] The wicked are overthrown, and are not: But the house of the righteous shall stand.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 8] A man shall be commended according to his wisdom: But he that is of a perverse heart shall be despised.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 9] He that is despised, and hath a servant, is better Than he that honoureth himself, and lacketh bread.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 10] A righteous man regardeth the life of his beast: But the tender mercies of the wicked are cruel.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 11] He that tilleth his land shall be satisfied with bread: But he that followeth vain persons is void of understanding.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 12] The wicked desireth the net of evil men: But the root of the righteous yieldeth fruit.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 13] The wicked is snared by the transgression of his lips: But the just shall come out of trouble.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 14] A man shall be satisfied with good by the fruit of his mouth: And the recompence of a man’s hands shall be rendered unto him.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 15] The way of a fool is right in his own eyes: But he that hearkeneth unto counsel is wise.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 16] A fool’s wrath is presently known: But a prudent man covereth shame.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 17] He that speaketh truth sheweth forth righteousness: But a false witness deceit.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 18] There is that speaketh like the piercings of a sword: But the tongue of the wise is health.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 19] The lip of truth shall be established for ever: But a lying tongue is but for a moment.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 20] Deceit is in the heart of them that imagine evil: But to the counsellers of peace is joy.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 21] There shall no evil happen to the just: But the wicked shall be filled with mischief.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 22] Lying lips are abomination to the Lord: But they that deal truly are his delight.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 23] A prudent man concealeth knowledge: But the heart of fools proclaimeth foolishness.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 24] The hand of the diligent shall bear rule: But the slothful shall be under tribute.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 25] Heaviness in the heart of man maketh it stoop: But a good word maketh it glad.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 26] The righteous is more excellent than his neighbour: But the way of the wicked seduceth them.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 27] The slothful man roasteth not that which he took in hunting: But the substance of a diligent man is precious.
[KJV | EN | OT | Proverbs | Chapter 12 | Verse 28] In the way of righteousness is life; And in the pathway thereof there is no death.
