[KJV | EN | OT | Proverbs | Chapter 15 | Verse 1] A soft answer turneth away wrath: But grievous words stir up anger.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 2] The tongue of the wise useth knowledge aright: But the mouth of fools poureth out foolishness.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 3] The eyes of the Lord are in every place, Beholding the evil and the good.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 4] A wholesome tongue is a tree of life: But perverseness therein is a breach in the spirit.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 5] A fool despiseth his father’s instruction: But he that regardeth reproof is prudent.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 6] In the house of the righteous is much treasure: But in the revenues of the wicked is trouble.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 7] The lips of the wise disperse knowledge: But the heart of the foolish doeth not so.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 8] The sacrifice of the wicked is an abomination to the Lord: But the prayer of the upright is his delight.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 9] The way of the wicked is an abomination unto the Lord: But he loveth him that followeth after righteousness.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 10] Correction is grievous unto him that forsaketh the way: And he that hateth reproof shall die.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 11] Hell and destruction are before the Lord: How much more then the hearts of the children of men?
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 12] A scorner loveth not one that reproveth him: Neither will he go unto the wise.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 13] A merry heart maketh a cheerful countenance: But by sorrow of the heart the spirit is broken.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 14] The heart of him that hath understanding seeketh knowledge: But the mouth of fools feedeth on foolishness.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 15] All the days of the afflicted are evil: But he that is of a merry heart hath a continual feast.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 16] Better is little with the fear of the Lord Than great treasure and trouble therewith.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 17] Better is a dinner of herbs where love is, Than a stalled ox and hatred therewith.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 18] A wrathful man stirreth up strife: But he that is slow to anger appeaseth strife.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 19] The way of the slothful man is as a hedge of thorns: But the way of the righteous is made plain.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 20] A wise son maketh a glad father: But a foolish man despiseth his mother.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 21] Folly is joy to him that is destitute of wisdom: But a man of understanding walketh uprightly.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 22] Without counsel purposes are disappointed: But in the multitude of counsellers they are established.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 23] A man hath joy by the answer of his mouth: And a word spoken in due season, how good is it!
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 24] The way of life is above to the wise, That he may depart from hell beneath.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 25] The Lord will destroy the house of the proud: But he will establish the border of the widow.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 26] The thoughts of the wicked are an abomination to the Lord: But the words of the pure are pleasant words.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 27] He that is greedy of gain troubleth his own house; But he that hateth gifts shall live.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 28] The heart of the righteous studieth to answer: But the mouth of the wicked poureth out evil things.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 29] The Lord is far from the wicked: But he heareth the prayer of the righteous.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 30] The light of the eyes rejoiceth the heart: And a good report maketh the bones fat.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 31] The ear that heareth the reproof of life Abideth among the wise.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 32] He that refuseth instruction despiseth his own soul: But he that heareth reproof getteth understanding.
[KJV | EN | OT | Proverbs | Chapter 15 | Verse 33] The fear of the Lord is the instruction of wisdom; And before honour is humility.
