[KJV | EN | OT | Proverbs | Chapter 26 | Verse 1] As snow in summer, and as rain in harvest, So honour is not seemly for a fool.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 2] As the bird by wandering, as the swallow by flying, So the curse causeless shall not come.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 3] A whip for the horse, a bridle for the ass, And a rod for the fools’ back.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 4] Answer not a fool according to his folly, Lest thou also be like unto him.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 5] Answer a fool according to his folly, Lest he be wise in his own conceit.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 6] He that sendeth a message by the hand of a fool Cutteth off the feet, and drinketh damage.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 7] The legs of the lame are not equal: So is a parable in the mouth of fools.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 8] As he that bindeth a stone in a sling, So is he that giveth honour to a fool.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 9] As a thorn goeth up into the hand of a drunkard, So is a parable in the mouth of fools.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 10] The great God that formed all things Both rewardeth the fool, and rewardeth transgressors.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 11] As a dog returneth to his vomit, So a fool returneth to his folly.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 12] Seest thou a man wise in his own conceit? There is more hope of a fool than of him.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 13] The slothful man saith, There is a lion in the way; A lion is in the streets.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 14] As the door turneth upon his hinges, So doth the slothful upon his bed.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 15] The slothful hideth his hand in his bosom; It grieveth him to bring it again to his mouth.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 16] The sluggard is wiser in his own conceit Than seven men that can render a reason.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 17] He that passeth by, and meddleth with strife belonging not to him, Is like one that taketh a dog by the ears.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 18] As a mad man who casteth firebrands, arrows, and death,
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 19] So is the man that deceiveth his neighbour, And saith, Am not I in sport?
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 20] Where no wood is, there the fire goeth out: So where there is no talebearer, the strife ceaseth.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 21] As coals are to burning coals, and wood to fire; So is a contentious man to kindle strife.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 22] The words of a talebearer are as wounds, And they go down into the innermost parts of the belly.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 23] Burning lips and a wicked heart Are like a potsherd covered with silver dross.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 24] He that hateth dissembleth with his lips, And layeth up deceit within him;
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 25] When he speaketh fair, believe him not: For there are seven abominations in his heart.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 26] Whose hatred is covered by deceit, His wickedness shall be shewed before the whole congregation.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 27] Whoso diggeth a pit shall fall therein: And he that rolleth a stone, it will return upon him.
[KJV | EN | OT | Proverbs | Chapter 26 | Verse 28] A lying tongue hateth those that are afflicted by it; And a flattering mouth worketh ruin.
