[KJV | EN | OT | Proverbs | Chapter 24 | Verse 1] Be not thou envious against evil men, Neither desire to be with them.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 2] For their heart studieth destruction, And their lips talk of mischief.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 3] Through wisdom is a house builded; And by understanding it is established:
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 4] And by knowledge shall the chambers be filled With all precious and pleasant riches.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 5] A wise man is strong; Yea, a man of knowledge increaseth strength.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 6] For by wise counsel thou shalt make thy war: And in multitude of counsellers there is safety.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 7] Wisdom is too high for a fool: He openeth not his mouth in the gate.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 8] He that deviseth to do evil Shall be called a mischievous person.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 9] The thought of foolishness is sin: And the scorner is an abomination to men.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 10] If thou faint in the day of adversity, Thy strength is small.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 11] If thou forbear to deliver them that are drawn unto death, And those that are ready to be slain;
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 12] If thou sayest, Behold, we knew it not; Doth not he that pondereth the heart consider it? And he that keepeth thy soul, doth not he know it? And shall not he render to every man according to his works?
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 13] My son, eat thou honey, because it is good; And the honeycomb, which is sweet to thy taste:
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 14] So shall the knowledge of wisdom be unto thy soul: When thou hast found it, then there shall be a reward, And thy expectation shall not be cut off.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 15] Lay not wait, O wicked man, against the dwelling of the righteous; Spoil not his resting place:
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 16] For a just man falleth seven times, and riseth up again: But the wicked shall fall into mischief.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 17] Rejoice not when thine enemy falleth, And let not thine heart be glad when he stumbleth:
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 18] Lest the Lord see it, and it displease him, And he turn away his wrath from him.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 19] Fret not thyself because of evil men, Neither be thou envious at the wicked;
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 20] For there shall be no reward to the evil man; The candle of the wicked shall be put out.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 21] My son, fear thou the Lord and the king: And meddle not with them that are given to change:
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 22] For their calamity shall rise suddenly; And who knoweth the ruin of them both?
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 23] These things also belong to the wise. It is not good to have respect of persons in judgment.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 24] He that saith unto the wicked, Thou art righteous; Him shall the people curse, nations shall abhor him:
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 25] But to them that rebuke him shall be delight, And a good blessing shall come upon them.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 26] Every man shall kiss his lips That giveth a right answer.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 27] Prepare thy work without, And make it fit for thyself in the field; And afterwards build thine house.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 28] Be not a witness against thy neighbour without cause; And deceive not with thy lips.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 29] Say not, I will do so to him as he hath done to me: I will render to the man according to his work.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 30] I went by the field of the slothful, And by the vineyard of the man void of understanding;
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 31] And lo, it was all grown over with thorns, And nettles had covered the face thereof, And the stone wall thereof was broken down.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 32] Then I saw, and considered it well: I looked upon it, and received instruction.
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 33] Yet a little sleep, a little slumber, A little folding of the hands to sleep:
[KJV | EN | OT | Proverbs | Chapter 24 | Verse 34] So shall thy poverty come as one that travelleth; And thy want as an armed man.
