[KJV | EN | OT | Proverbs | Chapter 2 | Verse 1] My son, if thou wilt receive my words, And hide my commandments with thee;
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 2] So that thou incline thine ear unto wisdom, And apply thine heart to understanding;
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 3] Yea, if thou criest after knowledge, And liftest up thy voice for understanding;
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 4] If thou seekest her as silver, And searchest for her as for hid treasures;
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 5] Then shalt thou understand the fear of the Lord, And find the knowledge of God.
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 6] For the Lord giveth wisdom: Out of his mouth cometh knowledge and understanding.
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 7] He layeth up sound wisdom for the righteous: He is a buckler to them that walk uprightly.
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 8] He keepeth the paths of judgment, And preserveth the way of his saints.
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 9] Then shalt thou understand righteousness, and judgment, And equity; yea, every good path.
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 10] When wisdom entereth into thine heart, And knowledge is pleasant unto thy soul;
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 11] Discretion shall preserve thee, Understanding shall keep thee:
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 12] To deliver thee from the way of the evil man, From the man that speaketh froward things;
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 13] Who leave the paths of uprightness, To walk in the ways of darkness;
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 14] Who rejoice to do evil, And delight in the frowardness of the wicked;
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 15] Whose ways are crooked, And they froward in their paths:
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 16] To deliver thee from the strange woman, Even from the stranger which flattereth with her words;
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 17] Which forsaketh the guide of her youth, And forgetteth the covenant of her God.
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 18] For her house inclineth unto death, And her paths unto the dead.
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 19] None that go unto her return again, Neither take they hold of the paths of life.
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 20] That thou mayest walk in the way of good men, And keep the paths of the righteous.
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 21] For the upright shall dwell in the land, And the perfect shall remain in it.
[KJV | EN | OT | Proverbs | Chapter 2 | Verse 22] But the wicked shall be cut off from the earth, And the transgressors shall be rooted out of it.
