[KJV | EN | OT | Proverbs | Chapter 18 | Verse 1] Through desire a man, having separated himself, seeketh And intermeddleth with all wisdom.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 2] A fool hath no delight in understanding, But that his heart may discover itself.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 3] When the wicked cometh, then cometh also contempt, And with ignominy reproach.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 4] The words of a man’s mouth are as deep waters, And the wellspring of wisdom as a flowing brook.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 5] It is not good to accept the person of the wicked, To overthrow the righteous in judgment.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 6] A fool’s lips enter into contention, And his mouth calleth for strokes.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 7] A fool’s mouth is his destruction, And his lips are the snare of his soul.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 8] The words of a talebearer are as wounds, And they go down into the innermost parts of the belly.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 9] He also that is slothful in his work Is brother to him that is a great waster.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 10] The name of the Lord is a strong tower: The righteous runneth into it, and is safe.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 11] The rich man’s wealth is his strong city, And as a high wall in his own conceit.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 12] Before destruction the heart of man is haughty, And before honour is humility.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 13] He that answereth a matter before he heareth it, It is folly and shame unto him.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 14] The spirit of a man will sustain his infirmity; But a wounded spirit who can bear?
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 15] The heart of the prudent getteth knowledge; And the ear of the wise seeketh knowledge.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 16] A man’s gift maketh room for him, And bringeth him before great men.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 17] He that is first in his own cause seemeth just; But his neighbour cometh and searcheth him.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 18] The lot causeth contentions to cease, And parteth between the mighty.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 19] A brother offended is harder to be won than a strong city: And their contentions are like the bars of a castle.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 20] A man’s belly shall be satisfied with the fruit of his mouth; And with the increase of his lips shall he be filled.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 21] Death and life are in the power of the tongue: And they that love it shall eat the fruit thereof.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 22] Whoso findeth a wife findeth a good thing, And obtaineth favour of the Lord.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 23] The poor useth intreaties; But the rich answereth roughly.
[KJV | EN | OT | Proverbs | Chapter 18 | Verse 24] A man that hath friends must shew himself friendly: And there is a friend that sticketh closer than a brother.
