[KJV | EN | OT | Proverbs | Chapter 1 | Verse 1] The proverbs of Solomon the son of David, king of Israel.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 2] To know wisdom and instruction; To perceive the words of understanding;
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 3] To receive the instruction of wisdom, Justice, and judgment, and equity;
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 4] To give subtilty to the simple, To the young man knowledge and discretion.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 5] A wise man will hear, and will increase learning; And a man of understanding shall attain unto wise counsels:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 6] To understand a proverb, and the interpretation; The words of the wise, and their dark sayings.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 7] The fear of the Lord is the beginning of knowledge: But fools despise wisdom and instruction.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 8] My son, hear the instruction of thy father, And forsake not the law of thy mother:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 9] For they shall be an ornament of grace unto thy head, And chains about thy neck.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 10] My son, if sinners entice thee, Consent thou not.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 11] If they say, Come with us, let us lay wait for blood, Let us lurk privily for the innocent without cause:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 12] Let us swallow them up alive as the grave; And whole, as those that go down into the pit:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 13] We shall find all precious substance, We shall fill our houses with spoil:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 14] Cast in thy lot among us; Let us all have one purse:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 15] My son, walk not thou in the way with them; Refrain thy foot from their path:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 16] For their feet run to evil, And make haste to shed blood.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 17] Surely in vain the net is spread in the sight of any bird.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 18] And they lay wait for their own blood; They lurk privily for their own lives.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 19] So are the ways of every one that is greedy of gain; Which taketh away the life of the owners thereof.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 20] Wisdom crieth without; She uttereth her voice in the streets:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 21] She crieth in the chief place of concourse, in the openings of the gates: In the city she uttereth her words, saying,
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 22] How long, ye simple ones, will ye love simplicity? And the scorners delight in their scorning, And fools hate knowledge?
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 23] Turn you at my reproof: Behold, I will pour out my spirit unto you, I will make known my words unto you.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 24] Because I have called, and ye refused; I have stretched out my hand, and no man regarded;
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 25] But ye have set at nought all my counsel, And would none of my reproof:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 26] I also will laugh at your calamity; I will mock when your fear cometh;
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 27] When your fear cometh as desolation, And your destruction cometh as a whirlwind; When distress and anguish cometh upon you:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 28] Then shall they call upon me, but I will not answer; They shall seek me early, but they shall not find me:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 29] For that they hated knowledge, And did not choose the fear of the Lord:
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 30] They would none of my counsel: They despised all my reproof.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 31] Therefore shall they eat of the fruit of their own way, And be filled with their own devices.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 32] For the turning away of the simple shall slay them, And the prosperity of fools shall destroy them.
[KJV | EN | OT | Proverbs | Chapter 1 | Verse 33] But whoso hearkeneth unto me shall dwell safely, And shall be quiet from fear of evil.
