[KJV | EN | OT | Proverbs | Chapter 7 | Verse 1] My son, keep my words, And lay up my commandments with thee.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 2] Keep my commandments, and live; And my law as the apple of thine eye.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 3] Bind them upon thy fingers, Write them upon the table of thine heart.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 4] Say unto wisdom, Thou art my sister; And call understanding thy kinswoman:
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 5] That they may keep thee from the strange woman, From the stranger which flattereth with her words.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 6] For at the window of my house I looked through my casement,
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 7] And beheld among the simple ones, I discerned among the youths, A young man void of understanding,
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 8] Passing through the street near her corner; And he went the way to her house,
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 9] In the twilight, in the evening, In the black and dark night:
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 10] And behold, there met him a woman With the attire of a harlot, and subtil of heart.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 11] (She is loud and stubborn; Her feet abide not in her house:
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 12] Now is she without, now in the streets, And lieth in wait at every corner.)
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 13] So she caught him, and kissed him, And with an impudent face said unto him,
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 14] I have peace offerings with me; This day have I payed my vows.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 15] Therefore came I forth to meet thee, Diligently to seek thy face, and I have found thee.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 16] I have deckt my bed with coverings of tapestry, With carved works, with fine linen of Egypt.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 17] I have perfumed my bed With myrrh, aloes, and cinnamon.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 18] Come, let us take our fill of love until the morning: Let us solace ourselves with loves.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 19] For the goodman is not at home, He is gone a long journey:
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 20] He hath taken a bag of money with him, And will come home at the day appointed.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 21] With her much fair speech she caused him to yield, With the flattering of her lips she forced him.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 22] He goeth after her straightway, As an ox goeth to the slaughter, Or as a fool to the correction of the stocks;
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 23] Till a dart strike through his liver; As a bird hasteth to the snare, And knoweth not that it is for his life.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 24] Hearken unto me now therefore, O ye children, And attend to the words of my mouth.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 25] Let not thine heart decline to her ways, Go not astray in her paths.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 26] For she hath cast down many wounded: Yea, many strong men have been slain by her.
[KJV | EN | OT | Proverbs | Chapter 7 | Verse 27] Her house is the way to hell, Going down to the chambers of death.
