[KJV | EN | OT | Proverbs | Chapter 28 | Verse 1] The wicked flee when no man pursueth: But the righteous are bold as a lion.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 2] For the transgression of a land many are the princes thereof: But by a man of understanding and knowledge the state thereof shall be prolonged.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 3] A poor man that oppresseth the poor Is like a sweeping rain which leaveth no food.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 4] They that forsake the law praise the wicked: But such as keep the law contend with them.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 5] Evil men understand not judgment: But they that seek the Lord understand all things.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 6] Better is the poor that walketh in his uprightness, Than he that is perverse in his ways, though he be rich.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 7] Whoso keepeth the law is a wise son: But he that is a companion of riotous men shameth his father.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 8] He that by usury and unjust gain increaseth his substance, He shall gather it for him that will pity the poor.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 9] He that turneth away his ear from hearing the law, Even his prayer shall be abomination.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 10] Whoso causeth the righteous to go astray in an evil way, He shall fall himself into his own pit: But the upright shall have good things in possession.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 11] The rich man is wise in his own conceit; But the poor that hath understanding searcheth him out.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 12] When righteous men do rejoice, there is great glory: But when the wicked rise, a man is hidden.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 13] He that covereth his sins shall not prosper: But whoso confesseth and forsaketh them shall have mercy.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 14] Happy is the man that feareth alway: But he that hardeneth his heart shall fall into mischief.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 15] As a roaring lion, and a ranging bear; So is a wicked ruler over the poor people.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 16] The prince that wanteth understanding is also a great oppressor: But he that hateth covetousness shall prolong his days.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 17] A man that doeth violence to the blood of any person Shall flee to the pit; let no man stay him.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 18] Whoso walketh uprightly shall be saved: But he that is perverse in his ways shall fall at once.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 19] He that tilleth his land shall have plenty of bread: But he that followeth after vain persons shall have poverty enough.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 20] A faithful man shall abound with blessings: But he that maketh haste to be rich shall not be innocent.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 21] To have respect of persons is not good: For for a piece of bread that man will transgress.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 22] He that hasteth to be rich hath an evil eye, And considereth not that poverty shall come upon him.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 23] He that rebuketh a man, afterwards shall find more favour Than he that flattereth with the tongue.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 24] Whoso robbeth his father or his mother, And saith, It is no transgression; The same is the companion of a destroyer.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 25] He that is of a proud heart stirreth up strife: But he that putteth his trust in the Lord shall be made fat.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 26] He that trusteth in his own heart is a fool: But whoso walketh wisely, he shall be delivered.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 27] He that giveth unto the poor shall not lack: But he that hideth his eyes shall have many a curse.
[KJV | EN | OT | Proverbs | Chapter 28 | Verse 28] When the wicked rise, men hide themselves: But when they perish, the righteous increase.
