[KJV | EN | OT | Proverbs | Chapter 20 | Verse 1] Wine is a mocker, strong drink is raging: And whosoever is deceived thereby is not wise.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 2] The fear of a king is as the roaring of a lion: Whoso provoketh him to anger sinneth against his own soul.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 3] It is an honour for a man to cease from strife: But every fool will be meddling.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 4] The sluggard will not plow by reason of the cold; Therefore shall he beg in harvest, and have nothing.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 5] Counsel in the heart of man is like deep water; But a man of understanding will draw it out.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 6] Most men will proclaim every one his own goodness: But a faithful man who can find?
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 7] The just man walketh in his integrity: His children are blessed after him.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 8] A king that sitteth in the throne of judgment Scattereth away all evil with his eyes.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 9] Who can say, I have made my heart clean, I am pure from my sin?
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 10] Divers weights, and divers measures, Both of them are alike abomination to the Lord.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 11] Even a child is known by his doings, Whether his work be pure, and whether it be right.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 12] The hearing ear, and the seeing eye, The Lord hath made even both of them.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 13] Love not sleep, lest thou come to poverty; Open thine eyes, and thou shalt be satisfied with bread.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 14] It is naught, it is naught, saith the buyer: But when he is gone his way, then he boasteth.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 15] There is gold, and a multitude of rubies: But the lips of knowledge are a precious jewel.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 16] Take his garment that is surety for a stranger: And take a pledge of him for a strange woman.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 17] Bread of deceit is sweet to a man; But afterwards his mouth shall be filled with gravel.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 18] Every purpose is established by counsel: And with good advice make war.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 19] He that goeth about as a talebearer revealeth secrets: Therefore meddle not with him that flattereth with his lips.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 20] Whoso curseth his father or his mother, His lamp shall be put out in obscure darkness.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 21] An inheritance may be gotten hastily at the beginning; But the end thereof shall not be blessed.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 22] Say not thou, I will recompense evil; But wait on the Lord, and he shall save thee.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 23] Divers weights are an abomination unto the Lord; And a false balance is not good.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 24] Man’s goings are of the Lord; How can a man then understand his own way?
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 25] It is a snare to the man who devoureth that which is holy, And after vows to make inquiry.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 26] A wise king scattereth the wicked, And bringeth the wheel over them.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 27] The spirit of man is the candle of the Lord, Searching all the inward parts of the belly.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 28] Mercy and truth preserve the king: And his throne is upholden by mercy.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 29] The glory of young men is their strength: And the beauty of old men is the gray head.
[KJV | EN | OT | Proverbs | Chapter 20 | Verse 30] The blueness of a wound cleanseth away evil: So do stripes the inward parts of the belly.
