[KJV | EN | OT | Proverbs | Chapter 3 | Verse 1] My son, forget not my law; But let thine heart keep my commandments:
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 2] For length of days, and long life, And peace, shall they add to thee.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 3] Let not mercy and truth forsake thee: Bind them about thy neck; Write them upon the table of thine heart:
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 4] So shalt thou find favour and good understanding In the sight of God and man.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 5] Trust in the Lord with all thine heart; And lean not unto thine own understanding.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 6] In all thy ways acknowledge him, And he shall direct thy paths.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 7] Be not wise in thine own eyes: Fear the Lord, and depart from evil.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 8] It shall be health to thy navel, And marrow to thy bones.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 9] Honour the Lord with thy substance, And with the firstfruits of all thine increase:
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 10] So shall thy barns be filled with plenty, And thy presses shall burst out with new wine.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 11] My son, despise not the chastening of the Lord; Neither be weary of his correction:
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 12] For whom the Lord loveth he correcteth; Even as a father the son in whom he delighteth.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 13] Happy is the man that findeth wisdom, And the man that getteth understanding.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 14] For the merchandise of it is better than the merchandise of silver, And the gain thereof than fine gold.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 15] She is more precious than rubies: And all the things thou canst desire are not to be compared unto her.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 16] Length of days is in her right hand; And in her left hand riches and honour.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 17] Her ways are ways of pleasantness, And all her paths are peace.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 18] She is a tree of life to them that lay hold upon her: And happy is every one that retaineth her.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 19] The Lord by wisdom hath founded the earth; By understanding hath he established the heavens.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 20] By his knowledge the depths are broken up, And the clouds drop down the dew.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 21] My son, let not them depart from thine eyes: Keep sound wisdom and discretion:
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 22] So shall they be life unto thy soul, And grace to thy neck.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 23] Then shalt thou walk in thy way safely, And thy foot shall not stumble.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 24] When thou liest down, thou shalt not be afraid: Yea, thou shalt lie down, and thy sleep shall be sweet.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 25] Be not afraid of sudden fear, Neither of the desolation of the wicked, when it cometh.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 26] For the Lord shall be thy confidence, And shall keep thy foot from being taken.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 27] Withhold not good from them to whom it is due, When it is in the power of thine hand to do it.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 28] Say not unto thy neighbour, Go, and come again, and to morrow I will give; When thou hast it by thee.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 29] Devise not evil against thy neighbour, Seeing he dwelleth securely by thee.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 30] Strive not with a man without cause, If he have done thee no harm.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 31] Envy thou not the oppressor, And choose none of his ways.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 32] For the froward is abomination to the Lord: But his secret is with the righteous.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 33] The curse of the Lord is in the house of the wicked: But he blesseth the habitation of the just.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 34] Surely he scorneth the scorners: But he giveth grace unto the lowly.
[KJV | EN | OT | Proverbs | Chapter 3 | Verse 35] The wise shall inherit glory: But shame shall be the promotion of fools.
