[OEB | EN | NT | Luke | Chapter 23 | Verse 1] Then they all rose in a body and led Jesus before Pilate.
[OEB | EN | NT | Luke | Chapter 23 | Verse 2] And they began to accuse him, ‘This is a man whom we found misleading our people, preventing them from paying taxes to the Emperor, and giving out that he himself is “Christ, a king.”’
[OEB | EN | NT | Luke | Chapter 23 | Verse 3] ‘Are you the king of the Jews?’ Pilate asked him. ‘It is true,’ replied Jesus.
[OEB | EN | NT | Luke | Chapter 23 | Verse 4] But Pilate, turning to the chief priests and the people, said, ‘I do not see anything to find fault with in this man.’
[OEB | EN | NT | Luke | Chapter 23 | Verse 5] But they insisted, ‘He is stirring up the people by his teaching all through Judea; he began with Galilee and has now come here.’
[OEB | EN | NT | Luke | Chapter 23 | Verse 6] Hearing this, Pilate asked if the man was a Galilean;
[OEB | EN | NT | Luke | Chapter 23 | Verse 7] and, having satisfied himself that Jesus came under Herod’s jurisdiction, he sent him to Herod, who also was at Jerusalem at the time.
[OEB | EN | NT | Luke | Chapter 23 | Verse 8] When Herod saw Jesus, he was exceedingly pleased, for he had been wanting to see him for a long time, having heard a great deal about him; and he was hoping to see some sign given by him.
[OEB | EN | NT | Luke | Chapter 23 | Verse 9] So he questioned him at some length, but Jesus made no reply.
[OEB | EN | NT | Luke | Chapter 23 | Verse 10] Meanwhile the chief priests and the teachers of the Law stood by and vehemently accused him.
[OEB | EN | NT | Luke | Chapter 23 | Verse 11] And Herod, with his soldiers, treated Jesus with scorn; he mocked him by throwing a gorgeous robe round him, and then sent him back to Pilate.
[OEB | EN | NT | Luke | Chapter 23 | Verse 12] And Herod and Pilate became friends that very day, for before that there had been ill-will between them.
[OEB | EN | NT | Luke | Chapter 23 | Verse 13] So Pilate summoned the chief priests, and the leading men, and the people,
[OEB | EN | NT | Luke | Chapter 23 | Verse 14] and said to them, ‘You brought this man before me charged with misleading the people; and yet, for my part, though I examined him before you, I did not find this man to blame for any of the things of which you accuse him;
[OEB | EN | NT | Luke | Chapter 23 | Verse 15] nor did Herod either; for he has sent him back to us. And, as a fact, he has not done anything deserving death;
[OEB | EN | NT | Luke | Chapter 23 | Verse 16] so I will have him scourged, and then release him.’
[OEB | EN | NT | Luke | Chapter 23 | Verse 18] But they began to shout as one man, ‘Kill this fellow, but release Barabbas for us.’
[OEB | EN | NT | Luke | Chapter 23 | Verse 19] (Barabbas was a man who had been put in prison for a riot that had broken out in the city and for murder.)
[OEB | EN | NT | Luke | Chapter 23 | Verse 20] Pilate, however, wanting to release Jesus, called to them again;
[OEB | EN | NT | Luke | Chapter 23 | Verse 21] but they kept calling out, ‘Crucify, crucify him!’
[OEB | EN | NT | Luke | Chapter 23 | Verse 22] ‘Why, what harm has this man done?’ Pilate said to them for the third time. ‘I have found nothing in him for which he could be condemned to death. So I will have him scourged, and then release him.’
[OEB | EN | NT | Luke | Chapter 23 | Verse 23] But they persisted in loudly demanding his crucifixion; and their clamour gained the day.
[OEB | EN | NT | Luke | Chapter 23 | Verse 24] Pilate decided that their demand should be granted.
[OEB | EN | NT | Luke | Chapter 23 | Verse 25] He released the man who had been put in prison for riot and murder, as they demanded, and gave Jesus up to be dealt with as they pleased.
[OEB | EN | NT | Luke | Chapter 23 | Verse 26] And, as they were leading Jesus away, they laid hold of Simon from Cyrene, who was on his way in from the country, and they put the cross on his shoulders, for him to carry it behind Jesus.
[OEB | EN | NT | Luke | Chapter 23 | Verse 27] There was a great crowd of people following him, many being women who were beating their breasts and wailing for him.
[OEB | EN | NT | Luke | Chapter 23 | Verse 28] So Jesus turned and said to them, ‘Women of Jerusalem, do not weep for me, but weep for yourselves and for your children.
[OEB | EN | NT | Luke | Chapter 23 | Verse 29] A time, I tell you, is coming, when it will be said – “Happy are the women who are barren, and those who have never borne children or nursed them!”
[OEB | EN | NT | Luke | Chapter 23 | Verse 30] At that time people will begin to say to the mountains “Fall on us,” and to the hills “Cover us.”
[OEB | EN | NT | Luke | Chapter 23 | Verse 31] If what you see is done while the tree is green, what will happen when it is dry?’
[OEB | EN | NT | Luke | Chapter 23 | Verse 32] There were two others also, criminals, led out to be executed with Jesus.
[OEB | EN | NT | Luke | Chapter 23 | Verse 33] When they had reached the place called “The Skull,” there they crucified Jesus and the criminals, one on the right, and one on the left.
[OEB | EN | NT | Luke | Chapter 23 | Verse 34] Then Jesus said, ‘Father, forgive them; they do not know what they are doing.’ His clothes they divided among them by casting lots.
[OEB | EN | NT | Luke | Chapter 23 | Verse 35] Meanwhile the people stood looking on. Even the leading men said with a sneer, ‘He saved others, let him save himself, if he is God’s Christ, his chosen one.’
[OEB | EN | NT | Luke | Chapter 23 | Verse 36] The soldiers, too, came up in mockery, bringing him common wine,
[OEB | EN | NT | Luke | Chapter 23 | Verse 37] and saying as they did so, ‘If you are the king of the Jews, save yourself.’
[OEB | EN | NT | Luke | Chapter 23 | Verse 38] Above him were the words – “THIS IS THE KING OF THE JEWS.”
[OEB | EN | NT | Luke | Chapter 23 | Verse 39] One of the criminals who were hanging beside Jesus railed at him. ‘Aren’t you the Christ? Save yourself and us,’ he said.
[OEB | EN | NT | Luke | Chapter 23 | Verse 40] But the other rebuked him. ‘Haven’t you,’ he said, ‘any fear of God, now that you are under the same sentence?
[OEB | EN | NT | Luke | Chapter 23 | Verse 41] And we justly so, for we are only reaping our deserts, but this man has not done anything wrong.
[OEB | EN | NT | Luke | Chapter 23 | Verse 42] Jesus,’ he went on, ‘do not forget me when you have come to your kingdom.’
[OEB | EN | NT | Luke | Chapter 23 | Verse 43] And Jesus answered, ‘I tell you, this very day you will be with me in Paradise.’
[OEB | EN | NT | Luke | Chapter 23 | Verse 44] It was nearly midday, when a darkness came over the whole country, lasting until three in the afternoon,
[OEB | EN | NT | Luke | Chapter 23 | Verse 45] the sun being eclipsed; and the Temple curtain was torn down the middle.
[OEB | EN | NT | Luke | Chapter 23 | Verse 46] Then Jesus, with a loud cry, said, ‘Father, into your hands I commit my spirit.’ And with these words he expired.
[OEB | EN | NT | Luke | Chapter 23 | Verse 47] The Roman centurion, on seeing what had happened, praised God, exclaiming, ‘This must have been a good man!’
[OEB | EN | NT | Luke | Chapter 23 | Verse 48] All the people who had collected to see the sight watched what occurred, and then went home beating their breasts.
[OEB | EN | NT | Luke | Chapter 23 | Verse 49] All the friends of Jesus had been standing at a distance, with the women who accompanied him from Galilee, watching all this.
[OEB | EN | NT | Luke | Chapter 23 | Verse 50] Now there was a man of the name of Joseph, who was a member of the Council, and who bore a good and upright character.
[OEB | EN | NT | Luke | Chapter 23 | Verse 51] (This man had not assented to the decision and action of the Council.) He belonged to Arimathea, a town in Judea, and lived in expectation of the kingdom of God.
[OEB | EN | NT | Luke | Chapter 23 | Verse 52] He now went to see Pilate, and asked for the body of Jesus;
[OEB | EN | NT | Luke | Chapter 23 | Verse 53] and, when he had taken it down, he wrapped it in a linen sheet, and laid him in a tomb cut out of stone, in which no one had yet been buried.
[OEB | EN | NT | Luke | Chapter 23 | Verse 54] It was the Preparation day, and just before the Sabbath began.
[OEB | EN | NT | Luke | Chapter 23 | Verse 55] The women who had accompanied Jesus from Galilee followed, and saw the tomb and how the body of Jesus was laid,
[OEB | EN | NT | Luke | Chapter 23 | Verse 56] and then went home, and prepared spices and perfumes. During the Sabbath they rested, as directed by the commandment.
