[OEB | EN | NT | Luke | Chapter 20 | Verse 1] On one of these days, when Jesus was teaching the people in the Temple Courts and telling the good news, the chief priests and the teachers of the Law, joined by the elders, confronted him,
[OEB | EN | NT | Luke | Chapter 20 | Verse 2] and addressing him, said, ‘Tell us what authority you have to do these things. Who is it who has given you this authority?’
[OEB | EN | NT | Luke | Chapter 20 | Verse 3] ‘I, too,’ said Jesus in reply, ‘will ask you one question. Give me an answer to it.
[OEB | EN | NT | Luke | Chapter 20 | Verse 4] It is about John’s baptism – was it of divine or of human origin?’
[OEB | EN | NT | Luke | Chapter 20 | Verse 5] But they began arguing together, ‘If we say “divine,” he will say “Why didn’t you believe him?”
[OEB | EN | NT | Luke | Chapter 20 | Verse 6] But, if we say “human,” the people will all stone us, for they are persuaded that John was a prophet.’
[OEB | EN | NT | Luke | Chapter 20 | Verse 7] So they answered that they did not know its origin.
[OEB | EN | NT | Luke | Chapter 20 | Verse 8] ‘Then I,’ said Jesus, ‘refuse to tell you what authority I have to do these things.’
[OEB | EN | NT | Luke | Chapter 20 | Verse 9] But Jesus began to tell the people this parable – ‘A man once planted a vineyard, and then let it out to tenants, and went abroad for a long while.
[OEB | EN | NT | Luke | Chapter 20 | Verse 10] At the proper time he sent a servant to the tenants, so that they could give him a share of the produce of the vineyard. The tenants, however, beat him and sent him away empty-handed.
[OEB | EN | NT | Luke | Chapter 20 | Verse 11] The owner afterwards sent another servant; but the tenants beat and insulted this man too, and sent him away empty-handed.
[OEB | EN | NT | Luke | Chapter 20 | Verse 12] He sent a third; but they wounded this man also, and threw him outside.
[OEB | EN | NT | Luke | Chapter 20 | Verse 13] “What should I do?” said the owner of the vineyard. “I will send my son, who is very dear to me. Perhaps they will respect him.”
[OEB | EN | NT | Luke | Chapter 20 | Verse 14] But, on seeing him, the tenants consulted with one another. “Here is the heir!” they said. “Let us kill him, and then the inheritance will become ours.”
[OEB | EN | NT | Luke | Chapter 20 | Verse 15] So they threw him outside the vineyard and killed him. Now what will the owner of the vineyard do to them?
[OEB | EN | NT | Luke | Chapter 20 | Verse 16] He will come and put those tenants to death, and will let the vineyard to others.’ ‘Heaven forbid!’ they exclaimed when they heard it.
[OEB | EN | NT | Luke | Chapter 20 | Verse 17] But Jesus looked at them and said, ‘What then is the meaning of this passage? – “The stone which the builders despised has now itself become the cornerstone.”
[OEB | EN | NT | Luke | Chapter 20 | Verse 18] Everyone who falls on that stone will be dashed to pieces, while anyone on whom it falls – it will scatter him as dust.’
[OEB | EN | NT | Luke | Chapter 20 | Verse 19] After this the teachers of the Law and the chief priest were eager to lay hands on Jesus then and there, but they were afraid of the people; for they saw that it was at them that he had aimed this parable.
[OEB | EN | NT | Luke | Chapter 20 | Verse 20] Having watched their opportunity, they afterwards sent some spies, who pretended to be good men, to catch Jesus in the course of conversation, and so enable them to give him up to the Governor’s jurisdiction and authority.
[OEB | EN | NT | Luke | Chapter 20 | Verse 21] These spies asked Jesus a question. They said, ‘Teacher, we know that you are right in what you say and teach, and that you do not take any account of a person’s position, but teach the way of God honestly;
[OEB | EN | NT | Luke | Chapter 20 | Verse 22] are we right in paying tribute to the Emperor or not?’
[OEB | EN | NT | Luke | Chapter 20 | Verse 23] Seeing through their deceitfulness, Jesus said to them,
[OEB | EN | NT | Luke | Chapter 20 | Verse 24] ‘Show me a coin. Whose head and title are on it?’
[OEB | EN | NT | Luke | Chapter 20 | Verse 25] ‘The Emperor’s,’ they said; and Jesus replied, ‘Well then, pay to the Emperor what belongs to the Emperor, and to God what belongs to God.’
[OEB | EN | NT | Luke | Chapter 20 | Verse 26] They could not object to this answer before the people; and, in their wonder at his reply, they held their tongues.
[OEB | EN | NT | Luke | Chapter 20 | Verse 27] Presently there came up some Sadducees, who maintain that there is no resurrection. Their question was this –
[OEB | EN | NT | Luke | Chapter 20 | Verse 28] ‘Teacher, Moses laid down for us in his writings that – “Should a man’s married brother die, and should he be childless, the man should take the widow as his wife, and raise up a family for his brother.”
[OEB | EN | NT | Luke | Chapter 20 | Verse 29] Well, there were once seven brothers; of whom the eldest, after taking a wife, died childless.
[OEB | EN | NT | Luke | Chapter 20 | Verse 30] The second and third brothers both took her as their wife;
[OEB | EN | NT | Luke | Chapter 20 | Verse 31] and so, too, did all seven – dying without children.
[OEB | EN | NT | Luke | Chapter 20 | Verse 32] The woman herself was the last to die.
[OEB | EN | NT | Luke | Chapter 20 | Verse 33] About the woman, then – at the resurrection, whose wife is she to be, all seven brothers having had her as their wife?’
[OEB | EN | NT | Luke | Chapter 20 | Verse 34] ‘The men and women of this world,’ said Jesus, ‘marry and are given in marriage;
[OEB | EN | NT | Luke | Chapter 20 | Verse 35] but, for those who are thought worthy to attain to that other world and the resurrection from the dead, there is no marrying or being married,
[OEB | EN | NT | Luke | Chapter 20 | Verse 36] nor indeed can they die again, for they are like angels and, having shared in the resurrection, they are God’s children.
[OEB | EN | NT | Luke | Chapter 20 | Verse 37] As to the fact that the dead rise, even Moses indicated that, in the passage about the Bush, when he calls the Lord – “The God of Abraham, and the God of Isaac, and the God of Jacob.”
[OEB | EN | NT | Luke | Chapter 20 | Verse 38] Now he is not God of dead people, but of living. For in his sight all are alive.’
[OEB | EN | NT | Luke | Chapter 20 | Verse 39] ‘Well said, teacher!’ exclaimed some of the teachers of the Law,
[OEB | EN | NT | Luke | Chapter 20 | Verse 40] for they did not venture to question him any further.
[OEB | EN | NT | Luke | Chapter 20 | Verse 41] But Jesus said to them, ‘How is it that people say that the Christ is to be David’s son?
[OEB | EN | NT | Luke | Chapter 20 | Verse 42] For David, in the book of Psalms, says himself – “The Lord said to my lord: Sit at my right hand,
[OEB | EN | NT | Luke | Chapter 20 | Verse 43] until I put your enemies as a stool for your feet.”
[OEB | EN | NT | Luke | Chapter 20 | Verse 44] David, then, calls him “lord,” so how is he David’s son?’
[OEB | EN | NT | Luke | Chapter 20 | Verse 45] While all the people were listening, Jesus said to the disciples,
[OEB | EN | NT | Luke | Chapter 20 | Verse 46] ‘Be on your guard against the teachers of the Law, who delight to walk about in long robes, and like to be greeted in the streets with respect, and to have the best seats in the synagogues, and places of honour at dinner.
[OEB | EN | NT | Luke | Chapter 20 | Verse 47] These are the men who rob widows of their houses, and make a pretence of saying long prayers. Their sentence will be all the heavier.’
