[OEB | EN | NT | Luke | Chapter 18 | Verse 1] Jesus told his disciples a parable to show them that they should always pray and never despair.
[OEB | EN | NT | Luke | Chapter 18 | Verse 2] ‘There was,’ he said, ‘in a certain town a judge, who had no fear of God nor regard for people.
[OEB | EN | NT | Luke | Chapter 18 | Verse 3] In the same town there was a widow who went to him again and again, and said “Grant me justice against my opponent.”
[OEB | EN | NT | Luke | Chapter 18 | Verse 4] For a time the judge refused, but afterwards he said to himself “Although I am without fear of God or regard for people,
[OEB | EN | NT | Luke | Chapter 18 | Verse 5] yet, as this widow is so troublesome, I will grant her justice, to stop her from plaguing me with her endless visits.”’
[OEB | EN | NT | Luke | Chapter 18 | Verse 6] Then the Master added, ‘Listen to what this iniquitous judge says!
[OEB | EN | NT | Luke | Chapter 18 | Verse 7] And God – won’t he see that his own people, who cry to him night and day, have justice done them – though he holds his hand?
[OEB | EN | NT | Luke | Chapter 18 | Verse 8] He will, I tell you, give them justice soon enough! Yet, when the Son of Man comes, will he find faith on earth?’
[OEB | EN | NT | Luke | Chapter 18 | Verse 9] Another time, speaking to people who were satisfied that they were religious, and who regarded everyone else with scorn, Jesus told this parable –
[OEB | EN | NT | Luke | Chapter 18 | Verse 10] ‘Two men went up into the Temple Courts to pray. One was a Pharisee and the other a tax-gatherer.
[OEB | EN | NT | Luke | Chapter 18 | Verse 11] The Pharisee stood forward and began praying to himself in this way – “God, I thank you that I am not like other men – thieves, rogues, adulterers – or even like this tax-gatherer.
[OEB | EN | NT | Luke | Chapter 18 | Verse 12] I fast twice a week, and give a tenth of everything I get to God.”
[OEB | EN | NT | Luke | Chapter 18 | Verse 13] Meanwhile the tax-gatherer stood at a distance, not venturing even to raise his eyes to heaven, but he kept striking his breast and saying “God, have mercy on me, a sinner.”
[OEB | EN | NT | Luke | Chapter 18 | Verse 14] This man, I tell you, went home pardoned, rather than the other. For everyone who exalts himself will be humbled, while everyone who humbles himself will be exalted.’
[OEB | EN | NT | Luke | Chapter 18 | Verse 15] Some of the people were bringing even their babies to Jesus, for him to touch them; but, when the disciples saw it, they began to find fault with those who had brought them.
[OEB | EN | NT | Luke | Chapter 18 | Verse 16] Jesus, however, called the little children to him. ‘Let the little children come to me,’ he said, ‘and do not hinder them, for it is to the childlike that the kingdom of God belongs.
[OEB | EN | NT | Luke | Chapter 18 | Verse 17] I tell you, unless a man receives the kingdom of God like a child, he will not enter it at all.’
[OEB | EN | NT | Luke | Chapter 18 | Verse 18] And one of the leaders asked Jesus this question – ‘Good teacher, what must I do if I am to gain eternal life?’
[OEB | EN | NT | Luke | Chapter 18 | Verse 19] ‘Why do you call me good?’ answered Jesus. ‘No one is good but God.
[OEB | EN | NT | Luke | Chapter 18 | Verse 20] You know the commandments – Do not commit adultery, Do not kill, Do not steal, Do not say what is false about others, Honour your father and your mother.’
[OEB | EN | NT | Luke | Chapter 18 | Verse 21] ‘I have observed all these,’ he replied, ‘from childhood.’
[OEB | EN | NT | Luke | Chapter 18 | Verse 22] Hearing this, Jesus said to him, ‘There is one thing still lacking in you; sell everything that you have, and distribute to the poor, and you will have wealth in heaven; then come and follow me.’
[OEB | EN | NT | Luke | Chapter 18 | Verse 23] But the man became greatly distressed on hearing this, for he was extremely rich.
[OEB | EN | NT | Luke | Chapter 18 | Verse 24] Seeing this, Jesus said to his disciples, ‘How hard it is for the wealthy to enter the kingdom of God!
[OEB | EN | NT | Luke | Chapter 18 | Verse 25] It is easier, indeed, for a camel to get through a needle’s eye than for a rich person to enter the kingdom of God!’
[OEB | EN | NT | Luke | Chapter 18 | Verse 26] ‘Then who can be saved?’ asked those who heard this.
[OEB | EN | NT | Luke | Chapter 18 | Verse 27] But Jesus said, ‘What is impossible with people is possible with God.’
[OEB | EN | NT | Luke | Chapter 18 | Verse 28] ‘But we,’ said Peter, ‘we left what belonged to us and followed you.’
