[OEB | EN | NT | Luke | Chapter 1 | Verse 1] To his Excellency, Theophilus. Many attempts have been already made to draw up an account of those events which have reached their conclusion among us,
[OEB | EN | NT | Luke | Chapter 1 | Verse 2] just as they were reported to us by those who from the beginning were eye-witnesses, and afterwards became bearers of the message.
[OEB | EN | NT | Luke | Chapter 1 | Verse 3] And, therefore, I also, since I have investigated all these events with great care from their very beginning, have resolved to write a connected history of them for you,
[OEB | EN | NT | Luke | Chapter 1 | Verse 4] in order that you may be able to satisfy yourself of the accuracy of the story which you have heard from the lips of others.
[OEB | EN | NT | Luke | Chapter 1 | Verse 5] In the reign of Herod, king of Judea, there was a priest named Zechariah, who belonged to the division called after Abijah. His wife, whose name was Elizabeth, was also a descendant of Aaron.
[OEB | EN | NT | Luke | Chapter 1 | Verse 6] They were both righteous people, who lived blameless lives, guiding their steps by all the commandments and ordinances of the Lord.
[OEB | EN | NT | Luke | Chapter 1 | Verse 7] But they had no child, Elizabeth being barren; and both of them were advanced in years.
[OEB | EN | NT | Luke | Chapter 1 | Verse 8] One day, when Zechariah was officiating as priest before God, during the turn of his division,
[OEB | EN | NT | Luke | Chapter 1 | Verse 9] it fell to him by lot, in accordance with the practice among the priests, to go into the Temple of the Lord and burn incense;
[OEB | EN | NT | Luke | Chapter 1 | Verse 10] and, as it was the Hour of Incense, the people were all praying outside.
[OEB | EN | NT | Luke | Chapter 1 | Verse 11] And an angel of the Lord appeared to him, standing on the right of the Altar of Incense.
[OEB | EN | NT | Luke | Chapter 1 | Verse 12] Zechariah was startled at the sight and was awe-struck.
[OEB | EN | NT | Luke | Chapter 1 | Verse 13] But the angel said to him, ‘Do not be afraid, Zechariah; your prayer has been heard, and your wife Elizabeth will bear you a son, whom you will call by the name John.
[OEB | EN | NT | Luke | Chapter 1 | Verse 14] He will be to you a joy and a delight; and many will rejoice over his birth.
[OEB | EN | NT | Luke | Chapter 1 | Verse 15] For he will be great in the sight of the Lord; he will not drink any wine or strong drink, and he will be filled with the Holy Spirit from the very hour of his birth,
[OEB | EN | NT | Luke | Chapter 1 | Verse 16] and will reconcile many of the Israelites to the Lord their God.
[OEB | EN | NT | Luke | Chapter 1 | Verse 17] He will go before him in the spirit and with the power of Elijah, to reconcile fathers to their children and the disobedient to the wisdom of the righteous, and so make ready for the Lord a people prepared for him.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 18] ‘How can I be sure of this?’ Zechariah asked the angel. ‘For I am an old man and my wife is advanced in years.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 19] ‘I am Gabriel,’ the angel answered, ‘who stand in the presence of God, and I have been sent to speak to you and to bring you this good news.
[OEB | EN | NT | Luke | Chapter 1 | Verse 20] And now you will be silent and unable to speak until the day when this takes place, because you did not believe what I said, though my words will be fulfilled in due course.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 21] Meanwhile the people were watching for Zechariah, wondering at his remaining so long in the Temple.
[OEB | EN | NT | Luke | Chapter 1 | Verse 22] When he came out, he was unable to speak to them, and they perceived that he had seen a vision there. But Zechariah kept making signs to them, and remained dumb.
[OEB | EN | NT | Luke | Chapter 1 | Verse 23] And, as soon as his term of service was finished, he returned home.
[OEB | EN | NT | Luke | Chapter 1 | Verse 24] After this his wife, Elizabeth, became pregnant and lived in seclusion for five months.
[OEB | EN | NT | Luke | Chapter 1 | Verse 25] ‘The Lord has done this for me,’ she said, ‘he has shown me kindness and taken away the public disgrace of childlessness under which I have been living.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 26] Six months later the angel Gabriel was sent from God to a town in Galilee called Nazareth,
[OEB | EN | NT | Luke | Chapter 1 | Verse 27] to a maiden there who was engaged to a man named Joseph, a descendant of David. Her name was Mary.
[OEB | EN | NT | Luke | Chapter 1 | Verse 28] Gabriel came into her presence and greeted her, saying, ‘You have been shown great favour – the Lord is with you.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 29] Mary was much disturbed at his words, and was wondering to herself what such a greeting could mean,
[OEB | EN | NT | Luke | Chapter 1 | Verse 30] when the angel spoke again, ‘Do not be afraid, Mary, for you have found favour with God.
[OEB | EN | NT | Luke | Chapter 1 | Verse 31] And now, you will conceive and give birth to a son, and you will give him the name Jesus.
[OEB | EN | NT | Luke | Chapter 1 | Verse 32] The child will be great and will be called “Son of the Most High,” and the Lord God will give him the throne of his ancestor David,
[OEB | EN | NT | Luke | Chapter 1 | Verse 33] and he will reign over the descendants of Jacob for ever; And to his kingdom there will be no end.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 34] ‘How can this be?’ Mary asked the angel. ‘For I have no husband.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 35] ‘The Holy Spirit will descend on you,’ answered the angel, ‘and the Power of the Most High will overshadow you; and therefore the child will be called “holy,” and “Son of God.”
[OEB | EN | NT | Luke | Chapter 1 | Verse 36] And Elizabeth, your cousin, is herself also expecting a son in her old age; and it is now the sixth month with her, though she is called barren;
[OEB | EN | NT | Luke | Chapter 1 | Verse 37] for no promise from God will fail to be fulfilled.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 38] ‘I am the servant of the Lord,’ exclaimed Mary. ‘Let it be with me as you have said.’ Then the angel left her.
[OEB | EN | NT | Luke | Chapter 1 | Verse 39] Soon after this Mary set out, and made her way quickly into the hill-country, to a town in Judah;
[OEB | EN | NT | Luke | Chapter 1 | Verse 40] and there she went into Zechariah’s house and greeted Elizabeth.
[OEB | EN | NT | Luke | Chapter 1 | Verse 41] When Elizabeth heard Mary’s greeting, the child moved within her, and Elizabeth herself was filled with the Holy Spirit,
[OEB | EN | NT | Luke | Chapter 1 | Verse 42] and cried aloud, ‘Blessed are you among women, and blessed is your unborn child!
[OEB | EN | NT | Luke | Chapter 1 | Verse 43] But how have I this honour, that the mother of my Lord should come to me?
[OEB | EN | NT | Luke | Chapter 1 | Verse 44] For, as soon as your greeting reached my ears, the child moved within me with delight!
[OEB | EN | NT | Luke | Chapter 1 | Verse 45] Happy indeed is she who believed that the promise which she received from the Lord would be fulfilled.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 46] And Mary said: ‘My soul exalts the Lord,
[OEB | EN | NT | Luke | Chapter 1 | Verse 47] and my spirit delights in God my Saviour,
[OEB | EN | NT | Luke | Chapter 1 | Verse 48] for he has looked with favour on his humble servant girl. From now on all generations will call me blessed!
[OEB | EN | NT | Luke | Chapter 1 | Verse 49] ‘For the Almighty has done great things for me, and holy is his name.
[OEB | EN | NT | Luke | Chapter 1 | Verse 50] He has mercy on those who revere him in every generation.
