[OEB | EN | NT | Luke | Chapter 11 | Verse 1] One day Jesus was at a certain place praying, and, when he had finished, one of his disciples said to him, ‘Master, teach us to pray, as John taught his disciples.’
[OEB | EN | NT | Luke | Chapter 11 | Verse 2] ‘When you pray,’ Jesus answered, ‘say – “Father, may your name be held holy, your kingdom come.
[OEB | EN | NT | Luke | Chapter 11 | Verse 3] Give us each day the bread that we will need;
[OEB | EN | NT | Luke | Chapter 11 | Verse 4] and forgive us our sins, for we ourselves forgive everyone who wrongs us; and take us not into temptation.”’
[OEB | EN | NT | Luke | Chapter 11 | Verse 5] Jesus also said to them, ‘Suppose that one of you who has a friend were to go to him in the middle of the night and say “Friend, lend me three loaves,
[OEB | EN | NT | Luke | Chapter 11 | Verse 6] for a friend of mine has arrived at my house after a journey, and I have nothing to offer him;”
[OEB | EN | NT | Luke | Chapter 11 | Verse 7] And suppose that the other should answer from inside “Do not trouble me; the door is already fastened, and my children and I are in bed; I cannot get up and give you anything”;
[OEB | EN | NT | Luke | Chapter 11 | Verse 8] I tell you that, even though he will not get up and give him anything because he is a friend, yet because of his persistence he will rouse himself and give him what he wants.
[OEB | EN | NT | Luke | Chapter 11 | Verse 9] ‘And so I say to you – Ask, and your prayer will be granted, search, and you will find; knock, and the door will be opened to you.
[OEB | EN | NT | Luke | Chapter 11 | Verse 10] For the person who asks receives, everyone who searches finds, and to the person who knocks the door will be opened.
[OEB | EN | NT | Luke | Chapter 11 | Verse 11] What father among you, if his son asks him for a fish, will give him a snake instead,
[OEB | EN | NT | Luke | Chapter 11 | Verse 12] or, if he asks for an egg, will give him a scorpion?
[OEB | EN | NT | Luke | Chapter 11 | Verse 13] If you, then, naturally wicked though you are, know how to give good gifts to your children, how much more will the Father in heaven give the Holy Spirit to those who ask him!’
[OEB | EN | NT | Luke | Chapter 11 | Verse 14] Once Jesus was driving out a mute demon, and, when the demon had gone out, the mute man spoke. The people were amazed at this;
[OEB | EN | NT | Luke | Chapter 11 | Verse 15] but some of them said, ‘He drives out demons by the help of Beelzebul, the chief of the demons’;
[OEB | EN | NT | Luke | Chapter 11 | Verse 16] while others, to test him, asked him for some sign from the heavens.
[OEB | EN | NT | Luke | Chapter 11 | Verse 17] Jesus himself, however, was aware of what they were thinking, and said to them, ‘Any kingdom wholly divided against itself becomes a desolation; and a divided house falls.
[OEB | EN | NT | Luke | Chapter 11 | Verse 18] So, too, if Satan is wholly divided against himself, how can his kingdom last? Yet you say that I drive out demons by the help of Beelzebul.
[OEB | EN | NT | Luke | Chapter 11 | Verse 19] But, if it is by Beelzebul’s help that I drive out demons, by whose help is it that your own sons drive them out? Therefore they will themselves be your judges.
[OEB | EN | NT | Luke | Chapter 11 | Verse 20] But, if it is by the hand of God that I drive out demons, then the kingdom of God must already be upon you.
[OEB | EN | NT | Luke | Chapter 11 | Verse 21] When a strong man is keeping guard, fully armed, over his own mansion, his property is in safety;
[OEB | EN | NT | Luke | Chapter 11 | Verse 22] but, when one still stronger has attacked and overpowered him, he takes away all the weapons on which the other had relied, and divides his spoil.
[OEB | EN | NT | Luke | Chapter 11 | Verse 23] Whoever is not with me is against me, and the person who does not help me to gather is scattering.
[OEB | EN | NT | Luke | Chapter 11 | Verse 24] No sooner does a foul spirit leave someone, than it passes through places where there is no water, in search of rest; and finding none, it says “I will go back to the home which I left”;
[OEB | EN | NT | Luke | Chapter 11 | Verse 25] but, on coming there, it finds it unoccupied, swept, and put in order.
[OEB | EN | NT | Luke | Chapter 11 | Verse 26] Then it goes and brings with it seven other spirits more wicked than itself, and they go in, and make their home there; and the last state of that person proves to be worse than the first.’
[OEB | EN | NT | Luke | Chapter 11 | Verse 27] As Jesus was saying this, a woman in the crowd, raising her voice, exclaimed, ‘Happy was the mother who bore you and nursed you!’
[OEB | EN | NT | Luke | Chapter 11 | Verse 28] But Jesus replied, ‘Rather, happy are those who listen to God’s message and keep it.’
[OEB | EN | NT | Luke | Chapter 11 | Verse 29] As the crowds increased, Jesus began to speak, ‘This generation is a wicked generation. It is asking a sign, but no sign will be given it except the sign of Jonah.
[OEB | EN | NT | Luke | Chapter 11 | Verse 30] For, as Jonah became a sign to the people of Nineveh, so will the Son of Man be to this generation.
[OEB | EN | NT | Luke | Chapter 11 | Verse 31] At the judgment the Queen of the South will rise up with the people of this generation, and will condemn them, because she came from the ends of the earth to listen to the wisdom of Solomon; and here is more than a Solomon!
[OEB | EN | NT | Luke | Chapter 11 | Verse 32] At the judgment the men of Nineveh will stand up with this generation, and will condemn it, because they repented at Jonah’s proclamation; and here is more than a Jonah!
[OEB | EN | NT | Luke | Chapter 11 | Verse 33] No one lights a lamp, and then puts it in the cellar or under a basket, but he puts it on the lamp-stand, so that anyone who comes in may see the light.
[OEB | EN | NT | Luke | Chapter 11 | Verse 34] The lamp of the body is your eye. When your eye is unclouded, your whole body, also, is lit up; but, as soon as your eye is diseased, your body, also, is darkened.
[OEB | EN | NT | Luke | Chapter 11 | Verse 35] Take care, therefore, that the inner light is not darkness.
[OEB | EN | NT | Luke | Chapter 11 | Verse 36] If, then, your whole body is lit up, and no corner of it darkened, the whole will be lit up, just as when a lamp gives you light by its brilliance.’
[OEB | EN | NT | Luke | Chapter 11 | Verse 37] As Jesus finished speaking, a Pharisee asked him to breakfast with him, and Jesus went in and took his place at the table.
[OEB | EN | NT | Luke | Chapter 11 | Verse 38] The Pharisee noticed, to his astonishment, that Jesus omitted the ceremonial washing before breakfast.
[OEB | EN | NT | Luke | Chapter 11 | Verse 39] But the Master said to him, ‘You Pharisees do, it is true, clean the outside of the cup and of the plate, but inside you yourselves are filled with greed and wickedness.
[OEB | EN | NT | Luke | Chapter 11 | Verse 40] Fools! Did not the maker of the outside make the inside too?
[OEB | EN | NT | Luke | Chapter 11 | Verse 41] Only give away what is in them in charity, and at once you have the whole clean.
[OEB | EN | NT | Luke | Chapter 11 | Verse 42] But alas for you Pharisees! You pay tithes on mint, rue, and herbs of all kinds, and pass over justice and love to God. These last you ought to have put into practice without neglecting the first.
[OEB | EN | NT | Luke | Chapter 11 | Verse 43] Alas for you Pharisees! You delight to have the front seat in the synagogues, and to be greeted in the markets with respect.
[OEB | EN | NT | Luke | Chapter 11 | Verse 44] Alas for you! You are like unsuspected graves, over which men walk unawares.’
[OEB | EN | NT | Luke | Chapter 11 | Verse 45] Here one of the students of the Law interrupted him by saying, ‘Teacher, when you say this, you are insulting us also.’
[OEB | EN | NT | Luke | Chapter 11 | Verse 46] But Jesus went on, ‘Alas for you, too, you students of the Law! You load people with loads that are too heavy to carry, but do not, yourselves, touch them with one of your fingers.
[OEB | EN | NT | Luke | Chapter 11 | Verse 47] Alas for you! You build the monuments of the prophets whom your ancestors killed.
[OEB | EN | NT | Luke | Chapter 11 | Verse 48] You are actually witnesses to your ancestors’ acts and show your approval of them, because, while they killed the prophets, you build tombs for them.
[OEB | EN | NT | Luke | Chapter 11 | Verse 49] That is why the wisdom of God said – “I will send to them prophets and apostles,
[OEB | EN | NT | Luke | Chapter 11 | Verse 50] some of whom they will persecute and kill, in order that the blood of all the prophets that has been spilt since the creation of the world may be exacted from this generation –
[OEB | EN | NT | Luke | Chapter 11 | Verse 51] from the blood of Abel down to the blood of Zechariah, who was slain between the altar and the house of God.” Yes, I tell you, it will be exacted from this generation.
[OEB | EN | NT | Luke | Chapter 11 | Verse 52] Alas for you students of the Law! You have taken away the key of the door of knowledge. You have not gone in yourselves and you have hindered those who try to go in.’
[OEB | EN | NT | Luke | Chapter 11 | Verse 53] When Jesus left the house, the teachers of the Law and the Pharisees began to press him hard and question him closely on many subjects,
[OEB | EN | NT | Luke | Chapter 11 | Verse 54] laying traps for him, so as to seize on anything that he might say.
