[OEB | EN | NT | Luke | Chapter 10 | Verse 1] After this, the Master appointed seventy-two other disciples, and sent them on as his messengers, two and two, in advance, to every town and place that he was himself intending to visit.
[OEB | EN | NT | Luke | Chapter 10 | Verse 2] ‘The harvest,’ he said, ‘is abundant, but the labourers are few. Therefore pray to the owner of the harvest to send labourers to gather in his harvest.
[OEB | EN | NT | Luke | Chapter 10 | Verse 3] Now, go. Remember, I am sending you out as my messengers like lambs among wolves.
[OEB | EN | NT | Luke | Chapter 10 | Verse 4] Do not take a purse with you, or a bag, or sandals; and do not stop to greet anyone on your journey.
[OEB | EN | NT | Luke | Chapter 10 | Verse 5] Whatever house you go to stay at, begin by praying for a blessing on it.
[OEB | EN | NT | Luke | Chapter 10 | Verse 6] Then, if anyone there is deserving of a blessing, your blessing will rest on him; but if not, it will come back on yourselves.
[OEB | EN | NT | Luke | Chapter 10 | Verse 7] Remain at that same house, and eat and drink whatever they offer you; for the worker is worth their wages. Do not keep changing from one house to another.
[OEB | EN | NT | Luke | Chapter 10 | Verse 8] Whatever town you visit, if the people welcome you, eat what is set before you;
[OEB | EN | NT | Luke | Chapter 10 | Verse 9] cure the sick there, and tell people that the kingdom of God is close at hand.
[OEB | EN | NT | Luke | Chapter 10 | Verse 10] But, whatever town you go to visit, if the people do not welcome you, go out into its streets and say
[OEB | EN | NT | Luke | Chapter 10 | Verse 11] “We wipe off the dust of your town which has clung to Our feet; still, be assured that the kingdom of God is close at Hand.”
[OEB | EN | NT | Luke | Chapter 10 | Verse 12] I tell you that the doom of Sodom will be more bearable on that day than the doom of that town.
[OEB | EN | NT | Luke | Chapter 10 | Verse 13] Alas for you, Chorazin! Alas for you, Bethsaida! For, if the miracles which have been done in you had been done in Tyre and Sidon, they would have sat in sackcloth and ashes and repented long ago.
[OEB | EN | NT | Luke | Chapter 10 | Verse 14] Yet the doom of Tyre and Sidon will be more bearable at the judgment than yours.
[OEB | EN | NT | Luke | Chapter 10 | Verse 15] And you, Capernaum! Will you exalt yourself to heaven? You will be flung down to Hades.
[OEB | EN | NT | Luke | Chapter 10 | Verse 16] Anyone who listens to you is listening to me, and anyone who rejects you is rejecting me; while the person who rejects me is rejecting him who sent me as his messenger.’
[OEB | EN | NT | Luke | Chapter 10 | Verse 17] When the seventy-two returned, they exclaimed joyfully, ‘Master, even the demons submit to us when we use your name.’
[OEB | EN | NT | Luke | Chapter 10 | Verse 18] And Jesus replied, ‘I have had visions of Satan, fallen, like lightning from the heavens.
[OEB | EN | NT | Luke | Chapter 10 | Verse 19] Remember, I have given you the power to trample on snakes and scorpions, and to meet all the strength of the Enemy. Nothing will ever harm you in any way.
[OEB | EN | NT | Luke | Chapter 10 | Verse 20] Yet do not rejoice in the fact that the spirits submit to you, but rejoice that your names have been enrolled in heaven.’
[OEB | EN | NT | Luke | Chapter 10 | Verse 21] At that same time, moved to exultation by the Holy Spirit, Jesus said: ‘I thank you, Father, Lord of heaven and earth, that, though you have hidden these things from the wise and learned, you have revealed them to the childlike! Yes, Father, I thank you that this has seemed good to you.
[OEB | EN | NT | Luke | Chapter 10 | Verse 22] Everything has been committed to me by my Father; nor does anyone know who the Son is, except the Father, or who the Father is, except the Son and those to whom the Son may choose to reveal him.’
[OEB | EN | NT | Luke | Chapter 10 | Verse 23] Then, turning to his disciples, Jesus said to them alone, ‘Blessed are the eyes that see what you are seeing;
[OEB | EN | NT | Luke | Chapter 10 | Verse 24] for, I tell you, many prophets and kings wished for the sight of the things which you are seeing, yet never heard them.’
