[OEB | EN | NT | Luke | Chapter 8 | Verse 1] Shortly afterwards, Jesus went on a journey through the towns and villages, proclaiming the good news of the kingdom of God. With him went the Twelve,
[OEB | EN | NT | Luke | Chapter 8 | Verse 2] as well as some women who had been cured of wicked spirits and of infirmities. They were Mary, known as Mary of Magdala (from whom seven demons had been expelled),
[OEB | EN | NT | Luke | Chapter 8 | Verse 3] and Joanna (the wife of Herod’s steward, Chuza), and Susannah, and many others – all of whom provided for Jesus and his apostles out of their own resources.
[OEB | EN | NT | Luke | Chapter 8 | Verse 4] Once, when a great crowd was collecting, and, when the people of town after town were flocking to Jesus, he spoke to them in the form of a parable,
[OEB | EN | NT | Luke | Chapter 8 | Verse 5] ‘The sower went out to sow his seed; and, as he was sowing, some of the seed fell along the path and was trodden on; and the wild birds ate it up.
[OEB | EN | NT | Luke | Chapter 8 | Verse 6] Other seed fell on rock, and, as soon as it began to grow, because it had no moisture, it withered away.
[OEB | EN | NT | Luke | Chapter 8 | Verse 7] Other seed fell in the middle of brambles, but the brambles grew up with it and choked it entirely.
[OEB | EN | NT | Luke | Chapter 8 | Verse 8] Other seed fell into rich soil, and grew, and gave a hundredfold return.’ After saying this, Jesus cried aloud, ‘Let those who have ears to hear with hear.’
[OEB | EN | NT | Luke | Chapter 8 | Verse 9] His disciples asked Jesus the meaning of this parable.
[OEB | EN | NT | Luke | Chapter 8 | Verse 10] ‘To you,’ he said, ‘the knowledge of the hidden truths of the kingdom of God has been imparted, but to others in parables only, so that though they have eyes they may not see, and though they have ears, they may not understand.
[OEB | EN | NT | Luke | Chapter 8 | Verse 11] This is the parable – The seed is God’s message.
[OEB | EN | NT | Luke | Chapter 8 | Verse 12] By the seed which fell along the path are meant those who hear the message; but then comes the devil and carries away the message from their minds, to prevent their believing it and being saved.
[OEB | EN | NT | Luke | Chapter 8 | Verse 13] By the seed which fell on the rock are meant those who, as soon as they hear the message, welcome it joyfully; but they have no root, and believe it only for a time, and, when the time of temptation comes, they draw back.
[OEB | EN | NT | Luke | Chapter 8 | Verse 14] By that which fell among the brambles are meant those who hear the message, but who, as they go on their way, are completely choked by this world’s cares and wealth and pleasures, and bring nothing to perfection.
[OEB | EN | NT | Luke | Chapter 8 | Verse 15] But by that in the good ground are meant those who, having heard the message, keep it in the good, rich soil of their hearts, and patiently yield a return.
[OEB | EN | NT | Luke | Chapter 8 | Verse 16] ‘No one sets light to a lamp and then covers it with a bowl or puts it underneath a couch, but they put it on a lamp-stand, so that anyone who comes in may see the light.
[OEB | EN | NT | Luke | Chapter 8 | Verse 17] Nothing is hidden which will not be brought into the light of day, not ever kept hidden which will not some day become known and come into the light of day.
