[OEB | EN | NT | Luke | Chapter 9 | Verse 1] Jesus called the Twelve together, and gave them power and authority over all demons, as well as to cure diseases.
[OEB | EN | NT | Luke | Chapter 9 | Verse 2] He sent them out as his messengers, to proclaim the kingdom of God, and to work cures.
[OEB | EN | NT | Luke | Chapter 9 | Verse 3] ‘Do not,’ he said to them, ‘take anything for your journey; not even a staff, or a bag, or bread, or any silver, or a change of clothes with you.
[OEB | EN | NT | Luke | Chapter 9 | Verse 4] Whatever house you go to stay in, remain there, and leave from that place.
[OEB | EN | NT | Luke | Chapter 9 | Verse 5] If people do not welcome you, as you leave that town, shake even the dust off your feet, as a protest against them.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 6] Then they set out and went from village to village, telling the good news and curing people everywhere.
[OEB | EN | NT | Luke | Chapter 9 | Verse 7] Herod the ruler heard of all that was happening, and was perplexed, because it was said by some that John must be risen from the dead.
[OEB | EN | NT | Luke | Chapter 9 | Verse 8] Some again said that Elijah had appeared, and others that one of the old prophets had risen again.
[OEB | EN | NT | Luke | Chapter 9 | Verse 9] But Herod himself said, ‘John I beheaded; but who is this of whom I hear such things?’ And he endeavoured to see him.
[OEB | EN | NT | Luke | Chapter 9 | Verse 10] When the apostles returned, they related to Jesus all that they had done. Then Jesus went privately to a town called Bethsaida, taking the apostles with him.
[OEB | EN | NT | Luke | Chapter 9 | Verse 11] But the people recognised him and followed him in crowds; and Jesus welcomed them and spoke to them about the kingdom of God, while he cured those who were in need of help.
[OEB | EN | NT | Luke | Chapter 9 | Verse 12] The day was drawing to a close, when the twelve came up to him, and said, ‘Send the crowd away, so that they may make their way to the villages and farms round about, and find themselves lodgings and provisions, for we are in a lonely spot here.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 13] But Jesus said, ‘It is for you to give them something to eat.’ ‘We have not more than five loaves and two fish,’ they answered. ‘Unless indeed we are to go and buy food for all these people.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 14] (For the men among them were about five thousand.) ‘Get them seated in companies,’ was his reply, ‘about fifty in each.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 15] This they did, and got all the people seated.
[OEB | EN | NT | Luke | Chapter 9 | Verse 16] Taking the five loaves and the two fish, Jesus looked up to heaven and said the blessing over them. Then he broke them in pieces, and gave them to his disciples to set before the people.
[OEB | EN | NT | Luke | Chapter 9 | Verse 17] Everyone had sufficient to eat, and what was left of the broken pieces was picked up – twelve baskets.
[OEB | EN | NT | Luke | Chapter 9 | Verse 18] Afterwards, when Jesus was alone, praying, his disciples joined him, and he asked them this question – ‘Who do the people say that I am?’
[OEB | EN | NT | Luke | Chapter 9 | Verse 19] ‘John the Baptist,’ was their answer. ‘Others, however, say that you are Elijah, while others say that one of the old prophets has risen again.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 20] ‘But you,’ he went on, ‘who do you say that I am?’ And to this Peter answered, ‘The Christ of God.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 21] Jesus, however, strictly charged them not to say this to anyone;
[OEB | EN | NT | Luke | Chapter 9 | Verse 22] he told them that the Son of Man must undergo much suffering, and be rejected by the elders, and chief priests, and teachers of the Law, and be put to death, and rise on the third day.
[OEB | EN | NT | Luke | Chapter 9 | Verse 23] And to all present he said, ‘If any one wishes to walk in my steps, they must renounce self, and take up their cross daily, and follow me.
[OEB | EN | NT | Luke | Chapter 9 | Verse 24] For whoever wishes to save their life will lose it, and whoever, for my sake, loses his life – that person will save it.
[OEB | EN | NT | Luke | Chapter 9 | Verse 25] What good does it do someone if, when they has gained the whole world, they has lost or forfeited themselves?
[OEB | EN | NT | Luke | Chapter 9 | Verse 26] Whoever is ashamed of me and of my teaching, the Son of Man will be ashamed of them, when he comes in his glory and the glory of the father and of the holy angels.
[OEB | EN | NT | Luke | Chapter 9 | Verse 27] Indeed, I tell you, some who are standing before me will not know death, until they have seen the kingdom of God.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 28] About eight days after speaking these words, Jesus went up the mountain to pray, taking with him Peter, John, and James.
[OEB | EN | NT | Luke | Chapter 9 | Verse 29] As he was praying, the aspect of his face was changed, and his clothing became a dazzling white.
[OEB | EN | NT | Luke | Chapter 9 | Verse 30] And all at once two men were talking with Jesus; they were Moses and Elijah,
[OEB | EN | NT | Luke | Chapter 9 | Verse 31] who appeared in a glorified state, and spoke of his departure, which was destined to take place at Jerusalem.
[OEB | EN | NT | Luke | Chapter 9 | Verse 32] Peter and his companions had been overpowered by sleep but, suddenly becoming wide awake, they saw Jesus glorified and the two men who were standing beside him.
[OEB | EN | NT | Luke | Chapter 9 | Verse 33] And, as Moses and Elijah were passing away from Jesus, Peter exclaimed, ‘Sir, it is good to be here; let us make three tents, one for you, and one for Moses, and one for Elijah.’ He did not know what he was saying;
[OEB | EN | NT | Luke | Chapter 9 | Verse 34] and, while he was speaking, a cloud came down and enveloped them; and they were afraid, as they passed into the cloud;
[OEB | EN | NT | Luke | Chapter 9 | Verse 35] and from the cloud came a voice which said – ‘This is my Son, the Chosen One; him you must hear.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 36] And, as the voice ceased, Jesus was found alone. The apostles kept silence, and told no one about any of the things that they had seen.
[OEB | EN | NT | Luke | Chapter 9 | Verse 37] The next day, when they had come down from the mountain, a great crowd met Jesus.
[OEB | EN | NT | Luke | Chapter 9 | Verse 38] And just then a man in the crowd shouted out, ‘Teacher, I entreat you to look at my son, for he is my only child;
[OEB | EN | NT | Luke | Chapter 9 | Verse 39] all at once a spirit will seize him, suddenly shriek out, and throw him into convulsions until he foams, and will leave him only when he is utterly exhausted.
[OEB | EN | NT | Luke | Chapter 9 | Verse 40] I entreated your disciples to drive the spirit out, but they could not.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 41] ‘Faithless and perverse generation!’ Jesus exclaimed, ‘How long must I be with you and have patience with you? Lead your son here.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 42] While the boy was coming up to Jesus, the demon dashed him down and threw him into convulsions. But Jesus rebuked the foul spirit, and cured the boy, and gave him back to his father.
[OEB | EN | NT | Luke | Chapter 9 | Verse 43] And all present were struck with awe at the majesty of God. In the midst of the general astonishment at all that Jesus was doing, he said to his disciples,
[OEB | EN | NT | Luke | Chapter 9 | Verse 44] ‘Listen carefully to my words. For the Son of Man is destined to be betrayed into the hands of his fellow men.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 45] But the disciples did not understand the meaning of this; it had been concealed from them so that they did not see it, and they were afraid to question him as to what he meant.
[OEB | EN | NT | Luke | Chapter 9 | Verse 46] A discussion arose among the disciples as to which of them was the greatest;
[OEB | EN | NT | Luke | Chapter 9 | Verse 47] and Jesus, knowing of the discussion that was occupying their thoughts, took hold of a little child, and placed it beside him,
[OEB | EN | NT | Luke | Chapter 9 | Verse 48] and then said to them, ‘Anyone who, for the sake of my name, welcomes even this little child is welcoming me; and anyone who welcomes me is welcoming him who sent me as his messenger. For whoever is least among you all – that person is great.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 49] John said, ‘Sir, we saw a man driving out demons by using your name, and we tried to prevent him, because he does not follow you with us.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 50] ‘None of you must prevent him,’ Jesus said to John, ‘whoever is not against you is for you.’
[OEB | EN | NT | Luke | Chapter 9 | Verse 51] As the days before his being taken up to heaven were growing few, Jesus set his face resolutely in the direction of Jerusalem; and he sent on messengers in advance.
[OEB | EN | NT | Luke | Chapter 9 | Verse 52] On their way, they went into a Samaritan village to make preparations for him,
[OEB | EN | NT | Luke | Chapter 9 | Verse 53] but the people there did not welcome him, because his face was set in the direction of Jerusalem.
[OEB | EN | NT | Luke | Chapter 9 | Verse 54] When James and John saw this, they said, ‘Master, do you wish us to call for fire to come down from the heavens and consume them?’
[OEB | EN | NT | Luke | Chapter 9 | Verse 55] But Jesus turned and rebuked them.
[OEB | EN | NT | Luke | Chapter 9 | Verse 56] And they made their way to another village.
[OEB | EN | NT | Luke | Chapter 9 | Verse 57] And, while they were on their way, a man said to Jesus, ‘I will follow you wherever you go.’
