[OEB | EN | NT | Luke | Chapter 13 | Verse 1] Just at that time some people had come to tell Jesus about the Galileans, whose blood Pilate had mingled with the blood of their sacrifices.
[OEB | EN | NT | Luke | Chapter 13 | Verse 2] ‘Do you suppose,’ replied Jesus, ‘that, because these Galileans have suffered in this way, they were worse sinners than any other Galileans?
[OEB | EN | NT | Luke | Chapter 13 | Verse 3] No, I tell you; but, unless you repent, you will all perish as they did.
[OEB | EN | NT | Luke | Chapter 13 | Verse 4] Or those eighteen men at Siloam on whom the tower fell, killing them all, do you suppose that they were worse offenders than any other inhabitants of Jerusalem?
[OEB | EN | NT | Luke | Chapter 13 | Verse 5] No, I tell you; but, unless you repent, you will all perish in the same manner.’
[OEB | EN | NT | Luke | Chapter 13 | Verse 6] And Jesus told them this parable – ‘A man, who had a fig tree growing in his vineyard, came to look for fruit on it, but could not find any.
[OEB | EN | NT | Luke | Chapter 13 | Verse 7] So he said to his gardener “Three years now I have come to look for fruit on this fig tree, without finding any! Cut it down. Why should it rob the soil?”
[OEB | EN | NT | Luke | Chapter 13 | Verse 8] “Leave it this one year more, Sir,” the man answered, “until I have dug round it and manured it.
[OEB | EN | NT | Luke | Chapter 13 | Verse 9] Then, if it bears in future, well and good; but if not, you can have it cut down.”’
[OEB | EN | NT | Luke | Chapter 13 | Verse 10] Jesus was teaching on a Sabbath in one of the synagogues,
[OEB | EN | NT | Luke | Chapter 13 | Verse 11] and he saw before him a woman who for eighteen years had suffered from weakness owing to her having an evil spirit in her. She was bent double, and was wholly unable to raise herself.
[OEB | EN | NT | Luke | Chapter 13 | Verse 12] When Jesus saw her, he called her to him, and said, ‘Woman, you are released from your weakness.’
[OEB | EN | NT | Luke | Chapter 13 | Verse 13] He placed his hands on her, and she was instantly made straight, and began to praise God.
[OEB | EN | NT | Luke | Chapter 13 | Verse 14] But the synagogue leader, indignant that Jesus had worked the cure on the Sabbath, intervened and said to the people, ‘There are six days on which work ought to be done; come to be cured on one of those, and not on the Sabbath.’
[OEB | EN | NT | Luke | Chapter 13 | Verse 15] ‘You hypocrites!’ the Master answered him. ‘Does not everyone of you let your ox or your donkey loose from its manger, and take it out to drink, on the Sabbath?
[OEB | EN | NT | Luke | Chapter 13 | Verse 16] But this woman, a daughter of Abraham, who has been kept in bondage by Satan for now eighteen years, ought not she to have been released from her bondage on the Sabbath?’
[OEB | EN | NT | Luke | Chapter 13 | Verse 17] As he said this, his opponents all felt ashamed; but all the people rejoiced to see all the wonderful things that he was doing.
[OEB | EN | NT | Luke | Chapter 13 | Verse 18] So Jesus said, ‘What is the kingdom of God like? And to what can I liken it?
[OEB | EN | NT | Luke | Chapter 13 | Verse 19] It is like a mustard seed which a man took and put in his garden. The seed grew and became a tree, and the wild birds roosted in its branches.’
[OEB | EN | NT | Luke | Chapter 13 | Verse 20] And again Jesus said, ‘To what can I liken the kingdom of God?
[OEB | EN | NT | Luke | Chapter 13 | Verse 21] It is like some yeast which a woman took and covered in three pecks of flour, until the whole had risen.’
[OEB | EN | NT | Luke | Chapter 13 | Verse 22] Jesus went through towns and villages, teaching as he went, and making his way towards Jerusalem.
[OEB | EN | NT | Luke | Chapter 13 | Verse 23] ‘Master,’ someone asked, ‘are there but few in the path of salvation?’ And Jesus answered,
[OEB | EN | NT | Luke | Chapter 13 | Verse 24] ‘Strive to go in by the narrow door. Many, I tell you, will seek to go in, but they will not be able,
[OEB | EN | NT | Luke | Chapter 13 | Verse 25] when once the master of the house has got up and shut the door, while you begin to say, as you stand outside and knock, “Sir, open the door for us.” His answer will be – “I do not know where you come from.”
[OEB | EN | NT | Luke | Chapter 13 | Verse 26] Then you will begin to say “We have eaten and drunk in your presence, and you have taught in our streets,” and his reply will be –
[OEB | EN | NT | Luke | Chapter 13 | Verse 27] “I do not know where you come from. Leave my presence, all you who are living in wickedness.”
[OEB | EN | NT | Luke | Chapter 13 | Verse 28] There, there will be weeping and grinding of teeth, when you see Abraham, Isaac, and Jacob, and all the prophets, in the kingdom of God, while you yourselves are being driven outside.
[OEB | EN | NT | Luke | Chapter 13 | Verse 29] People will come from East and West, and from North and South, and take their places at the banquet in the kingdom of God.
[OEB | EN | NT | Luke | Chapter 13 | Verse 30] There are some who are last now who will then be first, and some who are first now who will then be last!’
[OEB | EN | NT | Luke | Chapter 13 | Verse 31] Just then some Pharisees came up to Jesus and said, ‘Go away and leave this place, for Herod wants to kill you.’
[OEB | EN | NT | Luke | Chapter 13 | Verse 32] But Jesus answered, ‘Go and say to that fox “Look you, I am driving out demons and will be completing cures today and tomorrow, and on the third day I will have done.”
[OEB | EN | NT | Luke | Chapter 13 | Verse 33] But today and tomorrow and the day after I must go on my way, because it cannot be that a prophet should meet his end outside Jerusalem.
[OEB | EN | NT | Luke | Chapter 13 | Verse 34] Jerusalem! Jerusalem! You who slays the prophets and stones the messengers sent to you – Oh, how often have I wished to gather your children round me, as a hen takes her brood under her wings, and you would not come!
[OEB | EN | NT | Luke | Chapter 13 | Verse 35] Verily your house is left to you desolate! And never, I tell you, will you see me, until you say – “Blessed is He who comes in the name of the Lord.”’
