[OEB | EN | NT | Luke | Chapter 6 | Verse 1] One Sabbath Jesus was walking through cornfields, and his disciples were picking the ears of wheat, and rubbing them in their hands, and eating them.
[OEB | EN | NT | Luke | Chapter 6 | Verse 2] ‘Why are you doing what it is not allowable to do on the Sabbath?’ asked some of the Pharisees.
[OEB | EN | NT | Luke | Chapter 6 | Verse 3] Jesus’ answer was, ‘Haven’t you read even of what David did, when he was hungry, he and his companions –
[OEB | EN | NT | Luke | Chapter 6 | Verse 4] That he went into the house of God, and took the consecrated bread and ate it, and gave some to his companions, though only the priests are allowed to eat it?’
[OEB | EN | NT | Luke | Chapter 6 | Verse 5] Then Jesus added, ‘The Son of Man is lord even of the Sabbath.’
[OEB | EN | NT | Luke | Chapter 6 | Verse 6] On another Sabbath Jesus went into the synagogue and taught; and there was a man there whose right hand was withered.
[OEB | EN | NT | Luke | Chapter 6 | Verse 7] The teachers of the Law and the Pharisees watched Jesus closely, to see if he would work cures on the Sabbath, so that they might find a charge to bring against him.
[OEB | EN | NT | Luke | Chapter 6 | Verse 8] Jesus, however, knew what was in the their minds, and said to the man whose hand was withered, ‘Stand up and come out into the middle.’ The man stood up;
[OEB | EN | NT | Luke | Chapter 6 | Verse 9] and Jesus said to them, ‘I ask you, is it allowable to do good on the Sabbath – or harm? To save a life, or let it perish?’
[OEB | EN | NT | Luke | Chapter 6 | Verse 10] Then, looking round at them all, he said to the man, ‘Stretch out your hand.’ The man did so; and his hand had become sound.
[OEB | EN | NT | Luke | Chapter 6 | Verse 11] But the teachers of the Law and the Pharisees were mad with rage, and consulted together what they could do to Jesus.
[OEB | EN | NT | Luke | Chapter 6 | Verse 12] Now about that time, Jesus went out, up the hill, to pray, and spent the whole night in prayer to God.
[OEB | EN | NT | Luke | Chapter 6 | Verse 13] When day came, he summoned his disciples, and chose twelve of them, whom he also named “apostles.”
[OEB | EN | NT | Luke | Chapter 6 | Verse 14] They were Simon (whom Jesus also named Peter), and his brother Andrew, James, John, Philip, Bartholomew,
[OEB | EN | NT | Luke | Chapter 6 | Verse 15] Matthew, Thomas, James son of Alphaeus, Simon known as the Zealot,
[OEB | EN | NT | Luke | Chapter 6 | Verse 16] Judas son of James, and Judas Iscariot, who proved a traitor.
[OEB | EN | NT | Luke | Chapter 6 | Verse 17] Afterwards Jesus came down the hill with them and took his stand on a level place. With him were a large crowd of his disciples, and great numbers of people from the whole of Judea, Jerusalem, and the coast district of Tyre and Sidon,
[OEB | EN | NT | Luke | Chapter 6 | Verse 18] who had come to hear him and to be restored to health. Those, too, who were troubled with foul spirits were cured;
[OEB | EN | NT | Luke | Chapter 6 | Verse 19] and everyone in the crowd was trying to touch him, because a power went out from him which restored them all.
[OEB | EN | NT | Luke | Chapter 6 | Verse 20] Then, raising his eyes and looking at his disciples, Jesus said: ‘Blessed are you who are poor, for yours is the kingdom of God.
[OEB | EN | NT | Luke | Chapter 6 | Verse 21] Blessed are you who hunger now, for you will be satisfied. Blessed are you who weep now, for you will laugh.
[OEB | EN | NT | Luke | Chapter 6 | Verse 22] Blessed are you when people hate you, and when they expel you from among them, and insult you, and reject your name as an evil thing – because of the Son of Man.
[OEB | EN | NT | Luke | Chapter 6 | Verse 23] Then indeed you may be glad and dance for joy, for be sure that your reward in heaven will be great; for that is what their ancestors did to the prophets.
[OEB | EN | NT | Luke | Chapter 6 | Verse 24] But alas for you who are rich, for you have had your comforts in full.
[OEB | EN | NT | Luke | Chapter 6 | Verse 25] Alas for you who are sated now, for you will hunger. Alas for you who laugh now, for you will mourn and weep.
[OEB | EN | NT | Luke | Chapter 6 | Verse 26] Alas for you when everyone speaks well of you; for this is what their ancestors did to the false prophets.
[OEB | EN | NT | Luke | Chapter 6 | Verse 27] But to you who hear I say – love your enemies, show kindness to those who hate you,
[OEB | EN | NT | Luke | Chapter 6 | Verse 28] bless those who curse you, pray for those who insult you.
[OEB | EN | NT | Luke | Chapter 6 | Verse 29] When someone gives one of you a blow on the cheek, offer the other cheek as well; and, when anyone takes away your cloak, do not keep back your coat either.
[OEB | EN | NT | Luke | Chapter 6 | Verse 30] Give to everyone who asks of you; and, when anyone takes away what is yours, do not demand its return.
[OEB | EN | NT | Luke | Chapter 6 | Verse 31] Do to others as you wish them to do to you.
[OEB | EN | NT | Luke | Chapter 6 | Verse 32] If you love only those who love you, what thanks will be due to you? Why, even the outcast love those who love them!
[OEB | EN | NT | Luke | Chapter 6 | Verse 33] For, if you show kindness only to those who show kindness to you, what thanks will be due to you? Even the outcast do that!
[OEB | EN | NT | Luke | Chapter 6 | Verse 34] If you lend only to those from whom you expect to get something, what thanks will be due to you? Even the outcast lend to the outcast in the hope of getting as much in return!
[OEB | EN | NT | Luke | Chapter 6 | Verse 35] But love your enemies, and show them kindness, and lend to them, never despairing. Then your reward will be great, and you will be sons of the Most High, for he is kind to the thankless and the bad.
[OEB | EN | NT | Luke | Chapter 6 | Verse 36] Learn to be merciful – even as your Father is merciful.
[OEB | EN | NT | Luke | Chapter 6 | Verse 37] Do not judge, and you will not be judged; do not condemn, and you will not be condemned. Forgive, and you will be forgiven.
[OEB | EN | NT | Luke | Chapter 6 | Verse 38] Give, and others will give to you. A generous measure, pressed and shaken down, and running over, will they pour into your lap; for the standard you use will be the standard used for you.’
