[OEB | EN | NT | Luke | Chapter 3 | Verse 1] In the fifteenth year of the reign of the Emperor Tiberius, when Pontius Pilate was governor of Judea, Herod ruler of Galilee, his brother Philip ruler of the territory comprising Ituraea and Trachonitis, and Lysanias ruler of Abilene,
[OEB | EN | NT | Luke | Chapter 3 | Verse 2] and when Annas and Caiaphas were high priests, a command from God came to John, the son of Zechariah, while he was in the wilderness.
[OEB | EN | NT | Luke | Chapter 3 | Verse 3] And John went through the whole district of the Jordan, proclaiming a baptism of repentance, for the forgiveness of sins.
[OEB | EN | NT | Luke | Chapter 3 | Verse 4] This was in fulfilment of what is said in the writings of the prophet Isaiah – “The voice of one crying aloud in the wilderness: ‘Make ready the way of the Lord, make his paths straight.
[OEB | EN | NT | Luke | Chapter 3 | Verse 5] Every chasm will be filled, every mountain and hill will be levelled. The winding ways will be straightened, the rough roads made smooth,
[OEB | EN | NT | Luke | Chapter 3 | Verse 6] and everyone will see the salvation of God.’”
[OEB | EN | NT | Luke | Chapter 3 | Verse 7] And John said to the crowds that went to be baptized by him, ‘You children of snakes! Who has prompted you to seek refuge from the coming judgment?
[OEB | EN | NT | Luke | Chapter 3 | Verse 8] Let your lives, then, prove your repentance; and do not begin to say among yourselves “Abraham is our ancestor,” for I tell you that out of these stones God is able to raise descendants for Abraham!
[OEB | EN | NT | Luke | Chapter 3 | Verse 9] Already, indeed, the axe is lying at the root of the trees. Therefore every tree that fails to bear good fruit will be cut down and thrown into the fire.’
[OEB | EN | NT | Luke | Chapter 3 | Verse 10] ‘What are we to do then?’ the people asked.
[OEB | EN | NT | Luke | Chapter 3 | Verse 11] ‘Let anyone who has two coats,’ answered John, ‘share with the person who has none; and anyone who has food do the same.’
[OEB | EN | NT | Luke | Chapter 3 | Verse 12] Even tax collectors came to be baptized, and said to John, ‘Teacher, what are we to do?’
[OEB | EN | NT | Luke | Chapter 3 | Verse 13] ‘Do not collect more than you have authority to demand,’ John answered.
[OEB | EN | NT | Luke | Chapter 3 | Verse 14] And when some soldiers on active service asked ‘And we – what are we to do?’ he said, ‘Never use violence, or exact anything by false accusation; and be content with your pay.’
[OEB | EN | NT | Luke | Chapter 3 | Verse 15] Then, while the people were in suspense, and were all debating with themselves whether John could be the Christ,
[OEB | EN | NT | Luke | Chapter 3 | Verse 16] John, addressing them all, said, ‘I, indeed, baptize you with water; but there is coming one more powerful than I, and I am not fit even to unfasten his sandals. He will baptize you with the Holy Spirit and with fire.
[OEB | EN | NT | Luke | Chapter 3 | Verse 17] His winnowing-fan is in his hand so that he may clear his threshing-floor, and store the grain in his barn, but the chaff he will burn with a fire that cannot be put out.’
[OEB | EN | NT | Luke | Chapter 3 | Verse 18] And so with many different appeals John told his good news to the people.
[OEB | EN | NT | Luke | Chapter 3 | Verse 19] But when John rebuked Herod the ruler, for Herodia his brother’s wife, and for all the evil things that he had done,
[OEB | EN | NT | Luke | Chapter 3 | Verse 20] Herod crowned them all by shutting John up in prison.
[OEB | EN | NT | Luke | Chapter 3 | Verse 21] Now after the baptism of all the people, and when Jesus had been baptized and was still praying, the heavens opened,
[OEB | EN | NT | Luke | Chapter 3 | Verse 22] and the Holy Spirit came down on him in the form of a dove, and from the heavens came a voice – ‘You are my dearly loved son; you bring me great joy.’
[OEB | EN | NT | Luke | Chapter 3 | Verse 23] When beginning his work, Jesus was about thirty years old. He was regarded as the son of Joseph, whose ancestors were – Eli,
[OEB | EN | NT | Luke | Chapter 3 | Verse 24] Mattith, Levi, Melchiah, Janna, Joseph,
[OEB | EN | NT | Luke | Chapter 3 | Verse 25] Mattithiah, Amos, Nahum, Azaliah, Nogah,
[OEB | EN | NT | Luke | Chapter 3 | Verse 26] Mattith, Mattithiah, Shimei, Joseph, Josheh,
[OEB | EN | NT | Luke | Chapter 3 | Verse 27] Johanan, Rhesa, Zerubbabel, Salathiel, Neriah,
[OEB | EN | NT | Luke | Chapter 3 | Verse 28] Melchiah, Addi, Cosam, Elmodam, Er,
[OEB | EN | NT | Luke | Chapter 3 | Verse 29] Joshua, Eliezer, Joram, Mattith, Levi,
[OEB | EN | NT | Luke | Chapter 3 | Verse 30] Simeon, Judah, Joseph, Jonam, Eliakim,
[OEB | EN | NT | Luke | Chapter 3 | Verse 31] Meleah, Menan, Mattithiah, Nathan, David,
[OEB | EN | NT | Luke | Chapter 3 | Verse 32] Jesse, Obed, Boaz, Salah, Nahshon,
[OEB | EN | NT | Luke | Chapter 3 | Verse 33] Aminadab, Arni, Hezron, Perez, Judah,
[OEB | EN | NT | Luke | Chapter 3 | Verse 34] Jacob, Isaac, Abraham, Terah, Nahor,
[OEB | EN | NT | Luke | Chapter 3 | Verse 35] Serug, Reu, Peleg, Eber, Shelah,
[OEB | EN | NT | Luke | Chapter 3 | Verse 36] Kenan, Arpachshad, Shem, Noah, Lamech,
[OEB | EN | NT | Luke | Chapter 3 | Verse 37] Methuselah, Enoch, Jared, Mahalalel, Kenan,
[OEB | EN | NT | Luke | Chapter 3 | Verse 38] Enosh, Seth, son of Adam, and Adam, son of God.
