[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 1] You therefore, my child, be strengthened in the grace that is in Christ Jesus.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 2] The things which you have heard from me among many witnesses, commit the same things to faithful men who will be able to teach others also.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 3] You therefore must endure hardship as a good soldier of Christ Jesus.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 4] No soldier on duty entangles himself in the affairs of life, that he may please him who enrolled him as a soldier.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 5] Also, if anyone competes in athletics, he isn’t crowned unless he has competed by the rules.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 6] The farmer who labors must be the first to get a share of the crops.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 7] Consider what I say, and may the Lord give you understanding in all things.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 8] Remember Jesus Christ, risen from the dead, of the offspring of David, according to my Good News,
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 9] in which I suffer hardship to the point of chains as a criminal. But God’s word isn’t chained.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 10] Therefore I endure all things for the chosen ones’ sake, that they also may obtain the salvation which is in Christ Jesus with eternal glory.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 11] This saying is trustworthy: “For if we died with him, we will also live with him.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 12] If we endure, we will also reign with him. If we deny him, he also will deny us.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 13] If we are faithless, he remains faithful; for he can’t deny himself.”
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 14] Remind them of these things, charging them in the sight of the Lord that they don’t argue about words to no profit, to the subverting of those who hear.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 15] Give diligence to present yourself approved by God, a workman who doesn’t need to be ashamed, properly handling the Word of Truth.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 16] But shun empty chatter, for it will go further in ungodliness,
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 17] and those words will consume like gangrene, of whom is Hymenaeus and Philetus:
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 18] men who have erred concerning the truth, saying that the resurrection is already past, and overthrowing the faith of some.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 19] However, God’s firm foundation stands, having this seal: “The Lord knows those who are his,” and, “Let every one who names the name of the Lord depart from unrighteousness.”
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 20] Now in a large house there are not only vessels of gold and of silver, but also of wood and of clay. Some are for honor and some for dishonor.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 21] If anyone therefore purges himself from these, he will be a vessel for honor, sanctified, and suitable for the master’s use, prepared for every good work.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 22] Flee from youthful lusts; but pursue righteousness, faith, love, and peace with those who call on the Lord out of a pure heart.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 23] But refuse foolish and ignorant questionings, knowing that they generate strife.
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 24] The Lord’s servant must not quarrel, but be gentle toward all, able to teach, patient,
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 25] in gentleness correcting those who oppose him. Perhaps God may give them repentance leading to a full knowledge of the truth,
[WEB | EN | NT | 2 Timothy | Chapter 2 | Verse 26] and they may recover themselves out of the devil’s snare, having been taken captive by him to do his will.
