[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 1] And David spoke unto the LORD the words of this song in the day that the LORD delivered him out of the hand of all his enemies, and out of the hand of Saul;
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 2] and he said: The LORD is my rock, and my fortress, and my deliverer;
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 3] The God who is my rock, in Him I take refuge; my shield, and my horn of salvation, my high tower, and my refuge; my saviour, Thou savest me from violence.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 4] Praised, I cry, is the LORD, and I am saved from mine enemies.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 5] For the waves of Death compassed me. The floods of Belial assailed me.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 6] The cords of Sheol surrounded me; the snares of Death confronted me.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 7] In my distress I called upon the LORD, yea, I called unto my God; and out of His temple He heard my voice, and my cry did enter into His ears.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 8] Then the earth did shake and quake, the foundations of heaven did tremble; they were shaken, because He was wroth.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 9] Smoke arose up in His nostrils, and fire out of His mouth did devour; coals flamed forth from Him.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 10] He bowed the heavens also, and came down; and thick darkness was under His feet.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 11] And He rode upon a cherub, and did fly; yea, He was seen upon the wings of the wind.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 12] And He made darkness pavilions round about Him, gathering of waters, thick clouds of the skies.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 13] At the brightness before Him coals of fire flamed forth.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 14] The LORD thundered from heaven, and the Most High gave forth His voice.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 15] And He sent out arrows, and scattered them; lightning, and discomfited them.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 16] And the channels of the sea appeared, the foundations of the world were laid bare by the rebuke of the LORD, at the blast of the breath of His nostrils.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 17] He sent from on high, He took me; He drew me out of many waters;
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 18] He delivered me from mine enemy most strong, from them that hated me, for they were too mighty for me.
