[IRV | KN | OT | Proverbs | Chapter 28 | Verse 1] ಹಿಂದಟ್ಟದಿದ್ದರೂ ದುಷ್ಟನು ಹೆದರಿ ಓಡುವನು, ಶಿಷ್ಟನು ಸಿಂಹದಂತೆ ಧೈರ್ಯದಿಂದಿರುವನು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 2] ಅಧರ್ಮದಿಂದ ದೇಶದಲ್ಲಿ ಬಹು ನಾಯಕರಿರುವರು, ಜ್ಞಾನಿಗಳೂ, ವಿವೇಕಿಗಳೂ ಆದವರಿಂದ ಧರ್ಮವು ಶಾಶ್ವತವಾಗಿರುವುದು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 3] ಬಡವರನ್ನು ಹಿಂಸಿಸುವ ದರಿದ್ರನು, ಒಂದು ಕಾಳೂ ಉಳಿಯದಂತೆ ಪೈರನ್ನು ಬಡಿಯುವ ಮಳೆಯ ಹಾಗೆ.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 4] ಧರ್ಮೋಪದೇಶವನ್ನು ಕೈಕೊಳ್ಳದವರು ದುಷ್ಟರನ್ನು ಹೊಗಳುವರು, ಕೈಕೊಳ್ಳುವವರು ಅವರನ್ನು ಎದುರಿಸುವರು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 5] ಕೆಟ್ಟವರು ನ್ಯಾಯವನ್ನು ಗ್ರಹಿಸರು, ಯೆಹೋವನ ಭಕ್ತರು ಸಮಸ್ತವನ್ನು ಗ್ರಹಿಸುವರು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 6] ವಕ್ರಮಾರ್ಗಿಯಾದ ಐಶ್ವರ್ಯವಂತನಿಗಿಂತ, ನಿರ್ದೋಷವಾಗಿ ನಡೆಯುವ ದರಿದ್ರನು ಶ್ರೇಷ್ಠನು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 7] ಧರ್ಮೋಪದೇಶವನ್ನು ಕೈಕೊಳ್ಳುವವನು ವಿವೇಕಿಯಾದ ಮಗನು, ಹೊಟ್ಟೆಬಾಕರ ಗೆಳೆಯನು ತಂದೆಯ ಮಾನವನ್ನು ಕಳೆಯುವನು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 8] ಬಡ್ಡಿ ಮತ್ತು ಅನ್ಯಾಯ ಲಾಭದಿಂದ ವೃದ್ಧಿಯಾದ ಆಸ್ತಿಯು ಬಡವರಲ್ಲಿ ಕನಿಕರಪಡುವವನ ಪಾಲಾಗುವುದು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 9] ಧರ್ಮೋಪದೇಶಕ್ಕೆ ಕಿವಿಗೊಡದವನು ಮಾಡುವ ದೇವಪ್ರಾರ್ಥನೆಯೂ ಅಸಹ್ಯ.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 10] ಯಥಾರ್ಥವಂತರನ್ನು ದುರ್ಮಾರ್ಗಕ್ಕೆ ಎಳೆಯುವವನು, ತಾನು ತೋಡಿದ ಗುಂಡಿಯಲ್ಲಿ ತಾನೇ ಬೀಳುವನು, ನಿರ್ದೋಷಿಗಳಿಗೋ ಸುಖವು ಸೊತ್ತಾಗುವುದು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 11] ಐಶ್ವರ್ಯವಂತನು ತಾನು ಜ್ಞಾನಿಯೆಂದೆಣಿಸಿಕೊಳ್ಳುವನು, ವಿವೇಕಿಯಾದ ಬಡವನು ಅವನನ್ನು ಇಂಥವನೆಂದು ಗೊತ್ತುಮಾಡುವನು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 12] ಶಿಷ್ಟರಿಗೆ ಉಲ್ಲಾಸವಾದರೆ ದೊಡ್ಡ ಸಂಭ್ರಮವಾಗುವುದು, ದುಷ್ಟರಿಗೆ ಏಳಿಗೆಯಾದರೆ ಜನರು ಅಡಗಿಕೊಳ್ಳುವರು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 13] ದೋಷಗಳನ್ನು ಮುಚ್ಚಿಕೊಳ್ಳುವವನಿಗೆ ಶುಭವಾಗದು, ಅವುಗಳನ್ನು ಒಪ್ಪಿಕೊಂಡು ಬಿಟ್ಟುಬಿಡುವವನಿಗೆ ಕರುಣೆ ದೊರೆಯುವುದು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 14] ಕೆಟ್ಟದನ್ನು ಮಾಡುವುದಕ್ಕೆ ಯಾವಾಗಲೂ ಭಯಪಡುವವನು ಧನ್ಯನು, ಕಠಿಣಹೃದಯನು ಕೇಡಿಗೆ ಸಿಕ್ಕಿಬೀಳುವನು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 15] ಬಡವರಾದ ಪ್ರಜೆಗಳನ್ನು ಆಳುವ ದುಷ್ಟರಾಜನು, ಗರ್ಜಿಸುವ ಸಿಂಹ ಮತ್ತು ಹುಡುಕಾಡುವ ಕರಡಿಯಂತೆ.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 16] ವಿವೇಕಶೂನ್ಯನಾದ ಒಡೆಯನು ಮಹಾ ಹಿಂಸಕನು, ದೋಚಿಕೊಳ್ಳದವನು ದೀರ್ಘಾಯುಷ್ಯನು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 17] ನರಪ್ರಾಣ ತೆಗೆದ ದೋಷವನ್ನು ಕಟ್ಟಿಕೊಂಡವನು ಸಮಾಧಿಯ ಕಡೆಗೆ ಓಡುವನು, ಅವನನ್ನು ಯಾರೂ ತಡೆಯಬಾರದು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 18] ಸನ್ಮಾರ್ಗಿಗೆ ಉದ್ಧಾರ, ವಕ್ರಮಾರ್ಗಿಗೆ ತಟ್ಟನೆ ಸೋಲು.
[IRV | KN | OT | Proverbs | Chapter 28 | Verse 19] ದುಡಿದು ಹೊಲಗೇಯುವವನಿಗೆ ಹೊಟ್ಟೆ ತುಂಬಾ ಅನ್ನ, ವ್ಯರ್ಥ ಕಾರ್ಯಾಸಕ್ತನಿಗೆ ಹೊಟ್ಟೆತುಂಬಾ ಬಡತನ.
