[IRV | KN | OT | Proverbs | Chapter 12 | Verse 1] ತಿಳಿವಳಿಕೆಯನ್ನು ಪ್ರೀತಿಸುವವನು ಶಿಕ್ಷಣವನ್ನು ಪ್ರೀತಿಸುತ್ತಾನೆ, ಮೂರ್ಖನು ಗದರಿಕೆಯನ್ನು ದ್ವೇಷಿಸುತ್ತಾನೆ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 2] ಯೆಹೋವನು ಒಳ್ಳೆಯವನಿಗೆ ದಯೆತೋರಿಸುವನು, ಕುಯುಕ್ತಿಯುಳ್ಳವನನ್ನು ಕೆಟ್ಟವನೆಂದು ನಿರ್ಣಯಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 3] ಯಾರೂ ದುಷ್ಟತನದಿಂದ ಸ್ಥಿರನಾಗನು, ಶಿಷ್ಟನು ಯಾವಾಗಲೂ ದೃಢಮೂಲನೇ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 4] ಗುಣವತಿಯಾದ ಸ್ತ್ರೀಯು ಪತಿಯ ತಲೆಗೆ ಕಿರೀಟ, ಮಾನ ಕಳೆಯುವವಳು ಪತಿಯ ಎಲುಬಿಗೆ ಕ್ಷಯ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 5] ಶಿಷ್ಟರ ಉದ್ದೇಶ ನ್ಯಾಯ, ದುಷ್ಟರ ಆಲೋಚನೆ ಮೋಸ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 6] ಕೆಟ್ಟವರ ಮಾತು ರಕ್ತಕ್ಕೆ ಹೊಂಚು, ಯಥಾರ್ಥವಂತರ ನುಡಿ ಪ್ರಾಣರಕ್ಷಣೆ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 7] ದುರ್ಜನರು ಕೆಡವಲ್ಪಟ್ಟು ನಿರ್ಮೂಲರಾಗುವರು, ಸಜ್ಜನರ ಮನೆಯು ಸ್ಥಿರವಾಗಿ ನಿಲ್ಲುವುದು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 8] ಬುದ್ಧಿವಂತನನ್ನು ಅವನ ಬುದ್ಧಿಗೆ ತಕ್ಕಂತೆ ಹೊಗಳುವರು, ವಕ್ರಬುದ್ಧಿಯುಳ್ಳವನನ್ನು ತಿರಸ್ಕರಿಸುವರು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 9] ಹೊಟ್ಟೆಗಿಲ್ಲದ ಡಾಂಭಿಕನಿಗಿಂತಲೂ ಸೇವಕನುಳ್ಳ ಸಾಧಾರಣ ಮನುಷ್ಯನ ಸ್ಥಿತಿಯೇ ಲೇಸು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 10] ಶಿಷ್ಟನು ತನ್ನ ಪಶುಗಳ ಕ್ಷೇಮವನ್ನು ಲಕ್ಷಿಸುತ್ತಾನೆ, ದುಷ್ಟನ ವಾತ್ಸಲ್ಯವೋ ಕ್ರೂರತನವೇ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 11] ದುಡಿದು ಹೊಲಗೇಯುವವನು ಹೊಟ್ಟೆತುಂಬಾ ಉಣ್ಣುವನು, ವ್ಯರ್ಥಕಾರ್ಯಾಸಕ್ತನು ಬುದ್ಧಿಹೀನನೇ.
