[IRV | KN | OT | Proverbs | Chapter 9 | Verse 1] ಜ್ಞಾನವೆಂಬಾಕೆಯು ಏಳು ಕಂಬಗಳನ್ನು ಕಡಿದು, ತನ್ನ ಮನೆಯನ್ನು ಕಟ್ಟಿಕೊಂಡಿದ್ದಾಳೆ.
[IRV | KN | OT | Proverbs | Chapter 9 | Verse 2] ಆಕೆ ಪಶುಗಳನ್ನು ಕೊಯಿಸಿ ಪಾನದ್ರವ್ಯಗಳೊಡನೆ ದ್ರಾಕ್ಷಾರಸವನ್ನು ಬೆರಸಿ, ಔತಣವನ್ನು ಸಿದ್ಧಪಡಿಸಿದ್ದಾಳೆ.
[IRV | KN | OT | Proverbs | Chapter 9 | Verse 3] ಆಕೆಯು ತನ್ನ ದಾಸಿಯರನ್ನು ಕಳುಹಿಸಿ, ಪಟ್ಟಣದ ರಾಜಮಾರ್ಗಗಳ ಮುಖ್ಯಸ್ಥಾನಗಳಲ್ಲಿ ಪ್ರಕಟಿಸುತ್ತಾಳೆ.
[IRV | KN | OT | Proverbs | Chapter 9 | Verse 4] ಆಕೆಯು ಬುದ್ಧಿಹೀನರಿಗೆ, “ಮೂಢನಾಗಿರುವವನು ಈ ಕಡೆಗೆ ತಿರುಗಲಿ,
[IRV | KN | OT | Proverbs | Chapter 9 | Verse 5] ಬನ್ನಿರಿ, ನಾನು ಬಡಿಸುವ ಆಹಾರವನ್ನು ಉಣ್ಣಿರಿ, ನಾನು ಬೆರೆಸಿರುವ ದ್ರಾಕ್ಷಾರಸವನ್ನು ಕುಡಿಯಿರಿ.
[IRV | KN | OT | Proverbs | Chapter 9 | Verse 6] ಮೂಢರೇ ಮೂಢತ್ವವನ್ನು ಬಿಟ್ಟು ಬಾಳಿರಿ, ವಿವೇಕಮಾರ್ಗದಲ್ಲಿ ನೆಟ್ಟಗೆ ನಡೆಯಿರಿ” ಎಂದು ಪ್ರಬೋಧಿಸುತ್ತಾಳೆ.
[IRV | KN | OT | Proverbs | Chapter 9 | Verse 7] ಧರ್ಮನಿಂದಕನನ್ನು ಶಿಕ್ಷಿಸುವವನು ತನ್ನನ್ನು ಅವಮಾನಕ್ಕೆ ಗುರಿಮಾಡಿಕೊಳ್ಳುವನು, ಕೆಟ್ಟವನನ್ನು ಗದರಿಸುವವನಿಗೇ ಕಳಂಕವಾಗುವುದು.
[IRV | KN | OT | Proverbs | Chapter 9 | Verse 8] ಧರ್ಮನಿಂದಕನನ್ನು ಗದರಿಸಬೇಡ, ನಿನ್ನನ್ನು ಹಗೆಮಾಡುವನು. ಜ್ಞಾನವಂತನನ್ನು ಗದರಿಸಿದರೆ ನಿನ್ನನ್ನು ಪ್ರೀತಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 9 | Verse 9] ಜ್ಞಾನಿಗೆ ಉಪದೇಶಿಸಿದರೆ ಹೆಚ್ಚು ಜ್ಞಾನವನ್ನು ಹೊಂದುವನು, ನೀತಿವಂತನಿಗೆ ಬೋಧಿಸಿದರೆ ಹೆಚ್ಚು ತಿಳಿವಳಿಕೆಯನ್ನು ಪಡೆಯುವನು.
[IRV | KN | OT | Proverbs | Chapter 9 | Verse 10] ಯೆಹೋವನ ಭಯವೇ ಜ್ಞಾನಕ್ಕೆ ಮೂಲವು, ಪರಿಶುದ್ಧ ದೇವರ ತಿಳಿವಳಿಕೆಯೇ ವಿವೇಕವು.
[IRV | KN | OT | Proverbs | Chapter 9 | Verse 11] ನನ್ನಿಂದ ನಿನ್ನ ದಿನಗಳು ಹೆಚ್ಚುವವು, ನಿನ್ನ ಆಯುಷ್ಯದ ವರ್ಷಗಳು ವೃದ್ಧಿಯಾಗುವವು.
