[IRV | KN | OT | Proverbs | Chapter 7 | Verse 1] ಕಂದಾ, ನನ್ನ ಮಾತುಗಳನ್ನು ಮನಸ್ಸಿನಲ್ಲಿಟ್ಟುಕೋ, ನನ್ನ ಆಜ್ಞೆಗಳನ್ನು ನಿಧಿಯಂತೆ ಕಾಪಾಡಿಕೋ.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 2] ನನ್ನ ಉಪದೇಶವನ್ನು ಕಣ್ಣುಗುಡ್ಡೆಯಂತೆ ಪಾಲಿಸು, ನನ್ನ ಆಜ್ಞೆಗಳನ್ನು ಕೈಕೊಂಡು ಬಾಳು.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 3] ಅವುಗಳನ್ನು ನಿನ್ನ ಬೆರಳುಗಳಿಗೆ ಉಂಗುರವಾಗಿ ಧರಿಸಿಕೋ, ಹೃದಯದ ಹಲಗೆಯಲ್ಲಿ ಅವುಗಳನ್ನು ಬರೆದುಕೋ.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 4] ಜ್ಞಾನವನ್ನು, “ನೀನು ನನ್ನ ಅಕ್ಕಾ” ಎಂದು ಹೇಳು, ವಿವೇಕವನ್ನು, “ಪ್ರಿಯೇ” ಎಂದು ಕರೆ.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 5] ಅವು ಜಾರಳಿಂದ ಮತ್ತು ಸವಿಮಾತನಾಡುವ ಪರಸ್ತ್ರೀಯಿಂದ ನಿನ್ನನ್ನು ರಕ್ಷಿಸುವವು.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 6] ನಾನು ನನ್ನ ಮನೆಯ ಕಿಟಕಿಯ ಜಾಲರಿಯಿಂದ ಇಣಿಕಿ ನೋಡಲು
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 7] ಅಲ್ಪಬುದ್ಧಿಯುಳ್ಳ ಅನೇಕ ಯುವಕರು ಕಾಣಿಸಿದರು. ಅವರಲ್ಲಿ ಜ್ಞಾನಹೀನನಾದ ಒಬ್ಬ ಯೌವನಸ್ಥನನ್ನು ಕಂಡೆನು.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 8] ಅವನು ಸಂಜೆಯ ಮೊಬ್ಬಿನಲ್ಲಿ, ಮಧ್ಯರಾತ್ರಿಯ ಅಂಧಕಾರದಲ್ಲಿ,
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 9] ಅವಳ ಮನೆಯ ಹತ್ತಿರ ಬೀದಿಯಲ್ಲಿ ಹಾದುಹೋಗುತ್ತಾ, ಅವಳ ಮನೆಯ ಕಡೆಗೆ ತಿರುಗಿದ್ದನ್ನು ಕಂಡೆನು.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 10] ಇಗೋ ವೇಶ್ಯಾರೂಪವನ್ನು ಧರಿಸಿಕೊಂಡಿದ್ದ ಒಬ್ಬ ಕಪಟ ಸ್ತ್ರೀಯು ಅವನನ್ನು ಎದುರುಗೊಂಡಳು.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 11] ಇವಳು ಕೂಗಾಟದವಳು, ಹಟಮಾರಿ, ಮನೆಯಲ್ಲಿ ನಿಲ್ಲತಕ್ಕವಳೇ ಅಲ್ಲ;
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 12] ಒಂದು ವೇಳೆ ಬೀದಿಗಳಲ್ಲಿರುವಳು, ಮತ್ತೊಂದು ವೇಳೆ ಚೌಕಗಳಲ್ಲಿರುವಳು, ಅಂತು ಪ್ರತಿಯೊಂದು ಮೂಲೆಯಲ್ಲಿಯೂ ಹೊಂಚು ಹಾಕುವಳು.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 13] ಅವನನ್ನು ಹಿಡಿದು, ಮುದ್ದಾಡಿ ನಾಚಿಕೆಗೆಟ್ಟವಳಾಗಿ,
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 14] “ಎಲೈ, ಈ ದಿನ ನನ್ನ ಹರಕೆಗಳನ್ನು ಸಲ್ಲಿಸಿದ್ದೇನೆ, ಸಮಾಧಾನ ಯಜ್ಞಶೇಷವು ನನ್ನಲ್ಲಿದೆ,
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 15] ಆದಕಾರಣ ನಿನ್ನನ್ನು ಎದುರುಗೊಳ್ಳಲು ಬಂದೆನು, ನಿನ್ನನ್ನು ಆತುರದಿಂದ ಹುಡುಕಿ ಕಂಡುಕೊಂಡೆನು.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 16] ನನ್ನ ಮಂಚದಲ್ಲಿ ಸುಪ್ಪತ್ತಿಯನ್ನೂ, ಐಗುಪ್ತದೇಶದ ನೂಲಿನ ವಿಚಿತ್ರ ವಸ್ತ್ರಗಳನ್ನೂ ಹಾಸಿದ್ದೇನೆ.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 17] ಹಾಸಿಗೆಯ ಮೇಲೆ ರಕ್ತಬೋಳ, ಅಗುರು, ಲವಂಗ, ಚಕ್ಕೆ ಇವುಗಳ ಚೂರ್ಣಗಳಿಂದ ಸುವಾಸನೆಗೊಳಿಸಿದ್ದೇನೆ.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 18] ಬಾ, ಬೆಳಗಿನ ತನಕ ಬೇಕಾದಷ್ಟು ರಮಿಸುವ, ಕಾಮವಿಲಾಸಗಳಿಂದ ಸಂತೋಷಿಸುವ.
[IRV | KN | OT | Proverbs | Chapter 7 | Verse 19] ಯಜಮಾನನು ಮನೆಯಲ್ಲಿಲ್ಲ, ದೂರ ಪ್ರಯಾಣದಲ್ಲಿದ್ದಾನೆ.
